label,text
rec.autos,article oriolefanuiuc writes vicki newton writes process buying new auto havent decided yet whether sell current car trade part new auto purchase know blue book value car acquaintence offered give blue book value car wondering standard measure negotiating resale price hope get money someone else exactly blue book value based know year car low mileage excellent working condition dings exterior nothing major facts alter fair selling price car looking rip anyone naturally want get best price car thanks million veek think blue book nada handbook used car prices blue book value given retail wholesale value blue book value isnt set stone though low milage extra addons stuff like increase resale price car may want head local library borrow friends blue book read sort stuff paid bb retail civic perfect condition k miles guy desparate sell new kid way etc good price remeber buyer sort brains using blue book pick fair price chintan amin chintan amin university illinois urbanachampaign mail sig construction hard hat area mileage chart available book usually goes class car year usually end adding hundred dollars retail price subtracting consumer reports also number call get quote area friend mine used quite happy service believe cost joe
alt.atheism,sn mozumder writes insults atheistic genocide totally unintentional atheism anything happen good bad including genocide know youve conveniently defined theist someone wrong youve defined people wrong atheists statement circular mention bigoting value sami aario see measure atom yet explode one sunlight comprised many atoms stupid minds stupid stupid eros plan outer space disclaimer dont agree eros
comp.windows.x,article gordons mon gordon sasamori writes george snyder writes article kin cho writes wonder anybody know xwindowbased postscript file viewer runs sunos prefered hpux ibm aix running sun openwindows use pageview x window postscript previewer like ghostview displays much nicer yes broken ow handle multiple pages well dont proper postscript commands draw entire document page instead pausing page havent tried ow yet though ow definition broken relative pageview requires dsc compliant postscript files order stop page breaks dont consider broken say program puts postscript file isnt dsc compliant broken harvard ucbvaxuwvaxastroatcftmsbrown uu psicomftmsbrown rutgers internet
rec.autos,reverse lights warn others backing arent bright enough typically see without brake tail lights craig perhaps instead silly argument backup lights couldnt agree serve dual purpose letting people behind car know reverse also light area behind car youre backing see backup lamps current models much brighter used older cars taurus wagon quite bright enough illuminate good area behind car theyre much brighter earlier cars insofar vettes side backup lights look model perhaps year two earlier youll see red side marker lamps white side marker lamps near cars hindquarters arent white reflectors harv
comp.sys.mac.hardware,
rec.autos,article joseph mazza writes btw saw new q tv weekend big changes grille added looks nice wood interior otherwise looked largely unchanged changed lights slope hood along new grille otherwise unchanged interestingly lack wood lack grille big design statement tried defy conventional wisdom carve niche unfortunately sales half lexus hence join pack still wonder much problem wasnt slow start initial ad campaign personally like q without grille steve morris internet addiction studies pgm uucp uwbeaveruunetgtenmcdataiosumaxsmorris seattle university phone dept direct seattle wa
comp.os.ms-windows.misc,stuff deleted microsoft brett ferrell writes think windows useable must use much windows version crash protection wearing helmet computing arir air bag expensive addon brett must read many os advertisements crash protection marketing gimick isnt funny months using windows new machine ive crash dont run mill configuration microsoft leader innovation certainly know build better mousetrap whats wrong larry ludes ludwig always taken twice get clemson university compsci undergrad right never heard apple steve jobs
talk.politics.mideast,article center policy research writes israeli lefts inability cope challenges presented reality becomes obvious moments reality line expectations left able see clearly gulf war palestinians popular solidarity iraq yossi sarid currently minister environment made infamous statement look ie iam making efforts speak yossi sarids point view palestinian reality gulf war lengthy curfew danger hunger brought whether palestinians accepted acceptable party similarly meretz mk deddi tzuker recently faced criticism residents west bank town beit sahour governments partys lack action human rights peace responded asking present discussion whether would rather likud government leftists perspective best government government regardless members israeli left already decided future occupied territories look want dictate palestinians get someone starts criticizing leftists leftist enough get pretty clear idea believe normal hope still calling fair unbiased elias jake livni ten years george bush americanoccupied new york replaced jimmy carter opinions employer opinions standard failed president
comp.graphics,could someone please post list good threed modelers run sparc stations preferably cheap thanks richard
comp.sys.ibm.pc.hardware,need find program wd faast scsi controller bit dma scsi controller pc isa bus somebody point direction low level docs net get hold manufacturers actually make anyway docs tia ps dont ant bios docs want know attack sucker ground level ie send scsi commands os hamish marson computer services university waikato fax computers disclaimer remember heard first human facts stubborn statistics pliable
sci.electronics,hi electronic engineering student electronic ii belt find needing build moderate wattage audio amp ill throw couple question vast knowledge net please explain watts calculated audio amp circuits pie relates one following ai current gain av voltage gain ap power gain whatever already wonderful cheap ie schematic w amp would like crossimprove circuit problem parts list ic ic nec ab amplifiers look like pin sip packages heatsink schematic published mag may nonexistant anyway tried looking replacement latest digikey cat found listed closes could figure pin sip tda bu anyone got ideas thought hey rin pspice simulation using opamp models yea great worked guess wasnt made high power amps result got voltage gain mvv worse started anyone pspice ckt file cheap yet good gain models chips listed email ascii chip info guys send im open suggestionsideascommentshelp please email since little time search news ill post theres interest john ibm ee majors best atari john zitterkopf aol
rec.motorcycles,disks wont erase youre carrying bag cathy cathy saum negley ave yamaha seca xj pgh pa cl custom wooden tank studio mustang v dod supercalifragilisticexpealidotious see know feel feel nobody ever take away tm mcnally heart stops
talk.politics.guns,article dave duff nut case panicsjumps gun net getting facts straight brilliant like dave holden phys dept email keele university keele staffs england x
rec.motorcycles,thinking fiamms might also want think airhorns installed set bosch air horns ordered dennis kirk pg latest catalog fj rated db meters installed using gage wire battery relay compressor ground stock horn connectors fit relay pins fine soldered connections relay compressor used crimp type battery connector inline amp fuseconnector napa installed compressor forward fuse box front fairing tie wrapping steering head frame black steel tube frame used support front fairing remove front fairing fits outside frame inside fairing two vertical supports front fuses depending tight fairing follows frame able fit somewhere fairing compressor diameter long relay mounted front steering head frame small plenty good places found perfect place horns required tie wraps mount horns fit inside front fairingframe stick either side front air scoops behind turn signals back horns point back towards center bike come real close gas tank connects front part frame enough room outside allow full lock lock clearance nice cut outs frame back horn go short horn even fairing long one sticks inch really noticable unless look closely end pointing slightly maybe degrees straight ahead perfect cagers trying change lanes questions mounting email try explain better bike red may want paint first work ask loud sound like european sports car truck vast improvement stock used least daily since installing amp fuse blown yet although duration horn blasts short ive repeatedly scared shit friends even though know horns still jump perfect keeping pedestrians sidewalk bottom line work loud enough cause pain suffering stupid lane changing cages well take years lives relatively easy install fj ymmv tjk fj get way horns looks like suit youd fight fire comment aerostich
talk.politics.mideast,article center policy research writes written pm apr igcmideastforum israeli press madness israeli press paper zman tel aviv tel avivs time friday local tel avivs paper affiliated maariv date february journalist guy ehrlich cherry units disguise arabs operate within occupied territories excerpts article lot written units disguise arabs things good bad falsehoods important problem units hardly dealt everyone serves cherry time goes one way another insane gee id better tell mental health branch israeli army medical corps would without davidson man said called danny full name known editors served cherry discharge army works delivery boy pal called dudu also serving cherry depart roundtheworld tour look different average israeli youngsters freshly discharged conscript service souls one notice something completely differentit easy come disclosures happened think fellows cherry woundnt easy either yet began talk nearly impossible make stop talking following article contain horror stories recounted appalling openness short time ago command veteran team fellows applied release cherry called soldiers hi hit intifada command soldier talked nonstop common phenomenon cherry sent psychiatrist talk others feel quite insane fridays come home parents know cannot talked go beach surf little calm return keys fathers car must ready advance go dare talk whenever dont want talk grab chair smash instantly know nerve smashing chairs time running away home car beach become normal another friday eating lunch prepared mother omelette sorts took risk sitting next talking told mother event still fresh mind told shot arab exactly wound looked like went inspect began laugh hysterically wanted cry dared laugh straight face instead told pal made mincemeat two arabs preparing molotov cocktails shot hitting beautifully exactly deserved one bullet set molotov cocktail fire effect arab burning beautifully delighted see pal fired three bullets two arab molotov cocktail third chum hit straight ass felt wed pulled something next told mother another pal mine split open guts belly another arab us ran toward spot take look reached spot first arab blood gushing forth body spits yelled shut dared talk back hebrew laughed straight face usually laughing stare something convulsing right eyes told right wait moment left order take look another wounded arab asked soldier arab could saved bleeding artery could stopped help stone something else like keep telling mother details keeps laughing straight face infuriated got angry felt becoming mad stopped eating seized plate omelette trimmings still threw head stopped laughing first didnt know say must tell still madness falls upon us frequently went friend practice shooting field gull appeared right middle field friend shot noticed four deer standing high sigh four deer tel aviv well probably accurate rest fantasy hill us friend aimed one shot enjoyed sight falling rock shot two deer went take look climbed rocks saw young deer badly wounded bullet still trying milk already dead mother carefully inspected two paths covered blood chunks torn flesh two deer hit delighted sight hitem good decided kill young deer spare suffering approached took revolver shot head several times short distance shoot straight head actually see bullets sinking fifth bullet made brains fall outside onto ground effect splattering lots blood straight us made us feel cured spurt madness standing soaked blood felt like beasts prey couldnt explain happened us almost tears walking hill felt whole day badly always go back places carried assignments see see guy disabled may rest life feel got power feel godlike sorts danny dudu contemplate least moment studying acting dudu willing work securitylinked occupation danny feels exact opposite shouldnt take advantage skills mastered well shouldnt earn chopped head would deliver mercenary south africa kind job suits perfectly human emotions get reasonable salary problem board plane bosnia order fight transl israel shahak yisrael shahak crackpot chemist figures often see rechavia jerusalem post office really sad figure actually feel sorry concentration camp holocaust must affected deeply josh
sci.crypt,even interesting smtp server csrcncslnistgov longer recognizes expn vrfy commands telnet csrcncslnistgov smtp trying connected csrcncslnistgov escape character firstorg sendmail nist ready tue apr edt expn clipper command unrecognized seems like sombody didnt like snooping around marc mine dozen people probably idea rush shut imply names list heavyduty spooks g
talk.politics.misc,article ashish arora writes excerpts netnewssciecon apr supply side economic po deficits declined reaching low gnp tax spending hike reversed trend brett true details would appreciated billions dollars gnp year gnp receipts outlays deficit debt unempl admin carter carter carter carter reagan reagan reagan reagan reagan reagan reagan reagan bush bush bush source statistical abstract us version american almanac version universal almanac version information please almanac version graphically deficits gnp gnp x x x x x x x x x ironically bush could frozen spending kept new taxes pledge balanced budget brett theres nothing passionate vested interest disguised intellectual conviction sean ocasey white plague frank herbert
soc.religion.christian,article michael covington writes two historic facts think important jesus didnt rise dead must done something else equally impressive order create observed amount impact nobody ever displayed dead body jesus even though jewish roman authorities would gained lot would discredited christians michael covington internet artificial intelligence programs phone university georgia fax athens georgia usa amateur radio n tmi two simplest refutations impact record impact comes new testament guarantee books least accurate recorded impact actually happened find interesting contemporary source records eclipse earthquake temple curtain torn etc earliest written claim jesus resurrection pauline epistles none written sooner years supposed event seems probable one displayed body jesus one knew personally believe likely explanation body stolen disciples graverobbers dont bother point guards appears one gospel seems like exactly sort thing early christians might make order counter graverobbing charge new testament record jews believed body stolen really guards could effectively made claim scott
sci.med,carl j lydick writes course bee venom isnt single chemical could brother reacting different component one causes anaphylactic shock people similarly chinese food isnt msg lot ingredients someone eats something lots ingredients dont normally consume one happens msg immediately conclude negative reaction msg arghhhhhhhhhh read memos said personally people order exact food two different times restaurant people ordered food tell time msg food time food one time reaction one time reaction came time msg food difference restaurant ingredients someone eats something lots ingredients dont normally consume one happens msg immediately conclude negative reaction msg eat lots chinese food love chinese food ive learned following get food one restaurants use msg prepare food without msg order food restaurant hold msg never get soup unless restaurant cooks without msg get reaction okay understand get reaction msg get reaction msg youre trouble understand please tell words understand ill look dictionary great secret successful marriage treat disasters incidents none incidents disasters harold nicholson mary allison urbana illinois
rec.sport.hockey,anna matyas wrote wasnt ron francis captain whalers traded pittsburgh still imho ranks alltime greatest pr blunder mention onice blunder whalers ever committed gm eddie johnston coach rick ley decided francis incapable leader stripped captains c december whole organization read ej ley default owner richard gordon much dupe know much blindsided ej dumped francis season starting refusing sign new contract publicly humiliating stripping c trading spring penguins classy guy ej loss francis lesser extent ulf one series decimating player moves ej stripped personality fanawareness team put precarious position today gratuitous good ej notehe preside organization acquired verbeek cassels sanderson poulin nylander etc stripped roster lay foundation sg real live hartford whalers season ticket holder
comp.os.ms-windows.misc,hi anyone tell get copy updated canon bj printer driver windows ver comes bj printer wonder newer version thanks much please email
talk.politics.guns,article brent irvine writes article c tavares writes article michael frederick rhein writes napalm let wood stove inside ignite someone else pointed would stove use warm day texas eat food cold ever hear electric ovens microwaves popular electric stoves outside metroareas especially power cut weeks end generators doubt fuel would wood stoves kerosene lanters maybe alleged tanks pushing walls knocked lanters starting fire remember fbi bugs even used illegally eavesdrop private conversations lawyers suicide order given would known time feds concerned would emergency equipment ready hour later leaving water turned could turned back didnt wanna scores settle without prejudice ucc pat myrto seattle wa else fails try uunetpilchuckrwingpat wisdom two things infinite universe human stupidity sure former albert einstien
comp.graphics,howdy wonko sane writes recently talking possible employer mine made reference bit graphics computerimage processing system seem remember called image something akin anyway claimed bit color bit alpha channel thats bits infowhat could possibly specifically bit color thats trillion colors many human eye resolve antialiasing thing magic number make work better certain processor hmm bit aye well beats bit design thee sake ellegance bit means bits per primary colour nr colours bit misleading makes sense see possible shades pure red might actually make sense since shades red bit colours may produce visible jumps intensity byte per primary colour pixel elegant way colour graphics leaves ya tidy fast program code take care bram flying nack trick bram stolk throw ground dept maths computer science miss douglas adams university amsterdam dont use mswindoze prefer linux
sci.crypt,article rick miller writes jurgen botz writes seems like sombody didnt like snooping around marc likely explanation marc spoofing didnt try expansion personally know least two people got results allegation incorrect best pgp key finger email eli
rec.motorcycles,article writes possible wheelie motorcycle shaftdrive mike terry least thats told nasa rentacop stopped swore lifting didnt completely buy part water carbs either phil stone new address r st motorcycles ok
soc.religion.christian,course id still recommend michael read true reasonable douglas jacoby joe fisher oh michael wait see dents armor faith hasnt wavered since day became disciple may want try sometime lifechanging
rec.sport.hockey,david vergolini writes detroit red wings put lot doubter ice tonight washing toronto maple leafs toronto fans seen power mighty red wing offense torontos defense match wing offense defense probert kennedey primeau came hitting hard toronto players thrown left right even wendell clark tough enough wings tough guys wings gave three goals low total say mediocre defense leaf fans better speak team probable season ended soon wings fans keep support theres quite wings fans lurking tend low key thoughtful rather woofers suppose every family must roger clinton though remember paraphrase one favorite star trek lines adopt ways leaf fans bad leaf fans ron one major goals leave next president new set things worry im getting bored reading problems paper decade decade want people deal new problems president bill clinton
sci.med,sumatriptanimitrex became available us subcutaneous injectable form oral form available ca friendyes really severe migranes times per week live right ca border gotten drugs gerd prescribed us physician filled ca pharmacy yet fda approved us would cost oral form ca also anyone would info thanks
comp.sys.mac.hardware,article rich spiegel writes article charles g williams writes good deal still dont know would say good deal junes macworld river formerly maya computer advertised daystar mhz powercache believe know prices would falling geeze actually mhz powercard universal powercache mhz universal powercache fpu adaptor still bad deal believe powercard one generation older universal powercache one primary difference powercard machine specific powercache fit many macs proper adaptor cards based im sure hardware software powercard otherwise different powercache perhaps someone could enlighten would also add called river computer night powercards going fast rich spiegel mission analysis group johns hopkins road laurel md x side note ad macworld selling mhz powercache iisi fpu thinking upgrading mhz turbo upgrade costs direct daystar comes cheaper mailorder companies charge jon
rec.sport.baseball,id say impressive hrs ive ever see came dave kingman infamous moonraker drives boell
sci.space,article steinn sigurdsson writes problem oort cloud sources absolutely plausible mechanism proposed would involve new physics far tell closest conventional oort sources model bfield pinching comets got many holes count least good try plausible model grbs astronomical distances recent observations ruled merging neutron star hypothesis lot problems anyhow look implausible models fundamentally allowed independent models paper possibility grbs oort cloud came astrophysics abstract service get copy paper send message subject line get abstract paper currently favored explanation origin grbs puts cosmological distances long distance indicator events possible sources isotropically distributed remain consideration oort cloud comets kept list although known mechanism generating grbs cometary nuclei unlikely may seem possibility grbs originate solar cometary cloud cannot excluded disproved use available data distribution grbs batse catalogue march catalogue cometary orbits marsden williams investigate whether observational indication correlations angular distributions grbs comets aphelia assuming distribution aphelia direction reflect least extent true variations column density oort cloud also apply vov test distributions performed variety statistical tests kolmogorovsmirnov test distributions galactic latitude chi test spherical multiple moments crosscorrelation analysis including testing subsamples isolating effect possible observational biases tests imply unlikely two distributions agree statistical significance sufficient ruling connection complete confidence performed montecarlo simulations show number bursts exceeds sim possible rule correlation angular distributions currently combination tests large disagreement found vov parameter makes oort cloud comets unlikely related grbs
talk.religion.misc,article david joslin writes missing context thrilling discussion jim jim wrote following email pointed hate shatter self image perfection appear hold language wrong jim pointed fact agree robert weiss jim meritt took quotes context hence find difficult understand jim thinks hypocrite needless say dont time reply every article trm takes quote context course ones disagree qed according jim way criticize one person taking quote context without hypocrite post response every person trm takes quote context jim replied saying either ask assert today find four articles jim one subject pointing specific instance wrongo case eyes law someone aware something capability taking action individual may held responsible action course complete red herring taking quotes context isnt crime dont time read every article trm im certainly obligation reply check newsgroups silence concurrence imply jim thinks didnt respond weiss articles must condone weiss taking quotes context jim doesnt want give direct answer question read written decide telepathy claim know want back context conversation jim jims next gambit claim using inductive logic concluded hypocrite challenged provide details logic led incorrect conclusion asked specifically wrong today find another obscure article posting twice didnt help maybe ignorant accept classification red herrings could jim mean read uncountably large number articles know uncountably large means appear could jim mean axed articles weiss articles wants conclude inductively well cant see going suprised help induction ive written roughly appear case appearance argument like captain kirk would gotten mr spock written stagehand paramount think hard jim see pattern think harder run induction engine see pops course appear arrogant already figured
comp.graphics,twixt toes writes im using rayshade uw computers id like input users perhaps swap ideas could post uuencoded gifs ray code anyones interested im trouble coming colors metallic ie brass steel rgb values sorry im rayshade user hey looks like group could use traffic guess metallic isnt color rgb sense rather matter surface reflects light im sure property metallic materials makes recognizable im pretty sure color material look metallic
sci.electronics,write good manual go software hassle photocopying manual offset simplicity purchasing package also consider offering inexpensive attractive perc registered users instance coffee mug could produce mail incentive couple dollars consider pricing product youre lucky instances program use nonlicensed users best approach estimate loss accomodate price structure sure hurts legitimate users bad retailers charge loss shoplifters onto paying customers software industry unless product exceptionally unique using ostensibly copyproof disk send customers competetion bill mayhew neoucom computer services department rootstown oh usa phone n wed
sci.med,anybody doctors included said face evidence yeast connection cannot guarantee safety incompetence ripping lips justified far concerned doesnt sound like candida albicans john badanes dc ca
comp.sys.mac.hardware,mac iisi considering upgrades cards hard drive etc tell power limitations pds slot hard drive power feed secondly tell separate limit instead single limit combined felix lin new reader compsysmachardware
