label,text
rec.sport.baseball,roger maynards drivel deleted cordially always many morons rm little time cant stick guy faq stop responding guys last several flamewars pretty much identical could someone collect articles one simply repost entire block whenever tries start one itd simpler roger apparently one embarassing specimens enjoys flames give wants oh roger youre dull dull get new act tom
rec.motorcycles,mike sixsmith writes mjswell many courses elsewhere mjsteach technique yet seem rather successful sure dont miss never poor sods dont know theyre missing guess ignorance bliss eh mike mr bill bill leavitt cbx white lightning gs g suzibago cj little honda lone star sick leave dod ama icoa nia impala convertible incredible hulk others hmmm thought bore stroke technique michael bain
rec.autos,previous article shazad barlas says best autoshifters street track porsche wont change floor gas turn years back sx auto guys call sx without turbo going round corner floored next thing know pointing backwards drivers seemed quite amused shaz sure call sx call curious also nissan predacessor sp called came turbo nonturbo dont think weve ever turbojust curiousbtw im us matters drew
sci.med,article eli brandt writes article mark meyer writes besides kirilian photography actually photography friends twoyearold son kiril perhaps meant kirlian think typo karelian photography practice taking pictures either finns russians depending one asks think lose sciimageprocessing group thread folks thanks bunches spl steve lamont sciviguy san diego microscopy imaging resourceuc san diegola jolla ca car car bumper strip seen
comp.os.ms-windows.misc,article samuel e wiggins writes btw would rate new borland turbo c visual edition windows anyone time new discussion maybe asked groups time ago tcve got answers decided try brother lives us bought sent im still trying get used put goodbad points list consider turbo pascaldos programmer sometimes try make something unix c exercises university used make programs microsoft c version used thirdparty libraries required like borland seems much easier use microsoft specially debugger tried learn codeview sometimes never felt confortable tc seems nice create simple apps like examples objectwindows book far problems lets see next week try something complex works nice even weak machine mhz mb ram manual resource workshop seems different version workshop windows appear manual itens manual think run trouble since got tcve brother present didnt wanted buy japanese version suspect manuals japanese believe far expensive bought present sent send registration card japanese branch borland knows id like ask questions know microsoft guys around group anybody borland email address contact technical support stupid questions ask example rw manual seems different rw anybody else using around book petzold useful intend use rw protogen make interfaces work code answers email composmswindowsprogrammertools please thanks advance rafael
misc.forsale,hi still tapes left postage paid best offer multiple orders appreciated necessary package deals welcome thanks chris bray lewis hueysports contains heart rock roll heart soul want new drug walking thin line hooters nervous night contains danced day day zombies nervous night poisonlook cat dragged st tape contains cry tough wont forget talk dirty hall oatesbig bam boom contains touch possession obsession rattout cellar contains wanted man round round quiet riotcondition critical contains mama weer krazy outfieldplay deep contains say isnt love love world plant robertshaken n stirred contains little little journeyraised radio contains girl cant help suzanne good ill alright without cant night go forever monkeesthen best monkees contains big hits plus inxskick contains mediate new sensation devil inside need tonight never tear us apart mystify great tape chris bray university arkansas fayetteville know white coral painted brown attached skull common wood screws make child look like deer
talk.politics.misc,article eric smith writes gene w smith writes saying people voted hitler became reich chancellor good part used bully boys attack communists hitler become become reich chancellor people voted im sure meant imply thought id bring eric smith hitler became chancellor people voted political party thats huge difference parliamentary system clayton e cramer uunetpyramidoptilinkcramer opinions mine relations people mutual consent
sci.med,sumatriptanimitrex became available us subcutaneous injectable form oral form available ca friendyes really severe migranes times per week live right ca border gotten drugs gerd prescribed us physician filled ca pharmacy yet fda approved us would cost oral form ca also anyone would info thanks
talk.religion.misc,question seem fundamentalists stephen tice cotera joe gaut et alapologies ive mislabelled ive started reading trm since bd disaster know cotera fundy defending koresh beliefs example true christianity persecution big bad secular state opinion reported sexual habits reports accurate iyo say quality christianity allegations part big coverup remain deliberately neutral cause fire wouldnt put past koresh torched place hand propanetankaccident story correct wouldnt put past fbi try cover ass claiming koresh hope government thorough investigation whole debacle ill disappointed heads dont roll authorities seem botched original raid matter fire guilty either serious misjudgement reckless endangerment steve watson aka carleton university ontario thisopinion myopinion assert thisopinion carletonuopinion somebody touched making everything new burned life like bolt blue somebody touched know bruce cockburn
comp.sys.ibm.pc.hardware,holly ks wrote western digital also three sets pins back using another hard drive well settings jumpers written right circuit board wd drivema sl jumper used drive conner cp xxx jumper set drive alone drive master sl drive slave michael michael gerhards preussenstrasse germany neuss voice
sci.electronics,article alan yelvington writes battery goes dead primarily becaust floor cold temperature combined selfdischarge promotes sulfation ruins plates battery strongly suspect reason battery doesnt go dead quickly dirt surface cement tends quite cooler please explain cement able maintain lower average temperature dirt sheesh
comp.sys.mac.hardware,derek fong writes extension cord type cable buy allows plug existing power cord plug extension cable quadra two approaches power cord kind detaches back monitor common get replacement power cord go monitor back computer get adpater connects plug end existing power cord provides proper end plugs back computer cost aprox available many computer stores clone dealers usually better things good prices power cords standard dont go looking special thing mac store
misc.forsale,panasonic kxp pin dot matrix printer cps dot diameter character lcd super quiet mode draft letter quality super letter quality fonts rear bottom front top paper feeding friction tractor color compatible needs optional color kit includes windows panasonic printer drivers disk bought jan used little still original ribbon cartridge nice printer brand new conditio dont use often enough need money ill take hans meyer
soc.religion.christian,mail server writes one thing dont understand sacred make temple rituals secret sacred secret explanation bit misleading profound reverence temple endowment injunction discussing ceremony public since public discussion often irreverent mormons would rather keep silent cherished practice maligned certain elements ceremony participants explicitly covenant reveal except conjunction ceremony granted gnostic christians secret rituals seem taken entirely pagan prechristian mystery religions interpretations christian history matter one must recall know gnostics written enemies eusebius claims jesus imparted secret information peter james john resurrection apostles transmitted information rest twelve eusebius historia ecclesiastica ii irenaeus claims information passed priests bishops heresies iv eusebius disagrees claims secret ceremonies christian church perished apostles interestingly enough eusebius refers groups today call gnostics promulgators false gnosis eusebius op cit iii gripe thay professed gnosis wrong one writings dealing jesus postresurrection teachings emphasize secrecy much concealment policy teaching certain things indiscriminately one story simon magus opens dialog peter nature god peters response seem know father god could tell whence souls made permitted disclose things clementine recognitions ii one theme underlies recognitions idea certain doctrines idly taught certain level spiritual maturity reached one approach evidence many ways dont intend everyone interpret christian history believe evidence exists favorably interpreted course early christian rites analogous practiced mormons today neither new testament christianity biblical judaism made secret practices judaism christianity ceremonies would expect read public documents one search book mormon mormon scripture find almost information temple worship yes could establish mormons worship temples would probably hard pressed characterize worship basis conclude bible explains practices might taken place absence descriptions proves exist mormon scholar dr hugh nibley offers us list scriptures taken given unto know mysteries kingdom heaven given matt men cannot receive saying save given matt yet many things say unto ye cannot bear john time cometh shall speak unto proverbs shall shew plainly father john unspeakable words lawful man utter cor many things would write paper ink come unto speak face face jn nibley since cumorah pp also interpreted many different ways believe serve show doctrines could taught actually taught openly heard joseph smith took entire practice ie ritual secrecy surrounding ritual freemasons anybody know authoritative information whether claim true historically joseph smith adiministering temple endowment ceremony nearly year joining freemasons diary evidence supports claim rite change smith became mason argued smith ample exposure masonic proceedings burlesque time brother hyrum mason though specific connection yet established conversations masons respect temple rite transcriptions appeared net led believe connection masonry mormonism fairly tenuous moderator notes similar removed recent revisions temple ceremony believe critics charge mormon rites lifted freemasonry adequate knowledge rites question jay windley university utah salt lake city
talk.politics.mideast,bill coleman writes responding discussion mosque jerusalem allegedly destroyed israel bc todays jerusalem post magazine feature story bc ongoing restoration synagogues jewish quarter author bc leah abramowitz writes fiftyseven synagogues bc quarter destroyed says used bc donkey stables building shells bc bc still find really really hard understand demolition bc buildings front kotel continues evoke outrage bc everything much cheaper happens jews bc bc double standard human behavior regarding jews must manitained perfect example outcry temporary removal men advocated murdering jews destroying state israel compared deafening silence abusive treatment jews arab countries past years compare tacit appoval world gives muslims randomly murder jewish civilians righteous indignation expressed people occupied territories kept working israel effort reduce random murders occuring everyone knows country required accept foreign workers except israel course jewish blood always cheap nonjewish world ha never regarded form jewish suffering important except jews models powerless victim holding high moral ground world war however soon jewish people started take care ancient hatred jews unleashed doubt nonjewish world even capable compassion towards jews antisemitism ancient basic christianity islam golda meir said would peace arabs love children hate jews know arab parents love children would send children streets throw rocks men trained defend guns world obsessed hatred jews trying defend yet even question actions parents simply allow children encourage throw harms way even arab children expendable tragic deaths used neverending propoganda battle blame israel jews misfortune befalling arabs middle east jew person whose integrity decays unmoved knowledge wrong done people j heschel
comp.sys.mac.hardware,saw article new line macs configured work optimally file servers anyone know details
rec.motorcycles,article beth dixon writes article chris behanna writes article beth dixon writes bzzzzt discovered sr touring bike nifty little cache things like coins lipstick new duc ss doesnt ill go back carrying lipstick jacket pocket life hard denizen thinks natural look best look thought kissing waxy shit smeared womans lips definite turnoff clear lipstickchapsticketc fit natural look waxy shit category wear something lips keep drying kissing dry cracked parched lips isnt fun either agreed yes chapstick fits waxy shit category although ive noticed stealing annettes chapstick shes applied kept lips cracking past winter like previous winters sighthe price must pay ill ever kissing beth noemi tom anything say wont noemi speaks darling annette okay guess ready barf bags later chris behanna dod hd fxwg wide glide jubilees red lady cb baby bike disclaimer would nec zx needs name agree anyway raised pack wild corn dogs
sci.electronics,im looking circuit flash led response output walkman cassette player could dont want turn want strobe speak per every beep put cassette tape would better use circuit based volume beeps cassette better leds respond tone certain frequency easy way either im looking simplest circuit possible guess im asking sort color organ quite let trt explain im going pattern beats beeps cassette tape tape youd hear beep pause beep pause beep pauseetc speed increasing time goes want synchronize led probably two beeps cassette tape led beep would go real quick generating strobe light sort effect rapidity beeps tape would turn effect rapidity blinking leds sound tape except background leds would remain please help thanks dana
alt.atheism,article peter simple logic arguments folly read bible see jesus made fools tried trick logic ability reason spec creation yet think ultimate rely simply reason never know learn must accept dont know anyone eaplain hes said cant seems jesus used logic make people using logic look like fools sound right maybe told fools thats people believed hmm sound reasonable either find always intriguing see people stating transcendental values cant explained next sentence try explain unexplained values highly strange cheers kent alink ksand private activities net
talk.politics.guns,article thomas parsli writes im trying censor newsgroup im trying give hints newsgroups doesnt belong altconspiracy drop three billiard balls ramp roll direction pour blood sea sharks converge miles around throw pebble one starling depart natural processes mimic outward results conspiracy actual conspiracy required put government functionary embarrassing situation quickly covers ass completely natural waco looks batf fbi cant handle situations like looks way understand first time instigated raids like recent one also ended long standoff wasnt quite public one didnt kill quite many people maybe screwup make think long hard raiding residences manner probably way went reminds stun bomb beeing dropped house la helicopter whole block went flames died assume youre talking philadelphia doesnt conspiracy maybe screwed youre fan conspiracies time make batch popcorn screwup time coverup believe speak company write today special investors packet
comp.os.ms-windows.misc,yamanari writes id say massive crash problems exceedingly rare windows almost never crashes crashed errant application personal favorite one corel programs hand os crash randomly number times mostly running applications know ibm systems ps slc particular absolutely problem os never random crash running programs os fact dont remember ever crashing course really dont run os programs bunch dos windows stuff ive always running slc slc system running doswindows one crash consistent ftp tendency crash whenever would get large files mb particularly fast clients dtrs k ksec figured problem smartdrvs write bufferingif turned write buffer everything would work fine ftp os never locked though even format floppies use often cited example superiority os instance im still wondering print preview windowed wp dos locks system yeah guess im willing admit os somewhat sensitive specific hardware wp dos works perfectly fine slc please explain time wait anything windows im copying formatting floppy printing even longi get pages dumped printman per minute still go thingsslowlywhile thisive downloaded pp printing well save personal files floppy windows floppy save large file hung system also found quite bothersome continually tweak tasking options fractint dos whenever wanted fractal computation background able address memory better dos sure mean idea os dos sessions see memory windows dos sessions let xpl shareware calculus program see around kb free conventional memory lets bigger symbolic manipulations possible straight dos would see around kb conventional ram also found really handy dosbased programs without rewriting could handle larger data sets simulate iterations etc course point moot since os programs write simply never run memory limitations never programmed windows dont much comparison though
comp.windows.x,excerpts netnewscompwindowsx apr x toolkits paul get impression andrew fsf dont know looks like either andrew user interface system supported maintained enhanced distributed andrew consortium carnegie mellon distribution terms x consortium gnu public license thus anyone commercially exploit andrew code without restriction encourage membership however defer universal release latest versions consortium members opportunity explore new capabilities se auis looks like try remote demo need x server r best machine linked internet give command finger instructions note demo version use motiflookandfeel scrollbar one available use demo changing option preferences file starting new editor andrew toolkit component auis ideal want build applications using compound documents andrews major feature architecture recursive embedding objects equation table figure text example architecture extends areas usually found toolkits including file stream formats cutpaste printing andrew also provides commonly requested applications word processor spreadsheet drawing editor font editor latter two version generally released xr tape december fred hansen director andrew consortium
alt.atheism,article sn mozumder writes one reasons atheist limit god giving god form god face wait minute thought said allah presume allah god unknowable yet claiming know concrete fact say god face doesnt bible say god hindparts suggest decide right right god hindparts face use quotation marks god face allow interpret mean whatever like peace bobby mozumder norman
sci.space,mike adams suggested discussions longterm effects spaceflight human love topic regulars know seen henrys encouraging statement starting talk shall feel community people unique resources deliver world comprehensive book elaborate utility spaceflight fields divergent medical intensive care agriculture environmental protection probably believe general public understands impact spaceflight whole society absence knowledge see dwindling support worlds space effort believe group responsibility communicate amongst also others print media wellorchestrated technically oriented analysis life science variables required support longduration spaceflight like long expenditions moon mars would entertaining educational general public objective effort would compile resources publications accepted scientific technical journals would address major life science area addition ideas research development could put forward general public ponderallowing general public take part excitement exploration individuals interested willing devote hour per week running literature searches finding journal articles addition need obtain assistance personnel within halls nasa industry appreciated positive responses date personally eager start project perhaps could start debate regarding best grade viability various technologies application spaceflight ken
