label,text
Sci/Tech,"FireFox 1.0 Roundup \\So FireFox 1.0 is released and the world rejoices (congrats guys !).  I sure\hope that Mammonsoft  has started working on IE 7.0 or they'll start to fall\behind.  Granted we have a long way to go before we catch up with Microsoft but\when you're on top you really have only one way to go (and thats down).\\Over at EWeek they're running an inteview with Mitchel Baker which is worth\checking out:\\""There's a whole set of things leading to interest in Firefox. One is the\product itself, which, once people have tried it, people love it. So it's both\innovative, it's got new features, it makes the Web a more enjoyable\experience, it makes people more comfortable, and it's fast. It's a set of\thi ...\\"
Business,"UPDATE 1-Potlatch to sell \$457.5 mln in assets to Ainsworth Forest products company Potlatch Corp. (PCH.N: Quote, Profile, Research) said on Wednesday it agreed to sell certain plants and assets to Canada-based Ainsworth Lumber Co."
Sci/Tech,UM scientist helping explore Saturn moon MISSOULA -- A University of Montana physics professor will be helping scientists explore one of the largest moons in the solar system next week.
Sci/Tech,Asteroid Toutatis Makes Closest Pass in 651 Years (Reuters) Reuters - An asteroid named for a Celtic god\of war will come as close to Earth this week as it has since\1353.
Business,Russian beer advertisements canned Putin signs law restricting airtime and content in effort to curb his country #39;s alcohol intake. MOSCOW (Reuters) - A sweeping ban on beer advertising in Russia became law Tuesday in a move to curb the country #39;s 
Sci/Tech,"Mozilla: The next Internet Explorer? At the Office of Information Technology computing cluster in Perkins Library, junior Alexandra Oliveira was among the many students browsing the Internet."
Business,"eBay boss named most powerful businesswoman in US Meg Whitman of eBay has been named the most powerful woman in corporate America by Fortune magazine, toppling Carly Fiorina of Hewlett-Packard who had been at the top of the list since it began in 1998."
World,"Moves to rid schools of weapons Head teachers in England could gain powers to tackle pupils carrying weapons, under government plans."
Business,Hardie feels boycott pain ASBESTOS-RELATED boycotts of James Hardie products have forced the controversial building products maker to slash its profit forecast.
Business,"New priority: SLC ponders ways to absorb Delta flights With January fast approaching, and with it the prospect of nearly 60 new Delta flights, Salt Lake City International Airport officials are rushing to absorb the increase."
Sports,McLeish hails duo at heart of Gers #39; derby resurgence RANGERS manager Alex McLeish has hailed Alex Rae and Dado Prso as the pillars of strength who have helped turn around the clubs derby-day fortunes.
Sci/Tech,"Study claims lake on Mars was wide, deep NASA #39;s Mars rover Opportunity found evidence for a lake or sea on Mars, and new research suggests the body of water was deep, large and long-lasting."
World,"Lanxess Moving Texas Factory to China (AP) AP - Lanxess Corp., a chemicals and polymers unit of Bayer Corp., plans to move one of its factories from Texas to eastern China's Shandong province, state media reported Wednesday."
Sci/Tech,"NTT DoCoMo, mmO2 to  #39;partner #39; on UK i-mode British mobile phone network O2 will launch an i-mode service next year after licensing the technology from Japanese telco NTT DoCoMo, newspaper reports have claimed."
World,"Pardon request draws Chechens #39; ire MOSCOW - Amid rising ethnic tensions in the North Caucasus, thousands on Tuesday took to the streets of Grozny, the Chechen capital, to protest the proposed pardon of a Russian army colonel who murdered a young Chechen woman."
