label,text
Business & Finance,"Title: Can My Yahoo ID have a dot (.) in it?, Content: The Yahoo signup page says that a single dot can be used, but it will not accept it., Answer: I think so...but if it doesn't accept it, your current ID is fine."
Business & Finance,"Title: what are the laws ilived with someone for three years they own the house but now they want me out?, Content: , Answer: depends on the state you live in, some yes others no, you have as much right to the house as he has, check the laws in your state"
Politics & Government,"Title: Do you believe or feel that the government controls your phone calls and internet traffic?, Content: Or msybe you have any evidence that this is the case?\nWhat would you do if you get confirmation that the government track you calls and internet traffic?, Answer: I believe that the gubment monitors every aspect of telecommunications. Bush is the crookedest mofo to have squatted in the whitehouse in years. He has allowed spying in the USA under the guise that he is trying to foil terrorism. His dad used to be the deputy director of the CIA. So he has and will to continue to do whatever he and his vp deputy dog want to do."
Science & Mathematics,"Title: why a wet area of any fabric or paper appear darker than the drier area?, Content: , Answer: Because the color of any object which does not emit light is really due to the effect of reflection, there are various ways in which color is ""generated"".\n\nThe color spectrum is Red, Orange, Yellow, Green, Blue, Indigo and Violet.  Because the light emitted by the Sun is most intense in the Yellow part of the spectrum, we see Yellow as the brightest ""color"".  Go in any direction away from Yellow and we see darker and darker colors. \n\nWe see the color of an object as the summation of the light that is reflected by that object.  When a piece of cloth or paper is wet, it absorbs water which fills in the spaces between the fibers.  Water reflects mostly in the blue spectrum, so that adds to the total light which is reflected by the object.  This added blue light makes the total light appear ""darker"" to us since it ""drags"" the spectrum of refelcted light away from Yellow."
Education & Reference,"Title: How do i write a bibliography on the American red cross?, Content: In my class we kind of have to write a research paper. Mine is on the American Red Cross , part of this paper is to wite a bibliography. I can't remember what a bibliography is, i know how retarded, and how do i write one on the red cross., Answer: A bibliography is different from a Works Cited page.\n\nBibliography is a sampling of books on a particular topic, usually encompassing the major works in that literature and some contrasting opinions.\n\nWorks Cited is a listing of books, magazines, journals, etc., from which information is taken to write the paper.\n\nDepending on what type of writing style you are using (MLA, APA, Chicago, Turban), you will either write a Bibliography or a Works Cited page.\n\nIf a specific writing style hasn't been assigned, usually MLA or APA is accepted.\n\nIn general, a Bibliography is an alphabetical list (by last name of author) of all the works you've cited, referenced or utilized.\n\nThe authors name, with last name and a comma and initials, goes first.  Then the Title of the work (in quotes if it is an article, italicized if it is a periodical, underlined if it is a book) Example:\n\nKeynes, J. M.  <u>A General Theory of Interest and Wages.<u> London: Houghton-Mifflin Co., 1938.\n\nTobin, J.  ""Towards a More Economically Just Society."" <I>Econometrica<I> Vol. 47.  Univ. of Chicago Press, May 1963."
Sports,"Title: Can you sponser a football team in El Paso, Texas?, Content: My name is Coach Levario and I have an 8 year old son who loves football.  However, the majority of teams in my city are located too far from our home.  We live in the the 79938 zip code and I would love to start up a football program for ages 8-11.  If anyone out there is intrested in sponsering a team please contact me at geolev2@yahoo.com., Answer: That is cool that your first name is coach.\n\nYou probably need to call one of the other teams and ask them to give you phone numbers of people to call.\n\nThat would be what I would do."
Health,"Title: Do you know the name of the ""hot"" yoga?, Content: There is a type of yoga that is held in a room with a high temperature (like 102 degrees). Do you know the name of that type of yoga?, Answer: I am a conscientious but nondenominational exerciser, and coming to Bikram (a.k.a. ""Hot"") Yoga began more as a scheduling convenience than devotion to its unvarying regimen of 26 poses (asanas), each performed twice and held for what can seem like forever over the course of the nearly two-hour class. \n\nYoga comes in almost as many guises as there are yoga instructors, but most classes build on the same basic foundation of poses performed sitting, standing and lying down. Although some, like the Sun Salutation, consist of a progression of steps, more often the goal is to work gradually toward a single ideal shape: the bow, the triangle, the cobra. My needs are simple: I want supervised, intensive stretching, and every yoga class I've ever attended offers at least that. \n\nThe truth is, I hated this Bikram class when I started. At first I returned only because I was desperate — the victim of a muscle-kinking bout of business travel (cramped airline seats and strange beds). Our teacher, Leah Weisman, seemed to talk incessantly. The room was always full, from 30 to 50 people. And the space was intentionally overheated. \n\nTrue Hot Yoga requires a room temperature as high as 105°F, supposedly so muscles warm up quickly and stretch more easily. This gym's drafty old studio achieves only Balmy Yoga — about 81°F — which is just as well. I've experienced optimal Bikram temperatures just once, and frankly, that's way too much bodily fluid shared and dripped and flicked around among a bunch of people who know one another in anything less than a biblical fashion. \n\nBut the thing I hated most about the class was that at the very end, while everyone was resting for a few minutes in the stillness of Shavasana, the corpse pose (designed to quiet the mind), Leah broke into song. Classroom scuttlebutt is that she has been known to sing On a Clear Day, You Can See Forever, but I've only heard her sing verses from New Age-y folk tunes that mention planets spinning around the sun and the Earth Mother calling her children home. \n\nWhy torture myself so? Simple: love triumphs over hate. As it turns out, Leah is an excellent teacher. Week after week she goes through the same routine without ever falling into autopilot. She is very ""present in the moment,"" as she might describe it. Leah offers cautions about overexertion, suggestions on how to do each pose at various levels of challenge, and great good humor. Last week she talked about a meditation seminar she had attended and called the impromptu lecture her ""sermon on the mat."" \n\nAs a gasping heater blows lukewarm air around the room, she intersperses practical instruction (""Pull up your quads as you pull down your hamstrings"") with abstract concepts (""Remember, you're burning new neurological pathways"") that I take or leave, depending on my mood. \n\nLeah wanders among the students, propelling the class forward even as she stops to adjust an arm angle here or perform a thyroid-massaging chin tuck there. She urges noncompetition, with oneself (""However you do the posture today is how you should do the posture"") and with others (""How can you compare yourself to your neighbor? You don't have the same body!""). Her monologue becomes a mantra, returning my oft-wandering focus back to the pose I'm attempting. Where is my center of balance? Can I feel my spine stretch if I imagine my head and tailbone pulling in opposite directions? How does my alignment shift when I turn my foot three degrees to the right? \n\nSome people criticize Bikram for being too arduous, but as with all yoga, much of the responsibility falls to the individual. I welcome this opportunity to eschew faster, higher and stronger in favor of deeper. In this regard, the simplicity of Bikram's poses is one more way to avoid being distracted from myself. \n\nTo spend this much time slowly and gently stretching is a luxu"
Society & Culture,"Title: When an association brings a welcome to the neighborhood gift is a thank you note required to be sent to them?, Content: , Answer: I don't believe that it is expected but I suppose that it wouldn't hurt. Usually, gift items from a welcome wagon are also a form of advertising for the local merchants. A thank you to the person who delivered it should suffice."
Education & Reference,"Title: im currently doing banking & inurance am in sy.can u tell me wht should i do after complting my ty in bankng?, Content: , Answer: take a spelling course"
Sports,"Title: lwho starterd basket ball?, Content: , Answer: Dr. James Naismith"
