label,text
Business & Finance,"Title: we are paying mortgage on a empty house that is for sale is there a better solution?, Content: paying mortgage and renting an apt due to pending divoice is there a better way to handle this until the house is sold renting  is not an option, Answer: Time for getting past what caused the split and figure out how between the 2 of you to get the best value from the situation.\n\nFirst if you can, you need to lower your price.  \n\nNow use the kids ballpark divvy system.  Remember when you were a kid and had to share a candy bar with a friend.  One of you would break the candy bar in half and offer the choice to the other person as to which half they wanted.  Simple but fair and very effective.\n\nWhat I'm suggesting is that you agree between yourselves that one of you will make an offer to move into the house until it sells and makes some sort of payment as rent.  Now that might be the whole payment or a partial payment, either way it should be better off than each of you paying half of the payment on a vacant house.  So the agreement is made and the offer is made, now the other person (not making the offer) has the choice of either moving back in or letting the offeror move back in.\n\nIf moving back in isn't an option for one or both of you get creative and work out some other sort of arrangement.\n\nGood luck"
Business & Finance,"Title: if tomorrow you would wake up as a member of the other sex... what would you do? how would it change your life, Content: be imaginative., Answer: well, everythign would be an issue. explanations, id's, work, my bf, my lifestyle...\ni would miss a few things like being able to dress sexy and tease males. i would not miss periods.\ni would make more money. \nafter i would get clothes, i would go and get a drink, pee standing up and try to find a woman to see how it feels like to make love, instead of being made love to."
Politics & Government,"Title: Court ruling...?, Content: I went to court to battle an uncooperative ex-wife over unpaid medical bills for my son. The judge ordered her to pay me the FULL balance. The bills are in collections but it get's very confusing because they are my sons bills, but under my name. The judge said we can take care of it any way I want meaning she can send me the check or send it directly to the collections agency. I want it sent directly to me so I can make sure it gets paid, she hadn't paid this bill for over 2 years, why would I trust her? Now she says to me to give her copies of the bills so she can review them. Is she too late for this? It's already court ordered for her to pay it. I have already done enough leg work getting balances and calling and fighting with collection agencies because she wouldn't cooperate. Do i have to provide her anything now that its court ordered and been through court? She is threatening a De novo hearing., Answer: She is in contempt of court.  At this point, its not her concern what the bills are and for how much.  She doesn't need to see them.  The court ordered her to pay them and that's all she needs to know.  I'd advise the court that she is in default and request another hearing."
Science & Mathematics,"Title: if dinosaurs descended from birds did they sing like birds?, Content: , Answer: Birds descended from dinosaurs (or at least from thecodont archosaurs closely related to the dinosaurs), not the other way around.\n\nAs far as singing like birds, only one Order of birds, the Passeriformes really sings.  Ostriches, penguins, chickens, hawks, owls, vultures, seagulls, albatross, ducks, boobies, flamingoes, etc. are not really known for their musical ability.\n\nSince the ability to sing is not ancestral to the bird lineage, it is unlikely that it is a trait that came from the dinosaurs.  \n\nThat's not to say that vocalizations didn't evolve separately in one or more dinosaur lineages, but it wouldn't have been homologous to the Passerine vocal ability."
Education & Reference,"Title: Check my grammar - about embarrasing experience..?, Content: check grammar and structure...let my sentence smooth...\n\nAn embarrassing experience\nThe most embarrassing experience to me is that I went out for dinner without taking money. One day, I had a dinner with a man. I was dressed up for the date and yet I didn't take any money. We really had a good time. Unfortunately, he got a emergency call and he left as soon as I response. After he left, I realized I had no money to pay for the bill and it hardly to sit there one more minute. Finally I called my father for help and ever since then I always carry money with me., Answer: Hi-Pretty good.  Just a few minor changes: \n\nThe most embarrassing experience I have ever encountered was when I once went out for dinner without taking money. One day, I had a dinner with a man. I was dressed up for the occasion but didn't take any money. We had a really good time. Unfortunately, he received an emergency call and had to leave immediately.  After he left, I realized I had no money to pay for the bill and didn't know what to do.  Finally, I decided to call my father to help me, and ever since then I've always carried money with me."
Sports,"Title: is baseball still America's pastime?, Content: , Answer: baseball is americas pastime, but football is americas passion"
Health,"Title: I'm ashamed, please help?, Content: I cut my arm a few days ago, and now im so ashamed of it im hiding it, its not bad but please help me because im scared incase my mum finds out. =(, Answer: ""Cutting,"" what you are doing, is very common (perhaps too common) among teenage girls.  It is seen as a cry for help.  Perhaps you should so your mom and explain this to her.  If you don't feel comfortable with that way, talk to a guidance couselor at school or another adult that you trust.  But please, please talk to someone!  Good luck."
Society & Culture,"Title: Why do black girls always say I'm so crazy?  (""You so crazy"")?, Content: , Answer: Why the reference to race, girls of all different races have said that to me.\n\nEither way, why don't you ask them what they mean by it?"
Education & Reference,"Title: What's the interpretation of Anglo-Saxon street poem by Earle Birney?, Content: , Answer: ?"
Sports,"Title: if shaq and kobe fought who would?, Content: , Answer: As in a basketball match up or a fistfight?  If we are talking about a basketball one-on-one match up, then I believe that a healthy Kobe Bryant would be able to take on a healthy Shaquille O'Neal any day due to his superior outside shooting and ability to get by his man for a drive to the basket.\n\nHowever, this does not take anything away from Shaquille--who is a great player in his own right.  I pretty sure he would dominate Kobe if he were to back him down to the basket for a dunk.\n\nIn the end, I just think that Kobe would score more.\n\nNow if we were talking about a fist fight, then hands down, the winner would be Shaquille because of his built and size.  I'm sure that if he were to land a punch on Kobe, he would be feeling that one till next year.\n\nHope this helps."
