,text,label
0,"Spending New Years Alone, We got you! : Hey everyone, just want to said happy new years. I am spending new years alone and I just want to post for all the lonely people, that 2020 is a new year. Make the change and don't dwell the past. Even if it doesn't seems to look up, it will get better and you will always have friends among this great people here. Happy new Years everyone!",not depression
1,"Don’t know what to do : It’s New Year’s Eve, I want to kill myself and die. I don’t think life is worth living and I know my sister and family would eventually move on. Don’t know what to do but if feels better telling at least someone.",moderate
2,"An hour into 2020 and I had already slipped back into self harming. : Multiple trips to the psych ward during 2019 after suicide attempts, and now this (and I drunk called my brother).
Fuck this year is already starting bad. I'm not sure if I'll make it to 2021.",severe
3,"Coming to the conclusion I’m useless : I’m bad at everything I do, I’m bad at video games, I can’t rap/sing, i can’t cook, I’m fat, ugly, every negative trait you could have. I feel like a sick joke human experiment from god. Like he created me to see what happens when he doesn’t give someone a talent or special gift. I’m lazy, unmotivated, just worthless in general, I’m a unarmed security guard at a bank A.K.A useless corpse waiting to be shot. My life has zero value and nothing would change or be affected if I were to disappear in the next hour.",severe
4,I feel like shit : I feel like shit. I've cried non stop for the past 5 days. Not sure what's going on. Ever since my 16th birthday a month ago everything has gone downhill. I'm suicidal but I'm too afraid to tell anyone. My nurse increased my meds about 3 months ago but I feel worse. I can't stop crying. Crying. Crying. I don't want to live like this anymore. I don't think I can make it.,severe
5,Does depression make you want to break up with your significant other? Why? : I don't know if being severely depressed over the last 2 months has screwed up my brain to make me lose all feelings of love towards my SO. I have tried initiating a breakup with him 3 times over the past month. This is very disturbing and neither of us know what to do.,moderate
6,"2020 is gonna kick my ass : if I don’t end it all this year it will be a miracle. I’ve already spiraled for the past 6 months and I don’t know what the FUCK TO DO. my mom has terminal pancreatic cancer and she’s been diagnosed for 4 months. The average time from diagnosis to passing away is usually 3-6 months and 8-12 months with good treatment. If she dies this year idk how I won’t kill my self or give up on everything. I’m graduating high school this year and I’m worried I’m going to end up hanging from a noose or strung out on every drug I can get my hands on. I’m a 17, almost 18 year old girl I should be hanging out with friends and partying like I did when I was 16. Instead I cried in front of my parents 30 minutes after watching the ball drop in New York. I started this decade off crying and with zero sleep.",moderate
7,"NYE : I couldn't hold myself back from crying at the table. I felt like shit the whole time having to pretend to be happy. I feel so anxious in front of my family. 2019 was the worst year of my life. I hate New Year's, everyone is expected to change and become better people and no one understands that I just want to stay the same (shitty and depressed) and hopefully not live to see another NYE.",severe
8,"27M all my friends, peers are moving with their lives, i feel like i'm stuck in a rut going nowhere. : **I'm a 27M , no job no gf zero friends, no social life, totally loser,** i have tried everything to get a job, get a gf but getting rejecting from both, therefore i have no social life, no friends no money and no reason to go outside the house, while all my friends getting promotions, getting beautiful girlfriends and cars, all i have to do is stay in my room and scroll facebook and instagram, which makes me more depressing. They all have great lives while i have zero social life, and they go along with their age, right things at right age, while i have no clue why nothing works for me. Today is 2020 January 1st, first day of the decade, and i woke up with zero notifications zero new year wishes tho i stay on social media 24\*7. I'm at that point i dont hate my life now, im slowly hoping it would be end soon, as i can't bear this loneliness and hopelessness and defeat anymore. I'm not envy with others lives, but i don't know why nothing works for me. Just don't tell me go out and make it happen i have tried for both jobs and girls, getting rejected from every interview and not even get a dm back from any girl. And its eating me alive i'm running out of time... i know im lost, but i don't know why this shit happen only to me.  


i don't have any social skills to make friends or to get a gf. i'm not an interesting person, just a pale skinny guy with a feminine face, so the girls reject me at the first glance, i'm not very good with sports music and anything particular girls find attractive, all i do is sit in my room and watch movies. i'm tired of these things bothering me, im really love if my life end now, i mean i don't want to things get better or worse, i'm sick of this being a someone who is not good at any thing or not special to anyone",moderate
9,"I don’t know wanna do it anymore : I can feel myself slowly drifting away day after day for a while and I’m just like scared of like everything like I don’t wanna die but sometimes I just can’t imagine being here any longer and like my ptsd, anxiety, and depression just keep getting worse and there’s nothing I can do",not depression
10,"It’s officially 2020 here. No one has wished me a happy new year. I’ve already cried once this year. : It’s 1:20AM. No one has wished me a happy new year yet. Not even my boyfriend, because we had an argument. So I spent the last hour crying. 

I feel like this is the year I die. Finally.",moderate
11,"Attitude towards loneliness : Recently my feeling of loneliness becomes unbearable. I just spent the day crying because of the dreadful feeling that no one would ever like me or even see me. Yet when people do show an interest or appear to like me for whatever reason I just want to hide and push them away. I start to think that there must be something wrong with them or they’re trying to use me in some way because how could someone with a sensible mind ever truly like me. Or because they haven’t discovered the true me, the me whom I just know too well, a horrible and lazy human being. When they find out about this me they will all leave in the end.",moderate
12,"why is it so easy to feel so alone? : Just kind of feels like the world is failing apart again. I have been genuinely okay and then one thing happens and i feel utterly useless again, guess we starting the year off depressed. 

I don't want to be me, anymore. It hurts too much.",moderate
13,"Anyone else find that they are unable to cry? : I've been depressed for about fifteen years and when I think about it, I don't think I've cried for the last seven or so. It doesn't happen and I can't get it to. I feel like there's something wrong that this ability or natural reaction is gone for me. Maybe it would be helpful or cathartic to let things out, but I'm unable to get myself to cry. 

My depression mostly feels like nothingness instead of sadness, but there's a lot of sadness I think I need to feel to get over things, but it's like I can't make myself experience these emotions.

Is there any way to get back this ability or these feelings? I take medications and see a therapist and psychiatrist, but they haven't helped in enabling me to experience emotions or be able to cry.",moderate
14,"I hate myself so much that it spreads around me at times : Hi,

Before I begin, I am sorry for my language skills, it isn't my native tongue and I am not the best writer. This is the first time I express myself. I have nobody else but here.

  
In my country at schools retakes are once a year at the end of academic semesters where one retake can make you pass or fail the whole year. Until university I always slacked around and was practicing programming. At the end of each academic year I would attend all retakes and pass with C or above. However, we had those meetings where teachers would give feedback about us to our parents. And teachers always said ""Kuzenet is very kind and quiet. He is a nice boy, maybe the nicest in the class but he doesn't study at all."" These words would render my mother super angry. Every time she is back from those meetings I would get yelled at and my mother would cry every time. I am very sensitive and it was very damaging for me. Not to mention i did get beaten up a couple of times due to my mother's anger. My father would make his grumpy face - i would rather prefer someone torturing me instead of seeing him like that for months. He would never talk to me with a happy and welcoming tone. I could tell he wants me to go away as soon as possible his sentence is over from his tone. By the time my parents get better, another meeting would happen and all would reset. This loop begun in primary school until the end of high school.  


The reason why I mention this is because, now I feel incredibly inferior although I got scholarship and a part time engineering job. I feel very stupid at work and at university as well. Especially because the fact that I started university a lot later than my peers. I have no friends, literally zero. People only text me when they need help with assignments or when they study for exams. People I helped gave me nice feedback all the time about how their grades improved thanks to my assistance and all. No friends from that either. I pick foods that don't damage your brain but I love chocolate and every time I eat chocolate I feel very guilty thinking the sugar will dampen my cognitive abilities once sugar levels go down. All I wanted was friends that I can listen to, text with, read their messages. My phone doesn't function well for the past year and I didn't get a new one because there is no use for it in my life.  


I read a lot of suggestions online about going to rock climbing or something like that, but I am not into that and besides, I am living abroad. It is really hard to make any friends when you are a foreigner even if you are a fit in their culture just because you don't know the language that well. There is also the fact that some people don't like the country I came there from. They have assumptions about people from there and they avoid me at first. I do not put in the effort of proving them I am worth their time because I also don't think I am a great person either. I am only good at solving problems when people have one. Other than that, I don't know what to do.  


This consistent anger at myself being stupid and incompetent makes me short tempered at my parents. When I visit them I get easily annoyed. Today I made my father upset, I am very afraid of losing my parents as I think as people age they can't endure sadness or stress well and each time they are upset, I get 10x more depressed at least. My hatred towards myself is just adding up. This ends up being a infinite loop.  


I remember I was a very happy kid but nowadays nothing makes me happy. This has been going on for about 8 years. Everything is black and white. I attract no-one, I don't look into mirror for the past 8 years and I overthink everything.  


I hate myself to the fullest and I can't forgive how many times I made my parents upset. I failed a business before starting university due to third-party conditions. It wasn't my fault but still, I am the one who caused a loss. While I am not considering suicide because I can't do that to my parents, I don't feel alive at all. I live to work, yet I fail at being successful.",moderate
15,I wish I could give my life to someone who actually wants to live : Fuck New Years by the way,moderate
16,just need someone to talk to : happy 2020 everyone. i just self harmed for the first time in about 5 months and i just need someone to talk to. i feel so alone.,moderate
17,"2020 I want positive energy for myself I'm tired of being depressed : This year I'm going to improve myself by gaining knowledge and experience.

I'm going to find a girl that's positive and is going help me when I'm down.

I'm going to earn a income good enough for me not to worry.

I'm going to take negative energy and convert it to something I enjoy doing.

This year I'm going to be happier than before.

This year I'm not going to to let my emotions get the best of me.

This year I'm going to say, think, and do positive things for myself and people.",not depression
18,"Is it possible to become a success even 30+? : I feel like I wasted the last ten years. My peers, meanwhile, have careers and families... I'm so behind them. Is it too late for me? Has anyone gotten their shit together after being behind for so long?",moderate
19,"I can’t life anymore : The frustration of being untethered to life, floating away and still failing at disappearing, is unmatched.",severe
20,"Warning: semi-explicit: Sexuality. Not Ready for Sex... Normal? : I’m 19, straight had semi- sexual experiences with guys. 1) I don’t know if I like kissing or not. I’ve kissed 4 different guys now all relatively recently too and didn’t get much...any pleasure really from the actual kissing. Maybe that’s chemistry or maybe I just don’t really like kissing. I kinda don’t mind it tho, and actually really like making out but not really because of the kissing but because it’s intimate and hot and fun idk lol. ALSO I feel like I’m way behind with everyone my age not being ready for sex and all but I really think it’s connected to my mental health (me being mild/moderately depressed like 24/7 all the time everyday, mainly everything is somewhat dissatisfying, nothing completely fulfilling). Am I just not ready or is it me being inhibited bc of my mental health? Me not wanting to because no one’s ever made me orgasm except myself (and I’m not even sure I’ve done it before) and I definitely don’t orgasm most of the time that I masterbate which is also rare and I don’t try to explore much cz I’m depressed, lazy, only have desire to do it like 1-2 times a month. I feel like maybe I have a more difficult vag haven’t tried like any toys besides a tiny cheap bullet vibrator which did absolutely nothing for me, inside or on my clit. Am I just not ready for sex cz want it to be with someone meaningful (fulfilling) and that will make me feel ready as well as not being depressed so things will actually be satisfying? Or maybe I just have to learn how to actually get pleasure down there and then I’ll want to do more. Idk what’s normal and what’s not. Turned down sex (and blow jobs, no desire to do that or even TRY it at all) (not willing to try many new things cz of my depression) multiple times cz just no desire to really go for it, do it.",not depression
21,Death of my father : My father died in the beginning of December. While he was not a great father he was the only person I felt I could even talk to. I was extremely upset but later on found out that he apparently never told his own brother that we existed. Everyday I am either angry or upset. I feel so alone and being around my mother is worse who constantly talks over me or criticizes me. There is nothing positive in my life at the moment. The only thing that keeps me going is my dog or reading.,moderate
22,"Happy New Year : Resolutions:

* Don't get caught up in politics!
* Don't fight other peoples battles for them
* Lose some weight
* Stop being so fucking hard on myself
* Focus on making myself happy
* Focus on the people in my life who have proven time and time again that no matter how bad my dark times get, they still love me.

Best Friend, brother, nephew, you are my rocks!

To everyone who reads this, I wish you a happy new year and hope you made it through this holiday period in as much of a single piece as you could.

Every day you wake up is a victory.

Every breath you take is a battle won.

Every smile you manage makes you a hero.

I love you all.",not depression
23,"It’s a new decade and I still hate myself : Mental illness is the worst. I feel like I’m supposed to be happy when i see all these happy people, but all I feel is despair. At least back in 2010 I had hope still. All that hope has turned into bitterness and despair now. Here’s to hoping the new decade gives me something to actually look forward to",moderate
