,text,label
0,"Title: use ARE or IS ?, Content: when is your summer holidays ? when are your summer holidays?\nwhich sentence is right?, Answer: Your second example is correct. Because 'holidays' are plural, that is, there is more than one holiday, your verb must agree. 'Are' is the correct form of 'to be' for use with plurals. \n\n""When are your summer holidays?"" is the correct form of this sentence, and an educated native speaker of English would use this.",Education & Reference
1,"Title: where can i find fastpitch softball gloves at a decent price?, Content: looked on ebay but way to expensive for the good gloves, Answer: Softball.com. Whatever you do don't buy used. I would also reccomend really going to a store, that way you cant try them and find one that fits and works for you. Try Dicks Sporting Goods (pricey but well known) or Olympia Sports",Sports
2,"Title: how do you let him know you want him without coming right and saying it?, Content: ?????, Answer: well someone has to bust a move...why not you?",Family & Relationships
3,"Title: Who is the worst football player in the premiership?, Content: , Answer: Christiano Ronaldo he is just a big puff who worries to much about his hair",Sports
4,"Title: if shaq and kobe fought who would?, Content: , Answer: As in a basketball match up or a fistfight?  If we are talking about a basketball one-on-one match up, then I believe that a healthy Kobe Bryant would be able to take on a healthy Shaquille O'Neal any day due to his superior outside shooting and ability to get by his man for a drive to the basket.\n\nHowever, this does not take anything away from Shaquille--who is a great player in his own right.  I pretty sure he would dominate Kobe if he were to back him down to the basket for a dunk.\n\nIn the end, I just think that Kobe would score more.\n\nNow if we were talking about a fist fight, then hands down, the winner would be Shaquille because of his built and size.  I'm sure that if he were to land a punch on Kobe, he would be feeling that one till next year.\n\nHope this helps.",Sports
5,"Title: what about sania mirza's future?, Content: , Answer: she would top the charts in India...but when it comes to worlds charts she hardly makes any difference...coz she cant dream big..she just says ""gettin into top 40 and staying there is difficult task...as we need to play a top quality player every week"" if she says so...where is chance for her to grow big....i feel she is just blessed with beauty making her to earn fans+commercials...\n\n""Sania banegi Rania in India"" bahar sania bas sania...uske siva aur kuch nahi....\n\n:)",Sports
6,"Title: Help CALCULUS please!!!?, Content: the altitude of h of a rocket from its moment of launch untill it falls to Earth is given by h(t)=t^4-8t^3+375 where the altitude h is measured in ft n time is t in sec. a. what is the altitude of the rocket. b. when does the projectile impact earth? c. what is the maximum altitude? d. what is its maxu=imum upward velocity? e. what is the maximum downward velocity? f. what is its maximum upward acceleration? g. what is the maximum downward acceleration?, Answer: Strange formula, since it has no consideration of the changes when the engine runs out of fuel.\n\nSuggestion, if you have Excel or something like that...\n\nPlug in a series of times in one column - perhaps seconds, or for more precision, try tenths of seconds.\n\nHave the next column calculate the height based on your formula.\n\nThen you could calculate vertical speed in the next column.\nYou can also have Excel plot graphs of this....\n\nSounds like your homework is the usual kind.  Maybe this will help.  \n\nClearly, if you differentiate the expression, you can get a formula for vertical velocity (dH/dT)  \n\nIf you solve for t when vertical velocity = 0, that will be the time of maximum altitude...\n\nAnd so on.  Good luck.",Science & Mathematics
7,"Title: Does anyone think the extended(4 hour) voting period will influence the outcome on Idol?, Content: , Answer: It'll just show how many more actually voted for him over Katherine.  SOUL PATROL",Entertainment & Music
8,"Title: Why are people so hell bent on dissing Madonna?, Content: is it because shes the biggest celebrity out there and there for a bigger target?\nis it because people are afraid of what her messages are?\nor is it that they secretly do like her but are afraid to admit it., Answer: because she as a celebrity, performer, artist, she always reinvented herself to create new buzz about her, whether it be bad or good...she invented the concept...\n\nnow all the other Madonna wannabes (Paris, Britney, etc.) do the same thing, but they have made some bad choices, so people turn at look at Madonna, and she is the biggest star out there, and basically say she is doing bad also...\n\npeople need to grow up...she was never the greatest singer, but she is the smartest, since she has been able to stay on top all these years.\n\nOh and people love her. She the biggest person out there, so people are interested in her, whether they admit they like her or not.",Entertainment & Music
9,"Title: what is a ESI?, Content: A injection in mt back of cortisione......, Answer: ESI stands for Epidural Steroid Injection",Science & Mathematics
10,"Title: Tim Vine fans out there? He's hilarious, isn't he? My favourite joke of his is...?, Content: ""My cat 'Minton' ate all my shuttlecocks! I said,'Bad Minton!""\n\nOr his other one, ""I was watching 'Origami Tv' last night. It was 'pay-per view'!""\n\nFantastic!, Answer: got a link?? i want to check it out!mhee hee:)",Entertainment & Music
11,"Title: i know this sounds grose but why is it when u shave u get more hair?, Content: , Answer: You don't. That's a myth. You just get the same amount of hair with the same thickness you had before. It just looks different because it's cut differently.",Business & Finance
12,"Title: can i hear some jokes(best gets 10 points)?, Content: im getting bored and i need to hear something funny to get me going. thanks, Answer: A husband is at home watching a football game when his wife\n interrupts, "" Honey, could you fix the light in the hallway? It's\n been flickering for weeks now."" He looks at her and says angrily,\n ""Fix the light? Now? Does it look like I have a G.E. logo printed on my\n forehead? I don't think so.""\n Well then, could you fix the fridge door? It won't close right."" To\nwhich he replied, ""Fix the fridge door? Does it look like I have\n Westinghouse written on my forehead? I don't think so"".\n ""Fine,"" she says, ""Then could you at least fix the steps to the front\n door? They're about to break."" ""I'm not a damn carpenter and I don't\n want to fix the steps,"" he says. ""Does it look like I have Ace\n Hardware written on my forehead? I don't think so. I've had\n enough of you. I'm going to the bar!!!""\n So he goes to the bar and drinks for a couple hours. He starts to\n feel guilty about how he treated his wife, and decides to go home and\n help out. As he walks into the house, he notices the steps are already\n fixed. As he enters the house, he sees the hall light is working. As\n he goes to get another beer, he notices the fridge door is fixed.\n ""Honey, how'd this all get fixed?""\n She said, ""Well, when you left, I sat outside and cried. Just then a\n nice young man asked me what was wrong, and I told him. He offered\n to do all the repairs, and all I had to do was either go to bed with\n him or bake him a cake.""\nHe said, ""So, what kind of cake did you bake him?""\n She replied, """"Hello............. Do you see Sara Lee baker written on my\nforehead?""",Entertainment & Music
13,"Title: Do u think that Brittany Spears or Ashley Simpson can really sing??, Content: can they sing or not, Answer: Brittany is ok. Ashley Simpson is so washed up. Did you see what she did at McDonald's in Canada...even if she could sing, no one should listen to her after that drama queen stunt.",Entertainment & Music
14,"Title: irreplacable?, Content: do you think that boyfriends are more irreplacabe than friend are?, Answer: no i think boyfriends are more replaceable than friends...unless your boyfriend was like one of your closests friends...in that case your boyfriend would be irreplaceable. \n\nI guess it just depends on how close your relationships are with your boyfriends and your friends...",Sports
15,"Title: How do you change the text size and font on my space?, Content: I need to know where tofind them and where to paste them after you find them in order for them to work too. Please and Thank you, Answer: www.whateverlife.com\n\nThat website has everything you need to know about myspace.\nIt also has codes for you to change your myspace layout.",Computers & Internet
16,"Title: I need to get out of this....help?, Content: My grandfather is really mean to me. Everytime I see him the first thing he does is insult me by calling me ugly or stupid! And, when I do good in school he always just makes fun of me and twists it around and he doesnt even act proud of me. Its so annoying! And I know I shouldnt let him get to me but he does. Well I have to go down to his house for Thanksgiving dinner later and I really dont want to. Should I fake sick to get out of it? My mom doesnt like him either and she said I could try that. Or should I just go down and ignore him? I really dont wanna go at all, because when I ignore him he just does it more!!! HELP ME!!!!!!!!!!, Answer: I would go for satisfaction of telling the old s.o.b. off. Your mom knows how he is???? Why in the hell has she as the adult told that mean old man to lay off. My mom would have, i certainly would if anyone was to be mean or insulting to one of my kids. I would not care who it was. You should not have to put up with that cr*ap from no one, He must have realy self esteem issues to put you down. I would let him have it. There is no excuse for him.",Family & Relationships
17,"Title: Why do some people have more love in their heart than others?, Content: , Answer: To give love you have to know how to replenish it within yourself so there is always something to give away. If you practice a religious faith, many of the teachings are about a loving God who is the source of all love. Rules aside, most religious people feel like, since they are loved by God, and since so is everyone else, they should love others too, and they find it somewhat easier to do. Most folks who believe in God consider it, among other things, to be an endless well of goodness to draw from.\n\nAlso a good healthy dose of self-esteem. If you don't love yourself, you can't truly love someone else. And if you don't treat yourself well, who else will? People who have a lot of love in their hearts also show love to themselves.\n\nOf course, it has to do with how you were raised and if anything happened to punish you for loving others or if you lost trust or got hurt really bad in the process of giving love to others. It can harden you. \n\nBut don't confuse affection or endearments with love. There are lots of ways a person can love another and they aren't always easy or pleasant. Love is hard work sometimes, not always being nice. So if you think a person doesn't have love in their heart, they probably do, they probably show it in different ways, or it is hidden.",Business & Finance
18,"Title: how old would jimi hendrix be if he was alive now?, Content: , Answer: He would be 64 years old... on November 27, 2006. He was born in 1942.",Entertainment & Music
19,"Title: Is it possible to be a successful financial advisor in Utah?, Content: I just passed my series 7 and wanted my family and I to move to Utah but was told that I wouldn't be successful because the people there try to do things more on their own financially, rather than seeking help from investment companies. Does anyone have any experience with this?, Answer: Pepople will always need advice.  You might do better in Utah if you are Mormon though.",Business & Finance
20,"Title: i like a song i heard but dont know artis or name of song.?, Content: the song goes a lil something like goodbye goodbye my friend goodbye. thats all i remember. i do know its an old song., Answer: goodbye goodbye from oingo boingo???",Entertainment & Music
21,"Title: what arrest powers are they for home confinement officers in west virgina?, Content: , Answer: If they find you out of your home and in violation of the court order, they will be able to arrest you for the violation.",Politics & Government
22,"Title: I dont want to get older?, Content: , Answer: Exercise, eat well, and live a full life! You can't stop aging but you can delay it!",Health
23,"Title: Which government to do prefer and why: Communism, Conservitive, Liberal, or Nationalist?, Content: I'm taking a poll., Answer: None of the above.  I prefer a government run by true people who believe in their country and do it for all the right reason, instead of money and power.\n\nCommunism was the illusion of Utopia that failed because humans were running it.\n\nConservative wants to cut all aid to the poor, privatize social security AFTER they have completely pilfered the fund, and wage war on anyone that argues with them.\n\nLiberals are in it for the bleeding heart, but still want to raise their earnings and screw the private sector.\n\nNationalists are bigots, dictators, and culture purifiers that base their philosophies on conservative ""values"" and Ku Klux Klan ""ideals"".\n\nKill all politicians I say...",Politics & Government
