text,label
Be honest with her... or put her on a pedestal just high enough to see up her dress... ;),caring
I love those moments where [NAME] finds a teammate opens and whips the ball at them but our guys are tuned out and don't expect it.,love
Please kind sir may I have some more,desire
"Well, I was going to surprise you [NAME], but what the heck...I’m gaining a bunch of weight to go on disability!",disappointment
Being ugly at some point in your life doesn't mean you deserve death.,neutral
Burn wait someone already did it sorry,remorse
"Nah man presses, but good ones... the pharma kalmas are long gone bro, here in Australia anyway",admiration
I feel a tad lost without it now that my drive for football has vanished and basketball and hockey simmer one. The show's every night after all.,sadness
Just so you know the reason opponents were few in the 2018 election is because the opposition boycotted,realization
[NAME] has really given his all in the second half. He must be exhausted,caring
i'm so poor i don't even know any horse girls,sadness
"No, you said you think she deserves whatever she can afford. Can she afford housing?",confusion
"Hi! :) Because I am broke, I guess.",sadness
"The real power move is to write ""Have a nice day"" even if you lose.",realization
Ok well I hate to break it to you but I'm a magical pink unicorn...posting something on the internet does not make it true,disapproval
"I'm sorry, there is no way this guy is Canadian.",remorse
"Yeah, he knows about my mental health and how bad it cam get, we've tried all the things that have worked in the past ",sadness
"I'm sorry, do people NOT listen to [NAME] 9th while driving?",gratitude
Even for an infidelity sub this is heavy. I hope you find peace somehow.,optimism
"Ones with close ties to SA, anyway. An escaped apostate won't exactly be itching to run home.",disapproval
Love how science doesn’t matter for human biology. What about climate change?,curiosity
"Okay, carry on then. Just thought I’d make sure you recognized that there was a difference.",realization
Don’t worry! I was never convicted of anything!,caring
"Why do you want it to be the world's leader and savior, outta broken and needs some alone time. ",curiosity
I dated a girl once who made a gb with her cup holder. Dropped my phone in it once,embarrassment
"Oooooffff. That's real awkward, but I mean that somehow still ended better than I expected so.. Kudos ig??",embarrassment
I DESERVE TO BE HEAD OF NATIONAL SECURITY BECAUSE I'M ADOPTED,desire
"It is his welcome, he can do with it as he wishes. Your misunderstanding is forgiven.",caring
I wish I had your efficiency. I can be at work a full shift and still get almost nothing done.,desire
We were playing bots for 30 mins... Not fun but i am happy i finally did it,joy
"Troo, troo....worse eban dan eat pizza wif aht a ferk. ",disgust
Wow! You are close to me in age. I would never do that.,surprise
Nervous for [NAME]. He’s my all time fave. I wish he would stay retired and stay a legend,desire
Quit serving money and [NAME] will feed you.,realization
This dudes basically [NAME],neutral
Yes I'm sure lol every god has flaws that's what keeps them balanced,amusement
"I can't do it anymore today, I'm out. ",disappointment
"As a fellow browns fan, unfortunate enough to be born into a browns family and in ohio... Hello sharer of a lifetime of heartbreak.",sadness
"Sorry, I meant let them know outside of class.",remorse
Can’t be worse than last week,disgust
"[NAME] looks too creepy,but it's a very nice drawing.",fear
"As much as I would love this kind of support, I had beef with people over EVERYTHING",optimism
Thank you. I guess im just finding it weird how she lost interest. Ill definitely be taking your advice,gratitude
I once looked for my phone with my phone flash light,embarrassment
"Had a baby before, those movements should be the last of your worries",sadness
"wow, there's no way [NAME] should 'er scored that",surprise
You're welcome. I'm always up for providing ammo for fighting the narrow minded and religiously intolerant.,gratitude
"I reject that [NAME] can't defend. Now his legs being gone, that might ""have legs"" ",disapproval
That as absolutely insane.,annoyance
I take it they want to have sex with 🐇s.,desire
I've come here to chew bubblegum and to kick ass.,annoyance
Damn... METOO,annoyance
spermatozoid is wrong someone with 31Q would have bigger problems than knowing how to write sperm Did you meanS this is beatiful,confusion
They can't even really articulate what has been so bad since [NAME] took office.,embarrassment
Happy cocaine on a plate day!,excitement
"Even better, won't feel as bad eating the whole thing in one sitting then.",optimism
Two or three anti depressants before I told them a lie about how I tried my moms valium and it worked,disappointment
And yet you're still not making me regret being a TV hodad when that was on and so missing it.,remorse
Oh I wouldn't be surprised my dad got away with some shocking things despite cps investigation but he was also white.,realization
Ya uh that's gen Z sorry,remorse
"Bay Area, sorry ;D",remorse
Id rather do the highlights again just not a full match.,realization
False. Drop bears.,disapproval
You got it!,excitement
"On this blessed day, we are all KQLY.",joy
"A million little things. I love it, but cheating arc within first couple episodes. ",love
Because killing the same mice twice is very tricky,realization
He's transcended fuck-you-money to fuck-me-money territory,anger
i mean yeah but people need to understand when someone needs something other than just sexual comments and maybe some actual support,approval
"Not against us this season, apparently. ",disapproval
Make sure you get that on video for the lawsuit. Hope she’s ok...,optimism
really thought he'd hit a bird for the longest time.,surprise
I can’t imagine being this retired,disappointment
"Sorry, I would like your comment, but it's at 666. And I just can't bring myself to change that.",remorse
Hell's Kitchen. I bet that man could make [NAME] cry.,amusement
"Omg the etsy side hustle. I have time to do that, and it fulfills me so much",joy
"Lucky the patient passed out, they wont feel any of it or hear anything you're saying!",approval
