text,label
Goodbye (Hopefully) to the pain of the last decade : [removed],not depression
"I said I wanted to be alive for 2020 : It’s stupid. it’s so small. my mom won’t even remember it but I will. she asked how my NYE was and if I was still alive after the partying. Without thinking, I said yes, and that intended to be for all of 2020 

my mother, who has taken me to the hospital 5 times for suicide attempts started bawling. She said that was the first time in 10 entire ass years that I said i wanted and intended to be alive. 

I’m crying. It’s sad. It’s kinda beautiful. It’s mostly sad. I love you mom",moderate
Canada : Anyone know how to get insulin in canada without a diabetic friend or relative. Figured insulin is cheaper and a easier to get then a gun just dont know where to get it,not depression
"i screamed for help, : [removed]",moderate
"i screamed for help, : [removed]",moderate
Venting : [removed],moderate
Venting : [removed],moderate
Goodbye : [removed],not depression
Treating someone terribly and telling them to go to therapy is kinda like punching someone in the face and telling them to see a doctor : [removed],moderate
Treating someone terribly and telling them to go to therapy is kinda like punching someone in the face and telling them to see a doctor : [removed],moderate
"Has anyone taken too much sertraline? I am prescribed 100mg of sertraline, which I take everyday. I also take 20 mg of adderall, which I am out of. I am feeling numb and lacking any energy. I wonder if taking 200 mg of sertraline would give me energy and motivation. : [removed]",moderate
"Emotional Depression vs Chemical Depression &amp; how the mind reacts : Many of you probably know this but just in case...
If you have emotional depression, it's because something bad happened recently.  You lost your job and bills are piling up, your best friend died, you lost a child, whatever.  It's an emotional response to a life event.  Things suck right now, but they can and will get better because of time.  You aren't the first person to be in this situation, you won't be the last person. Hang in there, get what help you can.
If you have chemical depression, it's because your body isn't making the right amount of the right chemical, or it's going through the right chemical but too quickly, etc.  This is like having diabetes. It's not caused by an event, it's not a reaction to something which has happened or is likely to happen. It's a medical condition that you need medicine to control.  Yes, some people can achieve help with diet changes, some people can exercise their way out, but in all cases it's still a bio-chemical problem.
Talk therapy is not going to fix chemical depression.  Changing jobs is not going to fix chemical depression.  Having kids is not going to fix chemical depression.
Now, here's the kicker -- your brain is fucking stupid. It does not control the body, it justifies the body. If you eat a pizza and then later feel sick, your brain decides it was the pizza.  It may be that you have the flu and the pizza has nothing to do with it, but your brain is looking for cause and effect, so until it gets convinced otherwise, you hate pizza.
Another example:  You think you're drinking decaf, but your actually drinking an energy drink. You get the jitters.  You much be scared of something.  Something bad must be about to happen because otherwise why would you have the jitters.  OMG! You're psychic! You know something bad is about to happen!  Yeah, no. You're brain is stupid. That's all.
Well, the exact same thing is true with chemical depression.  Your bio-chemistry says ""you are depressed!"" so your brain says, ""Oh, it must be because.... um.... I hate my job! Or it's because I don't have a girlfriend! No, no, I know! My friends all hate me!""
So, when you're feeling down, ask yourself objectively: am I depressed because something is wrong, or am I depressed because my brain is stupid?
If you are feeling depressed and its made worse because there's no good reason for you to be depressed, you likely have chemical depression and should talk to a doctor about getting pills.  You can't talk therapy your way out of chemical depression.",not depression
"Happy new year... : I started 2020 be sending my friends a text just saying 'Happy New Year' and one of them responded with ""are you drunk or high, you seem to always do that on new years"" Thanks dude, thanks, i mean it sorta sums up my life, drunk or high",not depression
"Happy new year... : I started 2020 be sending my friends a text just saying 'Happy New Year' and one of them responded with ""are you drunk or high, you seem to always do that on new years"" Thanks dude, thanks, i mean it sorta sums up my life, drunk or high",not depression
"Happy new year... : I started 2020 be sending my friends a text just saying 'Happy New Year' and one of them responded with ""are you drunk or high, you seem to always do that on new years"" Thanks dude, thanks, i mean it sorta sums up my life, drunk or high",not depression
"Have a happy near year.... : I'm spending this new years alone and in bed. 

I hope you are not doing the same. I hope you can have fun today if your reading this, next year is gonna be lit, dont give up on yourself. Your all you got in this life. Love you guys❤",not depression
"Have a happy near year.... : I'm spending this new years alone and in bed. 

I hope you are not doing the same. I hope you can have fun today if your reading this, next year is gonna be lit, dont give up on yourself. Your all you got in this life. Love you guys❤",not depression
It’s hard to imagine having feelings for another girl : I really hope I can move past this,not depression
"Would a kind, anonymous human hmu please : For deep chats and a potential no strings attached friendship
You'd be helping my psyche kind person",not depression
"You are not alone, even if it feels that way. : [removed]",moderate
Can someone take me out? : [removed],not depression
This world is making me go insane : Its the first day of 2020 and i hope that everyone else sees the world in my perspective but i just cant take it anymore i know someone will disagree with me and proably downvote this post for having a different opinion but I’m just gonna say it when these HK protest started i didn’t care but when i heard of people getting hurt on both sides i started to act a little skeptical and concerned one day i posted a video of a chinese man getting set on fire on r/morbidlyreality and all i got was “this is fake” and “your just the ten cent army” and when i saw a picture of a protestor who got hit in the face with a gas canister everyone was supporting him and saying whoever did this were monsters and I’m like ok then so i can sucker punch an old man for having a different opinion but if he has your opinion then I’m the monster this revelation just changed everything its all “FREE HK” i see everywhere but never stopping and thinking “maybe my side has done bad things too” but when i say this I’m suddenly the dumbass who hates democracy all of you are just saying this because it looks cool and never think fuck all of you its making me insane i don’t know what to do all i hear is HK HK HK i just want it to stop i want people to just be kind to each other i don’t know  what to do anymore,severe
"i cant do this anymore, ending it all : im a guy (16) i have had a raised mole above my lip for 15 years

im in a class full of girls and i wanna REMOVE it

IM WAY TOO SHY to ask them about it i never talked about it before

I am sure they will say NO right away

Yesterday on TV they said: Why isnt that guy removing his mole?

i was thinking wtf if i ask them they will say its nice",moderate
Wish i never made it till 2020 : &lt;/3,moderate
"What are your experiences with your first time taking anti-depressants? : My friend has recently started taking  fluoxetine and it seems like she feels worse, id like to know your experiences",severe
