text,label
"People Who Never Could Get Out of The Bed Because of Depression, and Managed to Overcome This: .. How Did You Do It? : [removed]",moderate
anyone else hate mirrors? : [removed],moderate
anyone else hate mirrors? : [removed],moderate
Goodbye 2019. May you rot in hell. : ,not depression
"Meds check? : My doctor changed my medication to panazep 12.5 and etizolam. Today's the first day day I took this combo. Is this supposed to make me feel so drowsy through the day always or is it just because this is new?
Note- medication for anxiety, depression and insomnia. I will be interviewing shortly for jobs.",severe
I can’t believe my parents thought I would want to be here. : I don’t know how anyone can look at the world today and say “yeah what a great reality to live in”.,moderate
"Trying alcohol for first time on Wellbutrin? : Honestly, I’m really sick of not being able to try alcohol. I want to have a drink or two, but I’m scared of what might happen. I have a group of friends that obviously will be looking after me but still. I’m on 300 mg a day. And I really don’t plan on drinking weekly or anything maybe a drink or two once a month. Any word of advice?",severe
no one reaches out : You’re always the one reaching out. Your “friend(s)” forget about you while they remember their other friends. What is wrong with me that no one cares about me.,moderate
no one reaches out : You’re always the one reaching out. Your “friend(s)” forget about you while they remember their other friends. What is wrong with me that no one cares about me.,moderate
Yayy I'll die one day so its okayy : ,not depression
"$1,000,000 or no more depression? : Which would you pick?

And do you think if you chose the money it would help or get rid of your depression?",not depression
"I want to help my very depressed friend but idk what to say. : What are the things I can ask or say to a friend who feels like his life is so fucked up that it won’t ever get better, someone who have hit rock bottom. I wanna help him so bad but i’m scared that i might ask or say the wrong thing and make them feel worse.",not depression
"Dental Care Tips? : So, I'm narcoleptic and depressed. These are my two biggest disorders so I have literally no energy to take care of myself most days. My teeth are kinda neglected at the moment but I am fortunate enough to have regular dental cleanings every six months like they recommend, but that's not enough in between appointments. I'm primarily concerned about my gum health and I believe my dentist is as well.

Basically all I'm asking is how can I take extra care to make sure my teeth don't fall out when I'm thirty...? Anything and everything is appreciated.",moderate
I don't deserve a nice life : It used to bother me that I don't have some of what I consider basic amenities. But really I don't deserve them anyway.,severe
"just curious, do you have any songs that relate to you? : as in anything that describes your depression. mine has to be “i’m not enough and i’m sorry” by Tekqoi. basically it describes the way i feel, because i tend to think i’m not good enough, no matter how hard i try to better myself.",moderate
I’m afraid : I’m scared to set goals for 2020 and fail again and end up in another downward spiral because I failed.,moderate
"How to silence thoughts? : All of today has just been full of bad thoughts. My brain kept making it a point to let me know how much of a piece of shit I am and it's so ANNOYING. Like I get it can I please do my job and not keep being told how shitty I am? 
Anyone has tips?",not depression
