text,label
Anyone else hit themselves with a boot in the head when they're drunk? Just me? Okayy : [removed],moderate
Treating someone terribly and telling them to go to therapy is kinda like punching someone in the face and telling them to see a doctor : [removed],moderate
Treating someone terribly and telling them to go to therapy is kinda like punching someone in the face and telling them to see a doctor : [removed],moderate
Venting : [removed],moderate
Venting : [removed],moderate
Fml honestly : ,not depression
Goodbye 2019. May you rot in hell. : ,not depression
"You are not alone, even if it feels that way. : [removed]",moderate
"You, and yourself. : I subscribed to this awhile ago; looking for answers, as you may be now, or maybe just looking to vent. 

All I can say is you're great, and please, hang in there. We're all in this for one another, if nothing else.",not depression
anyone else hate mirrors? : [removed],moderate
anyone else hate mirrors? : [removed],moderate
anyone else hate mirrors? : [removed],moderate
How effected by your depression are you in your daily lives? : [removed],not depression
Can someone take me out? : [removed],not depression
How effected by your depression are you in your daily lives? : [removed],not depression
How do you even go on? : [removed],not depression
Goodbye (Hopefully) to the pain of the last decade : [removed],not depression
"Here’s to another year being single, boys. : [removed]",moderate
"i cant do this anymore, ending it all : im a guy (16) i have had a raised mole above my lip for 15 years

im in a class full of girls and i wanna REMOVE it

IM WAY TOO SHY to ask them about it i never talked about it before

I am sure they will say NO right away

Yesterday on TV they said: Why isnt that guy removing his mole?

i was thinking wtf if i ask them they will say its nice",moderate
"Whoever is going through something or is sad/angry/ heartbroken at the moment, rant under this post. : Let it all out. It’s good for you! I’m here for you x",not depression
"I'm going to convince you that life is worth living AMA! : I'm 29, Worst year of my life; still, fight, fight, fight!",not depression
"What is causing all of this depression in the younger generations? : Seems like half of gen Z and a lot of millennials have depression and anxiety now, and are quiet. But when I see people who are like 40-50 they all seem happy and social. Wtf is going on? Even the looks on gen z and millennials faces look depressed.",not depression
No willpower. : [removed],not depression
"Whoever is going through something or is sad/angry/ heartbroken at the moment, rant under this post. : Let it all out. It’s good for you! I’m here for you x",not depression
"New Year :-/ : Hello everyone, wish you all a happy new year and decade from Germany. Hope everyone get what they want and must importantly what they need in the future to get better and live their life with joy. 
Just know you're not alone and there are always people who will love you. 

I don't know tho, just wanted to say it even if it's useless :¬\",not depression
"New Year :-/ : Hello everyone, wish you all a happy new year and decade from Germany. Hope everyone get what they want and must importantly what they need in the future to get better and live their life with joy. 
Just know you're not alone and there are always people who will love you. 

I don't know tho, just wanted to say it even if it's useless :¬\",not depression
"New Year :-/ : Hello everyone, wish you all a happy new year and decade from Germany. Hope everyone get what they want and must importantly what they need in the future to get better and live their life with joy. 
Just know you're not alone and there are always people who will love you. 

I don't know tho, just wanted to say it even if it's useless :¬\",not depression
"New Year :-/ : Hello everyone, wish you all a happy new year and decade from Germany. Hope everyone get what they want and must importantly what they need in the future to get better and live their life with joy. 
Just know you're not alone and there are always people who will love you. 

I don't know tho, just wanted to say it even if it's useless :¬\",not depression
Damn I am really tired of life and I’m only 15 years into it lmaoooo : ,moderate
"Happy new year... : I started 2020 be sending my friends a text just saying 'Happy New Year' and one of them responded with ""are you drunk or high, you seem to always do that on new years"" Thanks dude, thanks, i mean it sorta sums up my life, drunk or high",not depression
"What helps me just some ideas : I've had a long period of depression where I didn't know what to do with myself. What helps me is I would pick a random task didn't matter what it was I would just do it, for example I would do something small like I would look at my room when I woke up and I would think of turning on the TV as a mini success story like oh great I accomplished that I wanted to do. The next thing is like picking a show and sometimes that can be hard to do I find that when I'm in a depressed state I tend to watch the same shows over and over because there are no surprises, but generally change helps with depression. So what I will do is I will just scroll down with my eyes closed and then choose whatever show I land on and just start watching it. Even though it may not seem like much to just sit and watch a show I'd like to look at it as an accomplishment. And the next thing I do I feel motivated to do so turning n the TV is a very simple thing but you did it and now you're experiencing something new. If that's not your thing then try other things that make you smile or laugh for example dancing is a big thing for me I normally do it on Tik Tok as cringey as that may sound but it's something I love to do. So I'll find a song I'll pick the song which makes me feel great because I'm jamming along to it and I'm rocking back and forth and bobbing my head. I then play out some moves and that makes me feel good I have something I'm working on the idea of getting something done is generally a feel-good type of feeling especially when it's something you like to do and then I start recording and I just kind of do whatever eventually have formed this creation that I have and I can be proud of something that I did and the feeling is just beautiful. It has helped me a lot from any dangerous situations where I thought about just not living anymore but those little things they tend to add up even if it's just waking up and making your bed or fluffing a pillow or taking your medicine even. Whatever the case set a task for yourself you kind of feel accomplished in a way. I just kind of wanted to put my thoughts out there venting also helps obviously lol",moderate
"Happy new year... : I started 2020 be sending my friends a text just saying 'Happy New Year' and one of them responded with ""are you drunk or high, you seem to always do that on new years"" Thanks dude, thanks, i mean it sorta sums up my life, drunk or high",not depression
"Happy new year... : I started 2020 be sending my friends a text just saying 'Happy New Year' and one of them responded with ""are you drunk or high, you seem to always do that on new years"" Thanks dude, thanks, i mean it sorta sums up my life, drunk or high",not depression
"Those who learned to feel happiness again, how? : Life is pointless without being able to feel positive emotions, for those who manages to rekindle these emotions, how did you do it?",moderate
"What helps me just some ideas : I've had a long period of depression where I didn't know what to do with myself. What helps me is I would pick a random task didn't matter what it was I would just do it, for example I would do something small like I would look at my room when I woke up and I would think of turning on the TV as a mini success story like oh great I accomplished that I wanted to do. The next thing is like picking a show and sometimes that can be hard to do I find that when I'm in a depressed state I tend to watch the same shows over and over because there are no surprises, but generally change helps with depression. So what I will do is I will just scroll down with my eyes closed and then choose whatever show I land on and just start watching it. Even though it may not seem like much to just sit and watch a show I'd like to look at it as an accomplishment. And the next thing I do I feel motivated to do so turning n the TV is a very simple thing but you did it and now you're experiencing something new. If that's not your thing then try other things that make you smile or laugh for example dancing is a big thing for me I normally do it on Tik Tok as cringey as that may sound but it's something I love to do. So I'll find a song I'll pick the song which makes me feel great because I'm jamming along to it and I'm rocking back and forth and bobbing my head. I then play out some moves and that makes me feel good I have something I'm working on the idea of getting something done is generally a feel-good type of feeling especially when it's something you like to do and then I start recording and I just kind of do whatever eventually have formed this creation that I have and I can be proud of something that I did and the feeling is just beautiful. It has helped me a lot from any dangerous situations where I thought about just not living anymore but those little things they tend to add up even if it's just waking up and making your bed or fluffing a pillow or taking your medicine even. Whatever the case set a task for yourself you kind of feel accomplished in a way. I just kind of wanted to put my thoughts out there venting also helps obviously lol",moderate
"Is escapism a good or a bad thing to you? : I’m sure I’m not the only one that spends a lot of time watching tv/videos, gaming, reading books etc. I’ve heard some say time spent content is not time wasted, and they like to experience things through these mediums. Then there’s the negative opinion of just using these mediums to escape reality. Which side do you agree with? Do you feel like your missing out on life and what is has to offer by escaping this way, or do you feel like real life is full and crap anyway so fantasy is better?",not depression
Why? : Why is it so hard to talk to somebody about depression? I just cannot do it.,not depression
"Siblings make life suck even more : Me: Calls out sister for making me do her chores and being a baby about it

My sister: *Punches me as hard as she can*

Me: ""HEY WTF!""

My parents in the other room: ""(my name) what happened!?""

Sister starts going all fake crying and other crap: ""(my name) was being mean to me!!! *sobs*.""

Me knowing what she's doing and pissed:""She flipin PUNCH---""

parents deciding that I'm already wrong and need to be mean to me: ""WeLL WhY WEre yOU MEaN To (sister)!?!?""

Me knowing that I have already lost: ""She PUNCHED ME BECAUSE I TOLD HER TO DO HER ONE CHO---""

Parents deciding that there little princess can't be wrong and I am lieing: No ShE DIdN't (my name) SHe ProBAblY JuSt tAppED YoU!!!""



(This same sister was also like 60% of the reason why my 2019 sucked)",moderate
"You don't know what to do? : I see all the poor, depressed old people walking around who don't know what to do with their lives, complain about politics,  dissatisfied with their current lives and bad decisions they took.  I would like to have a house close to the sea in a warm place for example, a lot of money, family, children, live in a country and have a job that I like and hobbies i love when I am 70. The more you focus on it, the faster you'll be there and live it and don't waste your time and energy on nonsense that won't take you anywhere. I have already reached 60%-70% and i'm 40. I think at 50 I will archive all of them. When we have a goal, our thoughts and decisions are easier and cleaner. If everyone would do it, we would have happier faces around us. 

You don't know what to do?  then look at you at 70 and you will know the answer. Or 60, 50 whatever.


Don't get me wrong, i just want to help to all the depressed ppl like me who didn't know what to do in dark times. Lives became much easier after this.",not depression
"Just got diagnosed with Major Depressive Disorder by my therapist. : I’m not really sure how I feel about it or where it should go, so I’m posting to this sub.",severe
"Embrace yourself❤️ : It’s important to deal with your feelings and emotions, because they give you depth like nothing else can in this universe. They are the thing that makes you alive. Don’t lose touch with your emotions. Embrace them, welcome them because they are the realest thing you will ever experience.

To experience pleasure you need to feel unhappy, unsatisfied and depressed. If you would always feel pleasured, there would be no point in the existence of pleasure. See, the concept of darkness can’t exist with its opposite concept of light, because without light there would be no way to experience darkness. The same thing applys to the concept of feeling.

So don’t fear depression, welcome it because it means the existence of pleasure.

I’ve been trough depression by myself and I know how hard it can be sometimes. Sometimes you feel like you want to die, to be ereased out of reality. You wish you were never born into existence. 

But that’s ok, because it doesn’t matter, nothing matters after all. Don’t take life too serious, it’s a game which is meant to be played, which is mean to be enjoyed. So then if anyone is judging you right now, you feel anxious or insecure, I say it’s okay, because you’re being loved.

“Man suffers only because he takes seriously what the gods made for fun“ - Alan Watts",not depression
"Embrace yourself❤️ : It’s important to deal with your feelings and emotions, because they give you depth like nothing else can in this universe. They are the thing that makes you alive. Don’t lose touch with your emotions. Embrace them, welcome them because they are the realest thing you will ever experience.

To experience pleasure you need to feel unhappy, unsatisfied and depressed. If you would always feel pleasured, there would be no point in the existence of pleasure. See, the concept of darkness can’t exist with its opposite concept of light, because without light there would be no way to experience darkness. The same thing applys to the concept of feeling.

So don’t fear depression, welcome it because it means the existence of pleasure.

I’ve been trough depression by myself and I know how hard it can be sometimes. Sometimes you feel like you want to die, to be ereased out of reality. You wish you were never born into existence. 

But that’s ok, because it doesn’t matter, nothing matters after all. Don’t take life too serious, it’s a game which is meant to be played, which is mean to be enjoyed. So then if anyone is judging you right now, you feel anxious or insecure, I say it’s okay, because you’re being loved.

“Man suffers only because he takes seriously what the gods made for fun“ - Alan Watts",not depression
Life is so fucking cruel : ,severe
"New year's eve : I feel like new year's eve i am an outsider. I always miss the wild big parties nor am invited to anything and i am tired of spending it with the same family members.
I feel.like everybody always has amazing parties and quality moments and i am an outsider. 
Also i dont really see the point to celebrate the passing of time or something that superficial as celibrating a numbet on the calender but perhaps that is my scepticism and depression talking",moderate
