text,label
"Title: why did i get bagged?, Content: so i am sitting around work today because i had to work some overtime (on test scripts) and no one is in the office and i'm getting as bored as a lion in the gymnasium with no children to munch on.  so i wheel around the room with the linoleum floor on one of the office chairs and i'm getting pretty excited, and i'm going pretty fast round and round.  but then i realize i am not going as fast as an antelope being chased by a lion so i wonder what can make me go even faster and faster.  i think pretty hard about this problem, then i promptly unhinge a fire extinguisher from its holder, take my seat on my speedy chair, place the extinguisher in my crotch with the nozzle pointed away from me and i pull the pin very abruptly.  out of nowhere i am jettisoned towarded the back of the room and i knock over various flat screen monitors, injuring my head, and breaking some monitors (not all).  i guess my boss was around and i didn't know, and he comes in and drops me a pink slip.  do i sue?, Answer: I think that you could probably find a way to blame it on him and sue him. You are pretty creative! \n\nHey Imahlah....I am the only taker he needs!!! hahahaha",Business & Finance
"Title: Dx????????, Content: , Answer: who are they that wat u mean will they a group triple h and hbk they call them self d generation x.",Sports
"Title: I need to know what to gap  the spark plug at for a poulan chain saw?, Content: , Answer: 0.025",Business & Finance
"Title: Which part of the U.S.A has got more game development Companies?, Content: Like Which city,State/Area in the U.S.A has more game development/Programming companies., Answer: bay area/silicon valley california",Computers & Internet
"Title: why does my bark all the time?, Content: it barks day in day out driving me crazy, Answer: I'm guessing your dog is the one barking? =0) Pet stores sell bark collars that either beep at a really high pitch when they bark to annoy them or there are ones that beep first to warn them and then deliver a mild electric shock if they don't stop. We had a sheltie puppy that barked all day but the collar worked. Eventually we only threatened to put the collar on and he would be quiet",Education & Reference
"Title: I need to know what is difference from an idiot and being retarded and which one will  get me welfare?, Content: , Answer: sorry but you already asked a question that proves you aren't stupid enough to qualify.",Society & Culture
"Title: inform me a tamil psychological doctor in Paris?, Content: My relative is need a tamil speaking Psychological very urgently.\nMy advanced thanks for the reply.He is living in Paris., Answer: a Tamil psychiatrist or psychologist is difficult but you could try to find an interpretter, good luck",Health
"Title: celebrities who have used steroids? do you know any of them??, Content: just give me some random names of people who have used steroids! thanks, Answer: im Mr.olympia ronnie coleman, marks, jay cutler, most of all.in indian pollywood salmankhan...etc. mostly in 50% of gyms. but it is very very very very danger... for more details see the web page:   http://www.steroidtruth.com",Health
"Title: someone stole a amp and 2 speakers what do you think he shold did kick their butts or let the police take care, Content: of it i told him to let the police handle it, Answer: File a claim with the police.  File a claim with your insurance company.  Neither one will result in getting the merchandise back or any money, but it will establish a record of the crime.  This will help if you catch the same people in the act next time.\n\nAnother precaution you can take (besides locking up the car and house securely and/or with an alarm) is to engrave a code number on your stuff, and write down the code number on a separate piece of paper that you put in safe-keeping.  Then if you know who took the stuff, the police can check for the code number you provide them, and that will be enough evidence for them to reclaim the property and charge the criminals.\n\nGood luck!",Business & Finance
"Title: Combs of HANNITY AND COMBS is graduate of Hofstra University on Long Island.  Name 3 other celebrities from HU, Content: , Answer: well at least I know  who Hannity and combs are ! lol... fox news!!!!!!!!!  Frances Ford Coppola, Madeline Kahn,  and senator Norm Coleman....  hey I'm a New Yorker !",Society & Culture
