text,label
"Title: celebrities who have used steroids? do you know any of them??, Content: just give me some random names of people who have used steroids! thanks, Answer: im Mr.olympia ronnie coleman, marks, jay cutler, most of all.in indian pollywood salmankhan...etc. mostly in 50% of gyms. but it is very very very very danger... for more details see the web page:   http://www.steroidtruth.com",Health
"Title: What is the best .22 LR?, Content: I was thinking about getting a ruger 10/22: Good or Bad Idea? Another .22 LR suggestions?, Answer: i have 2 ruger 10/22s a remington 597 and a marlin model60. I agree you can deck out the 10/22 to look pretty sweet but anything over 10 round mags fail often and jamb frequently, acurracy is also an issue, the 597 is a nice rifle for the money but remington hasnt improved the magazine flaws yet thusly the jamb also the marlin model 60 BY FAR the most popular 22 LR in the world...more of them sold than any other very accurate I have owned mine for over 12 years and not once has it failed",Sports
"Title: M4 Carbine.. secondary sighting system ?, Content: I'm setting up an M4 to use primarily for CQB under 50m. I'll run on iron sights (albeit triijicon) but am can't decide between 3 other options: Aimpoint ML2, EOTech, or a foregrip from CTC . Any suggestions or thoughts ?  I don't care about how easy getting a zero is... just durabilty/reliability and aquisition for social work.\nIf you don't understand the language in the question, please take a pass in answering. All you ""Mike Novembers"" out there, yup, that means you....... All *informed* opinions however, are most WELCOMED, Answer: EOTech for sure - It's a must.",Politics & Government
"Title: les joueurs n'ont qu'a faire leur ballon d'or?, Content: , Answer: Ou bien un vote émanant des entraineurs.",Sports
"Title: what is a good way to reach your goal in becoming an actress?, Content: , Answer: community acting, school plays, talent shows then get noticed",Business & Finance
"Title: I have a job offer and don't understand it.?, Content: It says: Yes, as a representative to our outfit (Company) in your region, your duty is to recieve payment made by our customers. And these payment could be by cheque, wiring and Money Order. \n\nWhat the hell does that mean? What will I actually be doing? I'm worried it's like money laundering or something. Can you get into trouble with the law if you innocently get involved in something illegal?, Answer: I would be VERY leery of these people. You may not have heard so I will tell you. There is a scam going on out there where people are preyed upon to ""take Payments"" for a company. The problem is that the ""payments"" that come in are bogus checks, stolen money orders, etc. They want you to deposit those funds into YOUR bank account (so that you will get charged with fraud, etc.- instead of them) and then do a wire transfer of the funds into their bank account. Save yourself the heartache- do NOT do it. It isn't a job- it's a scam.",Business & Finance
"Title: where is bill buckner now?, Content: , Answer: After he retired from baseball, he moved to Boise, ID and became a real-estate agent.",Sports
"Title: How do you become a resident of jamaica but keep your brtish status?, Content: , Answer: your residence has nothing to do with you citizenship \nhere are some actions to be considered :\nThe ""documents and particulars"" for becoming a permanent resident are as follows:\n\n1) Valid national passport;\n\n2) Evidence of financial status and means of support - for example, particulars of pension, bank account, property owned and business investments;\n\n3) Birth certificate;\n\n4) Marital status - marriage certificate - particulars of spouse, children and other dependents;\n\n5) Medical certificate - certificate of good health;\n\n6) Police certificate from the state from which you are migrating;\n\n7) Two (2) passport size photographs;\n\n8) Reasons for seeking permanent residence in Jamaica;\n\n9) Letters of references from two reputable citizens of Jamaica.\n\nPermanent residence is usually granted to the following categories of persons:\n\nA) Wives of Jamaican Nationals without meeting any residency requirements;\n\nB) Adults and minors who have claim to Jamaican Nationality without meeting any residency requirements;\n\nC) Retired persons who have resided in Jamaica for at least three years;\n\nD) Persons employed in Jamaica after completing a period of residence of at least five years;\n\ni hope this helps ?",Politics & Government
"Title: Do you think dropping Ganguly from Test team is correct ?, Content: , Answer: well yeah. In a few months they should move sachin too.",Sports
"Title: need to know the bingo rules in florida, tring to hold a bingo night in night club, need help with law?, Content: look ing for any rules or state laws concerning a bar holding a bingo night, alchol will be served, and prizes won, but no money will be won, just bar tabs and t shirts..., Answer: The Florida laws on CHARITABLE gambling can be found here:\nhttp://www.gambling-law-us.com/Charitable-Gaming/Florida/\n\nI assume that 100% of all monies raised will be donated to charity (otherwise you would be breaking several state and federal laws).\n\nHope this helps!",Politics & Government
