text,label
"Title: gas leaking from a hanging tube.?, Content: My buddy has an '86 kdx200. there are 3 tubes coming out of the carborator not atatched to anything. the tube coming from the bottom is leaking a lot of gas. what does the tube connect to?\n\nI'm pretty sure the 2 upper tubes are supposed to just hang, i could be wrong.\n\nthanks a ton., Answer: Are you talking about the overflow tubes? They should not leak if the bike is straight up... The connect to the carb...",Sports
"Title: why did i get bagged?, Content: so i am sitting around work today because i had to work some overtime (on test scripts) and no one is in the office and i'm getting as bored as a lion in the gymnasium with no children to munch on.  so i wheel around the room with the linoleum floor on one of the office chairs and i'm getting pretty excited, and i'm going pretty fast round and round.  but then i realize i am not going as fast as an antelope being chased by a lion so i wonder what can make me go even faster and faster.  i think pretty hard about this problem, then i promptly unhinge a fire extinguisher from its holder, take my seat on my speedy chair, place the extinguisher in my crotch with the nozzle pointed away from me and i pull the pin very abruptly.  out of nowhere i am jettisoned towarded the back of the room and i knock over various flat screen monitors, injuring my head, and breaking some monitors (not all).  i guess my boss was around and i didn't know, and he comes in and drops me a pink slip.  do i sue?, Answer: I think that you could probably find a way to blame it on him and sue him. You are pretty creative! \n\nHey Imahlah....I am the only taker he needs!!! hahahaha",Business & Finance
"Title: Bored at work...?, Content: My job can hardly keep me busy with work.  What should I do to pass the time....I'm in a cubicle and you know what office rules are like, Answer: www.bored.com",Business & Finance
"Title: hi could any body tell me how i can make some money without doing any thing??????????????????????????????????, Content: , Answer: sell your body to science",Business & Finance
"Title: why can't we put a boy avatar with or beside a girl avatar?, Content: , Answer: Because they might make baby avatars and that sounds kinda freaky to me!!",Business & Finance
"Title: M4 Carbine.. secondary sighting system ?, Content: I'm setting up an M4 to use primarily for CQB under 50m. I'll run on iron sights (albeit triijicon) but am can't decide between 3 other options: Aimpoint ML2, EOTech, or a foregrip from CTC . Any suggestions or thoughts ?  I don't care about how easy getting a zero is... just durabilty/reliability and aquisition for social work.\nIf you don't understand the language in the question, please take a pass in answering. All you ""Mike Novembers"" out there, yup, that means you....... All *informed* opinions however, are most WELCOMED, Answer: EOTech for sure - It's a must.",Politics & Government
"Title: i am writing an article on alternative choices for a funeral/burial, has anyone got any stories of info?, Content: , Answer: WALTER\n                         What's this?\n\n                                     DONNELLY\n                         That is for the urn.\n\n                                     WALTER\n                         Don't need it.  We're scattering the \n                         ashes.\n\n                                     DONNELLY\n                         Yes, so we were informed.  However, \n                         we must of course transmit the remains \n                         to you in a receptacle.\n\n                                     WALTER\n                         This is a hundred and eighty dollars.\n\n                                     DONNELLY\n                         Yes sir.  It is our most modestly \n                         priced receptacle.\n\n                                     DUDE\n                         Well can we--\n\n                                     WALTER\n                         A hundred and eighty dollars?!\n\n                                     DONNELLY\n                         They range up to three thousand.\n\n                                     WALTER\n                         Yeah, but we're--\n\n                                     DUDE\n                         Can we just rent it from you?\n\n                                     DONNELLY\n                         Sir, this is a mortuary, not a rental \n                         house.\n\n                                     WALTER\n                         We're scattering the fucking ashes!\n\n                                     DUDE\n                         Walter--\n\n                                     WALTER\n                         JUST BECAUSE WE'RE BEREAVED DOESN'T \n                         MEAN WE'RE SAPS!\n\n                                     DONNELLY\n                         Sir, please lower your voice--\n\n                                     DUDE\n                         Hey man, don't you have something \n                         else you could put it in?\n\n                                     DONNELLY\n                         That is our most modestly priced \n                         receptacle.\n\n                                     WALTER\n                         GODDAMNIT!  IS THERE A RALPH'S AROUND \n                         HERE?!",Society & Culture
"Title: What does RCAC mean?, Content: , Answer: ROYAL CANADIEN AIR CORPS",Politics & Government
"Title: How might Hurricane Katrina been prevented?, Content: If there is a way it could have been prevented..., Answer: There isn't much you can do to prevent a huricane. It's a force of nature.\n\nAs far as the damage, several things could have been done. For starters, smarter costal management would have prevented the dredging of shipping lanes into New Orleans which provided a clear path for flood waters to sweep into the city. Furthermore, had they reinforced the levies in a timely manner, they would have been able to withstand the flooding and protect the city.\n\nHaving failed that, there should have been much better organization to evacuate and provide for the residents. Immediately following the disaster, there was utter chaos. There was a lot being offered but no guidance as to where that aide would be beneficial.",Education & Reference
"Title: Whats the best way to give you 2 free points?, Content: , Answer: i wonder",Entertainment & Music
