text,label
article writes glad know none judgemental little shits hey pal whore calling litte tony tony kidson pgp key request voice morgan towers cat move emailin order morgan road ive take top bromley machine england br qehonda st dod,rec.motorcycles
long time see andreas andreas siperian sirri siberian stint itu love evolution tuusniemi siis imein suut,talk.religion.misc
article joseph duffy writes one falsify origin theory example forever existing universe abiogenesis strictly falsifiable way theory proven false examine predicitions theory makes try observe dont observe things theory predicts wouldnt happen evidence theory theory cant modified incorporate new observations say false example people used believe earth created years ago evidence showed predictions theory true abandoned russ pauljones,talk.religion.misc
live british columbia canadathe cable company use called rogers cable anyone know scrambling techniques ways getting around suggestions might use sean oliver internet address mindlink bbs,sci.electronics
eric pepke writes mammon trust hey piece paper spend quickly god john carpenters live natch steve lurking horror stelter,alt.atheism
one word loser system fourdcom phone cute quote computer means never say youre sorry,talk.politics.mideast
article name writes dan lawrence bissell writes dont think people understand christian certainly see lot churches rather think way life total sacrafice everything gods sake loved us enough die save us typical statement irrational brainwashed person bible written male chavnist thousands years ago holy books follow parts think suitable modern life ignore others heavens sake dont take literally please leave heaven sake pray dan take literally thats god intended taken dan view many groups appears correct point view however found group truly meeting requirements laid bible means disciple jesus clue wwc please mail id really like get touch hey cant god inspires us turn lives thats tuff people dont want real christian would something strong persevere insert deletion ranting religions obviously gone offcenter dans original context dan im familiar one youve got point though dont want turn everything disciple clue theyve taught done exactly turned everything follow jesus blocked difficult doctrine taught uncaring pharisees teachers law however jesus pointed takes follow disciple luke luke question people ignore command treat optional certainly dont answer insert deletion parting question would become christian indoctrinated parents probably never learned religion make comparative study therefore claim brain washed parents nothing god everything attacking responses must say disagree tone appears judgmental statements possibly point slander talking people please response state instead flying handle discourse may nothing truly discussed im sure dan would much happier time responses joe,soc.religion.christian
article brent irvine writes napalm let wood stove inside ignite someone else pointed would stove use warm day texas eat food cold ever hear electric ovens microwaves popular electric stoves outside metroareas especially microwaves dont work well electricity mr engineer personal opinions brent irvine yes think jeff strait university illinois phone ladies leave island survive basic recruit training weapon minister death praying war,talk.politics.guns
dariuslecointe writes find interesting cls never answered questions posed goes make statements make shudder established twotiered god one set rules jews people another set saved gentiles people would god discriminate jew accepts jesus live gentile rules god one set rules people paul never law fact says repeatedly faith establishes rather annuls law pauls point germane jews greeks law never used instrument salvation please combine ceremonial moral laws one matt christ plainly says came say saying jewss benefit christ must politician speaking sides mouth paul said learned christ forget theology jesus says excuses hold court law earth far less gods judgement hall pardon little confused beginning second paragraph say god one set rules people yet end paragraph declare please combine ceremonial moral laws one understand bible find declaration laws ceremonial moral also unclear whether think bad sets laws first place bad sets laws ceremonial law different moral law vice versa would also interested comments passage cor paul teaches different rules covering head praying depending whether man woman think apostles prescribe different sets rules men women jews gentiles also paul opposed circumcising gentiles voluntarily circumcise timothy mark,soc.religion.christian
ive gotten posts group last couple days recently added feed list group near death robert l mcmillin surf city software dude include stddisclaimerh,comp.windows.x
