text,label
This dudes basically [NAME],neutral
Make sure you get that on video for the lawsuit. Hope she’s ok...,optimism
Yeah who knows how many indictments [NAME] is gonna rack up retroactively? It could be hundreds! /s,confusion
What shouldn’t be lifetime? :),curiosity
It's a weird way of saying you don't want to see my penis,embarrassment
Describe in single words only the good things that come into your mind about your mother.,gratitude
This will either be a classic or a complete shitshow,anger
"On this blessed day, we are all KQLY.",joy
I can’t imagine being this retired,disappointment
Ahem. There are those who think that life Has nothing left to chance A host of holy horrors To direct our aimless dance,sadness
My baby niece does this. She fell down a couple stairs in her time and now is real careful with them,realization
"Yo, we doink'n in here?",curiosity
I DESERVE TO BE HEAD OF NATIONAL SECURITY BECAUSE I'M ADOPTED,desire
Be honest with her... or put her on a pedestal just high enough to see up her dress... ;),caring
sorry mr brolobo,remorse
How could you ever get bored of place that is getting more and more enjoyable as you are there,joy
Pay couples to have kids. I'm not sure if the incentives apply to single moms.,confusion
"That was the one I was thinking of! I can't remember which episode it was on now, but it fantastic",admiration
"Yet, here we are, a whole sub full of people who seem interested in the stupid things incels say and do... 🤔 /s",annoyance
Damn... METOO,annoyance
bless. wish you more beautiful days ahead!,caring
"Sorry, sometimes I really can't tell in here. ",remorse
"I, too, am a lot of fun at parties. We can stand together in the corner! ",joy
Come to Nashville. Love to help with that problem.,caring
[NAME] sorry it was rude not to @ you lol,remorse
Hell's Kitchen. I bet that man could make [NAME] cry.,amusement
Wow first fight in a while where I don't want either dude to lose.,approval
Stumbling out of a closet in full [NAME] outfit... I'm afraid it's not,fear
"[NAME] will probably get offers from other teams, he may not even be a [NAME] next year. ",optimism
Quit serving money and [NAME] will feed you.,realization
"Doctor is Spy! ~Grunt, too late.",surprise
Strange how it's funny until your mate's getting his arse handed to him.,amusement
Damn didn’t see it sorry,remorse
So you got a more expensive burger while following the rules?,curiosity
Oh same! But with [NAME]!,surprise
"No, you said you think she deserves whatever she can afford. Can she afford housing?",confusion
Thats why i sleep with 4,neutral
You mean me? Said the same thing as you did lol,neutral
really thought he'd hit a bird for the longest time.,surprise
My gf is a huge TSwift fan and loves Friends. R u tryna steal my girl pal,love
Thanks for looking out but we will take our chances with this grave danger.,gratitude
[NAME] I hope we don’t have to as long as the Cubbies did to win a WS,optimism
Don't forget the awkward tomboys.,disgust
[NAME] and [NAME] for [NAME] then sign [NAME] afraid this battle station is fully operational,fear
Still waiting on [NAME] to tell me how GIFs are terrible and I can’t afford to watch anymore of them.,fear
Lmao I'm sorry!,remorse
Mine was apparently [NAME] and the giant peach!,neutral
This sounds familiar. But no it will be [NAME] fault. She MADE [NAME] hurt you for the greater good. /s,disappointment
"No, but you wouldn't believe what I'm not tired of seeing...",disapproval
Maybe hes changed i did when she left?,curiosity
"I used to work nights at a 24-hour Walmart, “interesting” is a damn tame word for it.",excitement
“What a bummer. He ded. I look at sky. Maybe bird make me happy.”,joy
That looks like a fun group,joy
Well I did add an edit you might have missed haha,amusement
Lol i control your life gooferton btw open your chatbox,amusement
Huh. Weird.,disgust
Sorry. This thing knows whats up!,remorse
Nice-full circle! Leaving [NAME] for dust- I love it.,joy
"Lucky the patient passed out, they wont feel any of it or hear anything you're saying!",approval
"I really hope I don’t ever experience a mid life crisis at all. But if I do, I at least want to act my age.",optimism
Ya uh that's gen Z sorry,remorse
You can do that here dude. got a story? just tell it man,neutral
[NAME] what the hell is going on at hq,anger
"Tool fan from the U.S. here. Something seems off about this question. Cheers, mate!",joy
