text,label
And yet you're still not making me regret being a TV hodad when that was on and so missing it.,remorse
Sweet [NAME]. Yes. He. We are men. We are married. Stare if you want.,neutral
Thats why i sleep with 4,neutral
"One good thing about vaping When it hits you, you feel no pain. ",admiration
"Just be good and you won’t lose, ez",caring
They’re well on track to getting that superpower by 2020 slot,excitement
Great deal! It will be my loss if I decline.,admiration
"I am with you. Despite leaving stuff at his place, i am slow but surely done.",caring
"Impossible. A Milford man shall neither be seen, nor heard. ",disapproval
"The true perk is ""knowing all the good local spots""",approval
Just don't stop with the damn good cooking though please lol.,amusement
Those on the right are oddly easy to convert at times. Good luck.,optimism
Your both right and I'd rather have the drink than a rynair flight !,approval
[NAME] increasing his trade value so we can trade him to NO for Lonzo. Thank you [NAME]!,gratitude
"When he said, ""IT'S CALLED RESPECT"" and gritted through his teeth-- wow, he is just waiting to let his hands fly.",surprise
I buy and sell iPhones and January has been slow for me too. Good luck to all of us.,optimism
"You know, when I think of democracy, the first thing that comes to mind is best 2:3... Errr... 3:5.….. uhmm... I mean 5:7... /**S**",neutral
I'm hoping he's just gonna psyche people out like [NAME] did with [NAME].,optimism
What a great reason to have kids.,admiration
"Welcome to The World of... Mobile MMOs. Where power can be yours, for a price.",joy
"No apologies needed, beer loving friend!",love
"Which totally makes it less funny for a person like me who has never seen this before, and laughed. ",joy
The comments made by [NAME] to Truth on Smackdown about [NAME] makes me really think [NAME] has an outside chance at the win,realization
> They are working on something new... TLWGAS. I'm not ashamed to admit that I'm too dumb to figure out what that stands for,annoyance
Oh same! But with [NAME]!,surprise
"Okay, carry on then. Just thought I’d make sure you recognized that there was a difference.",realization
This is the only thing I care about from this entire season so far.,caring
"I don’t like [NAME] all that much, but that dude seems cool. I hope it hits a goofy dark line like [NAME] or [NAME] tho.",desire
Pilots omg... you are not alone there!,surprise
It's a miracle! This is how religions start.,excitement
[NAME] is getting very unhinged I almost feel bad for him at this point,sadness
The weapon wasn’t made until 1918-1919 so hopefully this will never be real,optimism
I’m afraid I just blue myself,fear
Ok this actually happened to me when I was one bloodthirsty away from getting gold on my MX9,realization
I get through a pack of tennis biscuits a week at work. Coconut bliss,joy
"On this blessed day, we are all KQLY.",joy
"Yes, I did, not once...here is my full story: Story of my dead bedroom",approval
That's so great! Plus it feels good to know I helped Pfizer make $5B last year on Prevnar 13.,admiration
i'm so poor i don't even know any horse girls,sadness
"31/M/I don’t know, I’m blind.",disapproval
Swordfish is my go to gun. Used my first unlock token it given how much I enjoyed it.,joy
You can do that here dude. got a story? just tell it man,neutral
Yes. Source: still getting paid.,approval
How could you ever get bored of place that is getting more and more enjoyable as you are there,joy
We're like bad luck lightning rods. Everybody around us is safe,disappointment
I recomend a Jasikevicius from Litva :) Sorry for English.,remorse
"It is his welcome, he can do with it as he wishes. Your misunderstanding is forgiven.",caring
"I'm underweight anyways, somebody hand me an English to (whatever language) translation book.",embarrassment
What's worse is getting in a car that isn't yours,embarrassment
Sell high!,excitement
"Okay, thank you very much! So we are off the deep end of Riverdale logic here.",gratitude
"Not against us this season, apparently. ",disapproval
"Yeah, he knows about my mental health and how bad it cam get, we've tried all the things that have worked in the past ",sadness
"Really? I’m not so sure, because I really do like her a lot.",love
"You can't be worse than [NAME], your hired!",disgust
One day I was really desperate and tried putting warming balms that are intended for sore muscles on my lower tummy and it helps so much!,sadness
You will love Happy People! Perfect to watch when you're snowed/iced in.,love
“Enjoy your dinner”,joy
Ya uh that's gen Z sorry,remorse
"Sorry, but getting shot at causes an almost instinctive natural reflexive reaction to shoot back. I guess I'm just weird like that. ",remorse
"Even better, won't feel as bad eating the whole thing in one sitting then.",optimism
It had a rough start but it really came around.,neutral
*Hey just noticed..* it's your **5th Cakeday** [NAME]! ^(hug),joy
"Lucky the patient passed out, they wont feel any of it or hear anything you're saying!",approval
“We only let him jump around for 12 hours a day!” Wow. I’m so sorry this is happening to you.,remorse
"Stop, your hurting me!",anger
Wow I didn't know it changed your face so it doesn't break rule 1 and 2? /s,surprise
Constitutional protections are our best bet. They're the hardest to overturn.,neutral
"Philanthropy really scares some people, doesn't it? People did this to [NAME] too. ",fear
It's a close one. I'm going to agree with you because look what happens when [NAME] goes down.,approval
"Oooooffff. That's real awkward, but I mean that somehow still ended better than I expected so.. Kudos ig??",embarrassment
This was so good I groaned audibly.,admiration
Damn... METOO,annoyance
Do you want a people's army? because that's how you get a people's army,neutral
"""I'm not arrogant""",neutral
I know it’s out of control!,disappointment
I hope Thier friends now,optimism
Because killing the same mice twice is very tricky,realization
Danggit. Im mad i didn't think of that,annoyance
"More excited about the pick than [NAME], but might be nice outfield depth in time.",excitement
"Well, I was going to surprise you [NAME], but what the heck...I’m gaining a bunch of weight to go on disability!",disappointment
You guys are fools. This is gold.,annoyance
"I sure as sugarplums aint seen any ""gives"" around ",approval
"Doctor is Spy! ~Grunt, too late.",surprise
Two or three anti depressants before I told them a lie about how I tried my moms valium and it worked,disappointment
"Counter's clean, you're welcome!",gratitude
Fair enough. I would suggest practice but it seems you've got that under wraps. Gd luck out there.,admiration
"Umm, zoom out. The ICO was $0.30. I only put 0.5 BTC into it then though. Wish I did more.",desire
"I'm happy however those two don't get a ring. Would be overjoyed if it was at the hands of [NAME], [NAME], and [NAME].",joy
"Yeah, It's just difficult to resist the lure of the dark side.",disappointment
He's been cheered for years now.,joy
Please kind sir may I have some more,desire
I don’t get this question as they know full well exactly why I am not married!,confusion
I’ll just take this as an apology and bid you farewell AM x,remorse
"Yes please. Take the cheeto too, fuck it.",anger
"That was a hell of a tip, that happens",anger
