text,label
than ` Magnifique ' .,3
Only at the prospect of Beck 's next project .,3
It was a dark and stormy night ...,3
"The question hanging over The Time Machine is not , as the main character suggests , ` what if ? '",3
"Every so often a film comes along that is so insanely stupid , so awful in so many ways that watching it leaves you giddy .",2
"Boy oh boy , it 's a howler .",3
It 's not the least of Afghan tragedies that this noble warlord would be consigned to the dustbin of history .,2
"But when it does , you 're entirely unprepared .",3
Bella is the picture of health with boundless energy until a few days before she dies .,3
You want to call Domino 's .,3
Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format ?,5
Why ?,2
"Triple X is a double agent , and he 's one bad dude .",4
Acting can not be acted .,3
Troll the cult section of your local video store for the real deal .,3
Martyr gets royally screwed and comes back for more .,3
You do n't want to call the cops .,3
"Made to be Jaglomized is the Cannes Film Festival , the annual Riviera spree of flesh , buzz , blab and money .",2
"Much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice .",4
The fourth in a series that I 'll bet most parents had thought -- hoped !,3
A cockeyed shot all the way .,2
This is SO De Palma .,3
"The picture runs a mere 84 minutes , but it 's no glance .",4
"But this time , the old MIB label stands for Milder Is n't Better .",2
It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .,2
"When you resurrect a dead man , Hard Copy should come a-knocking , no ?",3
"scenario that will give most parents pause ... Then , something terrible happens .",3
"If you do n't ... well , skip to another review .",3
` Snow Dogs ' has both .,3
"Wow , a jump cut !",3
Grown-up quibbles are beside the point here .,3
Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .,4
there is truth here,4
In an ART FILM !,4
I am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray Richard Dawson .,5
"One thing 's for sure -- if George Romero had directed this movie , it would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head .",2
"Blade II is as estrogen-free as movies get , so you might want to leave your date behind for this one , or she 's gonna make you feel like you owe her big-time .",3
"Without ( De Niro ) , City By The Sea would slip under the waves .",2
"As underwater ghost stories go , Below casts its spooky net out into the Atlantic Ocean and spits it back , grizzled and charred , somewhere northwest of the Bermuda Triangle .",2
Who is this movie for ?,3
"You have once again entered the bizarre realm where director Adrian Lyne holds sway , where all relationships are simultaneously broadly metaphorical , oddly abstract , and excruciatingly literal .",3
You live the mood rather than savour the story .,4
Great dragons !,4
"I 'll put it this way : If you 're in the mood for a melodrama narrated by talking fish , this is the movie for you .",3
The directive to protect the code at all costs also begins to blur as the importance of the man and the code merge,3
"His best film remains his shortest , The Hole , which makes many of the points that this film does but feels less repetitive .",3
I ca n't say this enough : This movie is about an adult male dressed in pink jammies .,2
That is made almost impossible by events that set the plot in motion .,3
"Director-chef Gabriele Muccino keeps it fast -- zippy , comin ' at ya -- as if fearing that his film is molto superficiale .",3
"Here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit Sascha .",2
Who is the audience for Cletis Tout ?,3
To Blandly Go Where We Went 8 Movies Ago ...,2
A drama ?,3
"`` The Kid Stays in the Picture '' is a great story , terrifically told by the man who wrote it but this Cliff Notes edition is a cheat .",3
"As any creature-feature fan knows , when you cross toxic chemicals with a bunch of exotic creatures , you get a lot of running around , screaming and death .",3
"Call me a cold-hearted curmudgeon for not being able to enjoy a mindless action movie , but I believe a movie can be mindless without being the peak of all things insipid .",1
For single digits kidlets Stuart Little 2 is still a no brainer .,3
The movie does such an excellent job of critiquing itself at every faltering half-step of its development that criticizing feels more like commiserating .,2
There 's something about a marching band that gets me where I live .,3
"It may not be history -- but then again , what if it is ?",3
