text,label
"Title: Shoe problems?, Content: I have the NIKE SHOX BOMBER shoes and i have a problem with the strap on the ankle, is there anything I can do besides just not strapping it on, Answer: did you try a different shoe lace? that might work.",Sports
"Title: What does RCAC mean?, Content: , Answer: ROYAL CANADIEN AIR CORPS",Politics & Government
"Title: Does anyone know where I can buy Ryusho Sakagami's Karate-do Kata Taikan?, Content: This is a martial art book written by my sensei's,sensei,sensei, Answer: i hope this isnt what you are looking for - its expensive \n\nhttp://cgi.ebay.com/SAKAGAMI-RYUSHO-rare-1978-SHITO-RYU-Karate-DO-Taikan_W0QQitemZ4638651123QQcategoryZ378QQssPageNameZWDVWQQrdZ1QQcmdZViewItem",Education & Reference
"Title: Have you worn Hanes' White Boxer Shorts?, Content: Don't you think the fly sucks? It never stays closed., Answer: true-i had to put a couple of stitches in mine",Health
"Title: My website??, Content: check out my FREE website and telll me if you like it.  its name is\nhttp://www.jesuswalktalk.moonfruit.com\nplease check every aspect of it. I want a true answer on if it is good or not and what it needs for improvement.\nthanks \nlester fester, Answer: excellent site and keep up the good work",Computers & Internet
"Title: what is it?, Content: , Answer: ""It is a 2 letter word in english that means that thing.",Sports
"Title: I need to know what to gap  the spark plug at for a poulan chain saw?, Content: , Answer: 0.025",Business & Finance
"Title: Tips.........................?, Content: Ok...so I'm planning on living in the woods for a time. Does anybody have any survival tips that might come in handy?, Answer: Read read read\n\nLots of books on living in the outdoors, medical reference book for injurys, outdoor cooking book, boy scout manual and others.\n\nI would also suggest you see if you can locate a ""survival camp"" that they train people for religious or other purposes to survive in the mountains without civilization's usual perks.  Best to take a buddy with you, as if you become seriously injured, you may put yourself in harm's way and end up dying needlessly.",Sports
"Title: where can i find information on the banned book Bumps in the Night?, Content: why it was banned, where it was banned, what it was banned for, Answer: http://product.ebay.com/Bumps-in-the-Night_ISBN_0440412862_W0QQfvcsZ1392QQsoprZ351483",Education & Reference
"Title: What happens if you don't have the money to pay a speeding ticket?, Content: If I plead guilty and explain to the judge I need a payment plan do you think I will go to jail?, Answer: I think there are several options for you to choose from. \n\nYes you can be placed on a payment program,don't miss a payment or the court will issue a warrant for your arrest as you are under a court order to pay. They will not take excuses, so if you have financial problems please call.\n\n(This is not Wal-Mart the customer service is not all that friendly)\n\nSome jurisdictions will allow you to do community services instead of paying a fine, when and if you are allowed to do this again please show up on time. All the excuses in the world will not keep the judge from rescinding the community service and turn it into jail time.\n\nYou may also serve jail time, complete it and walk away after your time is up.\n\nI hope this has been of some use to you, good luck.\n\n""FIGHT ON""",Politics & Government
"Title: Is there any way that I can get a taser? Is it legal to have one?, Content: Do  I have to take a class?, Answer: It depends on where you live.  If you don't live in one of the following then your answer is Yes.  If you do then the answer may be yes if you take the training and register it.  If there are any questions call your local Police Department.\n\nThis is directly from my site www.idtac.com.\n\nStun Gun Laws\nStates where stun devices are legal but with some restrictions: (click on the state name for more info) \n\nConnecticut - Legal for home use, carrying prohibited. \nFlorida - Legal, subject to restrictions. \nIllinois - Legal, subject to restrictions (Requires FID card). \nIndiana - Legal, subject to restrictions. \nNorth Carolina - Legal, subject to restrictions. \nNorth Dakota - Legal, subject to restrictions. \nOhio - Legal, subject to restrictions. \nWashington State - Legal, subject to restrictions. \nStates where stun devices are illegal: (Click on the state name for more info) \n\nHawaii \nMassachusetts \nMichigan \nNew Jersey \nNew York \nRhode Island \nWisconsin \nCities where stun devices are illegal: (Click on the city name for more info) \n\nAnnapolis, MD \nBaltimore, MD \nHoward County, MD \nChicago, IL \nDenison / Crawford County, IA (*According to Sheriff Tom Hogan*) \nDistrict Of Columbia \nPhiladelphia, PA",Politics & Government
"Title: How can you get out of the army?, Content: Before I met my wife (when she was 17) her Ex-Navy father got mad at her and drove her down to the army recruiting station and forced her to enlist. She was officially sworn in at MEPS the following march, the very day of her 18th birthday. We met a few days after she was sworn in. We married in July she is in Basic training now. She was so scared when she left, she is sacred now, she never wanted to go, she was just afraid to say no to her Dad. Her dream is to be a veterinarian, but her Dad got her signed up as an Infantry Supply clerk. Is there anyway to save her from this nightmare. Is there anyway to get her discarged?, Answer: She should stay in.  Basic will probably be the hardest thing she'll have to do.  After she gets out, she can go anywhere as a supply clerk.  Probably won't go to a combat area unless she requests it.\nSo she gets stationed somewhere states side.  It's like a 9-5 job most of the time.  She come in, do her job, and go home.  She'll get housing, so you can join her.\nIt'll pay for her school to be a veterinarian.  Hell, she can go to some night classes and get all the prerequisites outta the way before she gets out.\nHowever, if she really wants out and she is in basic...all she has to do is ask.  They will try to talk her out of it.  Probably bad mouth her.  Call her names.  Etc.  But they will give her a general discharge..or a less than honorable discharge I think they called it.\nWe had someone go awol while I was in basic and they just mailed him his less than honorable.  They don't want to spend too much money on someone and just have them leave.  They may sound tough on her...but they will let her leave if she wants.  Have her talk to the military pastor/preacher.  He can help her. \nOn that note...make sure she wants to and she's not just echoing what you want...this less than honorable discharge will follow her everywhere.",Politics & Government
"Title: What are some good, cheap things to get people for Christmas at the last minute?, Content: , Answer: Gift certificates, esp for restaurants.",Society & Culture
"Title: how to wait 4 titties?, Content: , Answer: what?",Health
"Title: For the ladies, please?, Content: Are you a pizza and beer or a wine and cheese type of girl?, Answer: I'll drink wine with pizza or cheese & crackers, but I prefer margaritas with tex-mex, & whiskey with navajo fry bread meals.  Have a great day, Jester.",Entertainment & Music
"Title: what is the current watch that is general issue in the US military to ground troops?, Content: the watch used by regular gi's not pilots, or divers anything like that, Answer: The Marine Corps no longer does a general issue on watches. However, before they stopped a few years ago it was a simple black faced timex with a green band.",Politics & Government
