text,label
"Title: Where was Johan Edvard Lundstrom born?, Content: , Answer: Johan Edvard Lundstrom of Jonkoping in Sweden invents ""Swedish Safety Match"" and he acquires patent right of it around 1855",Education & Reference
"Title: How can I seal plexy Glass?, Content: , Answer: Many large pet shops carry aquarium sealant. Check to make sure it is acrylic compatible.",Business & Finance
"Title: Anyone Enlisted or Already a Marine?, Content: Cuz im a USMC Poolie and was just seeing how many people would be in or are going in., Answer: I was honorably discharged in 1993, after 10 years of service.  But as the saying goes, ""Once A Marine, Always A Marine"".\n\n1983-1987  Marine Barracks, Seal Beach NWS\n1987-1990  2nd Battalion, 2nd Marine Regiment 0311\n1990-1993  Marine Barracks, Mare Island Naval Shipyard",Politics & Government
"Title: Anyone have MySpace?, Content: Anyone have MySpace and is addicted like me?, Answer: i have one.... but define addicted? do i have it on all day yes.. do i sit at the puter all day no...  but i do love it!!  the adult conversation with other moms..  I guess i should mention stay at home mom and baby sit extra kids.. so it is nice not to just be talking to kids all day..",Computers & Internet
"Title: Share your most recent dreams. (sleeping dreams)?, Content: , Answer: I dreamed my boyfriend was getting dragged off by an alligator, by his ankle, to be eaten!",Society & Culture
"Title: if u tried to fail and succed what have u done?, Content: my cuz gave me this and i can not get it, Answer: you have succeeded at nothing.",Business & Finance
"Title: gas leaking from a hanging tube.?, Content: My buddy has an '86 kdx200. there are 3 tubes coming out of the carborator not atatched to anything. the tube coming from the bottom is leaking a lot of gas. what does the tube connect to?\n\nI'm pretty sure the 2 upper tubes are supposed to just hang, i could be wrong.\n\nthanks a ton., Answer: Are you talking about the overflow tubes? They should not leak if the bike is straight up... The connect to the carb...",Sports
"Title: Who was it that claimed that they had truly flown first, and that orville and wilbur were lias?, Content: , Answer: Gustave Whitehead",Education & Reference
"Title: I need to know what is difference from an idiot and being retarded and which one will  get me welfare?, Content: , Answer: sorry but you already asked a question that proves you aren't stupid enough to qualify.",Society & Culture
"Title: Shoe problems?, Content: I have the NIKE SHOX BOMBER shoes and i have a problem with the strap on the ankle, is there anything I can do besides just not strapping it on, Answer: did you try a different shoe lace? that might work.",Sports
"Title: Bored at work...?, Content: My job can hardly keep me busy with work.  What should I do to pass the time....I'm in a cubicle and you know what office rules are like, Answer: www.bored.com",Business & Finance
"Title: doss commission listing of native americans for genieality search?, Content: , Answer: opp.",Education & Reference
"Title: Please honestly share - What was the craziest thing you ever did during your entire life?, Content: Okay - it's only fair that I share my experience first.  As a child vacationing in downtown Pittsburg PA with my family, we were in the audience of a television game show.  We were asked to write down ""the craziest thing we could think of doing"" and submit it at one point early in the program.  I remembered seeing a large landscaped water fountain in a courtyard outside the studio.  My answer was to ""go skinny-dipping in that fountain.""  Was I ever shocked and so totally embarrassed when they called out my name later in the program?  Oh, yes!  Someone had to literally take me by the arm and drag me up on the stage and into the camera's view, but it was worth the silver dollar I won.  BTW - I never did go skinny-dipping in that fountain.  LOL, Answer: pooped outside in my neb.s lawn my bro locked me out,,",Society & Culture
"Title: One last Riddle?, Content: what has four legs in the mourning, two in the afternoon and three in the evening?, Answer: man- o great sphinx",Entertainment & Music
"Title: asking questions, answering questions,or discovering new thigs like looking at answers wich 1 do you like more, Content: , Answer: Answering and browsing...usually I think of a great question to ask but then I forget once I sign on.",Computers & Internet
"Title: how to wait 4 titties?, Content: , Answer: what?",Health
"Title: What are you doing to prepare for the Tribulation that can start in 8-12 Years From Now?, Content: http://www.myspace.com/conspiracyalert\n\nClick UPDATE: I know when the end BEGINS., Answer: The bible says only the father knows when the end will be. And it gives us the signs to look for for to tell us whn the end is near. Take a look around, see what is going on in the world today, violance, hunger, wars, distruction against the church, etc. We are living the tribulation already , it has already begun. read the boobk of Revolations. Are you really prepared???",Family & Relationships
