text,label
"Title: i am writing an article on alternative choices for a funeral/burial, has anyone got any stories of info?, Content: , Answer: WALTER\n                         What's this?\n\n                                     DONNELLY\n                         That is for the urn.\n\n                                     WALTER\n                         Don't need it.  We're scattering the \n                         ashes.\n\n                                     DONNELLY\n                         Yes, so we were informed.  However, \n                         we must of course transmit the remains \n                         to you in a receptacle.\n\n                                     WALTER\n                         This is a hundred and eighty dollars.\n\n                                     DONNELLY\n                         Yes sir.  It is our most modestly \n                         priced receptacle.\n\n                                     DUDE\n                         Well can we--\n\n                                     WALTER\n                         A hundred and eighty dollars?!\n\n                                     DONNELLY\n                         They range up to three thousand.\n\n                                     WALTER\n                         Yeah, but we're--\n\n                                     DUDE\n                         Can we just rent it from you?\n\n                                     DONNELLY\n                         Sir, this is a mortuary, not a rental \n                         house.\n\n                                     WALTER\n                         We're scattering the fucking ashes!\n\n                                     DUDE\n                         Walter--\n\n                                     WALTER\n                         JUST BECAUSE WE'RE BEREAVED DOESN'T \n                         MEAN WE'RE SAPS!\n\n                                     DONNELLY\n                         Sir, please lower your voice--\n\n                                     DUDE\n                         Hey man, don't you have something \n                         else you could put it in?\n\n                                     DONNELLY\n                         That is our most modestly priced \n                         receptacle.\n\n                                     WALTER\n                         GODDAMNIT!  IS THERE A RALPH'S AROUND \n                         HERE?!",Society & Culture
"Title: M4 Carbine.. secondary sighting system ?, Content: I'm setting up an M4 to use primarily for CQB under 50m. I'll run on iron sights (albeit triijicon) but am can't decide between 3 other options: Aimpoint ML2, EOTech, or a foregrip from CTC . Any suggestions or thoughts ?  I don't care about how easy getting a zero is... just durabilty/reliability and aquisition for social work.\nIf you don't understand the language in the question, please take a pass in answering. All you ""Mike Novembers"" out there, yup, that means you....... All *informed* opinions however, are most WELCOMED, Answer: EOTech for sure - It's a must.",Politics & Government
"Title: Who likes to chase severe weather?, Content: , Answer: Well...I have never chased storms...but I love storms.",Science & Mathematics
"Title: How easily would it be for you to become insane?, Content: , Answer: most ppl already think i am. all i would have to do is carry out some of the stuff i say and they would be calling the lunie bin to come and get me.\n\n""Only the trully sane are those who are the insane for they embrace that crazyness that is inside each of us"" - by???? (i forgot who said it)",Business & Finance
"Title: ok I'am shamal fernando. Born 1983.10.03 at 02.40 am in sri lanka puttlam. what is my lify next pls tell me, Content: , Answer: what......?",Health
"Title: which has greater population, Canada or California?, Content: , Answer: I believe California edges out Canada by a couple million. Canada has just over 31 million, and California has almost 34 million.",Education & Reference
"Title: doss commission listing of native americans for genieality search?, Content: , Answer: opp.",Education & Reference
"Title: How long is Texas' border with Mexico? California? Arizona? New Mexico?, Content: , Answer: The USA - Mexico Border Is About 2000 Miles",Politics & Government
"Title: How can you get out of the army?, Content: Before I met my wife (when she was 17) her Ex-Navy father got mad at her and drove her down to the army recruiting station and forced her to enlist. She was officially sworn in at MEPS the following march, the very day of her 18th birthday. We met a few days after she was sworn in. We married in July she is in Basic training now. She was so scared when she left, she is sacred now, she never wanted to go, she was just afraid to say no to her Dad. Her dream is to be a veterinarian, but her Dad got her signed up as an Infantry Supply clerk. Is there anyway to save her from this nightmare. Is there anyway to get her discarged?, Answer: She should stay in.  Basic will probably be the hardest thing she'll have to do.  After she gets out, she can go anywhere as a supply clerk.  Probably won't go to a combat area unless she requests it.\nSo she gets stationed somewhere states side.  It's like a 9-5 job most of the time.  She come in, do her job, and go home.  She'll get housing, so you can join her.\nIt'll pay for her school to be a veterinarian.  Hell, she can go to some night classes and get all the prerequisites outta the way before she gets out.\nHowever, if she really wants out and she is in basic...all she has to do is ask.  They will try to talk her out of it.  Probably bad mouth her.  Call her names.  Etc.  But they will give her a general discharge..or a less than honorable discharge I think they called it.\nWe had someone go awol while I was in basic and they just mailed him his less than honorable.  They don't want to spend too much money on someone and just have them leave.  They may sound tough on her...but they will let her leave if she wants.  Have her talk to the military pastor/preacher.  He can help her. \nOn that note...make sure she wants to and she's not just echoing what you want...this less than honorable discharge will follow her everywhere.",Politics & Government
"Title: IF I declare everyone was born a BUSLIM, can you prove to me you were not born a BUSLIM?, Content: , Answer: I'd have to know first what a Buslim is, and what you mean by the word.\n\nAddendum: surprisingly, I've found ""Buslim"" on the Internet!  One site, apparently defunct, had called it a cross between a Buddhist and a Muslim.\n\nbadreligion  \nbadreligion Buslim - Not a real religion. Taz made it up in a Study of Religion class one day. It's like Buddhism crossed with Islam. Well, not really. But it has a cool name. Si-Amohn-Ra is a nonsensical entity who took ...www.geocities.com/are_you_normal_enough/badreligion.html - 8k \nhttp://www.geocities.com/are_you_normal_enough/badreligion.html \nhttp://search.yahoo.com/search?p=buslim&sm=Yahoo%21+Search&fr=FP-tab-web-t&toggle=1&cop=&ei=UTF-8\n\nAnother site says Buslim is a place in Tarabulus, Lybia.\nhttp://www.traveljournals.net/explore/libya/map/m4465058/buslim.html\nhttp://www.globalcoordinate.com/places/2106426.aspx\n\nThere's a short story on line called ""The Return of Jerry Buslim"".\nhttp://www.lit.org/view/17893\n\nSo to answer your original question, I was not born a location in Libya; I'm a native New Yorker.  I was not born a fictional character named Jerry Buslim.  I also don't believe I was born a cross between Buddhism and Islam.  Can you prove that I was?",Society & Culture
