text,label,cluster
Get some help with your decision. Maybe your church or some non-profit group in your area can talk you through it. Good luck! Keep us updated.,optimism,2
"Your hamstering is beyond entertaining. There are tons of posts, but you can't find any?",amusement,7
Nothing wrong with that! Sounds awesome :),admiration,1
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
Fuck shit bitch,anger,20
yeah what happened in this comment section... Hope these people are ok. TDS is very serious and real.,optimism,21
"aren’t they ‘Staffordshire Bull Terriers’,commonly called,Staffies in Europe?",confusion,9
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
Wheres the telescope?,curiosity,13
What shouldn’t be lifetime? :),curiosity,9
"I'm happy however those two don't get a ring. Would be overjoyed if it was at the hands of [NAME], [NAME], and [NAME].",joy,4
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
What did we do to deserve [NAME]? Loved that guy since his buff days,love,4
I TOOK TOO MUCH OF A RISK IM SORRY,remorse,23
Damn this is experience talking.,disappointment,15
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
Humiliation on top of arrest!!!,embarrassment,6
That is an awesome idea and execution. Also a great example of an actual free market system working right.,admiration,9
"Well if you don’t enjoy fishing, lucky you, there are various other activities in this game which can net you decent cash. ",caring,7
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"Tool fan from the U.S. here. Something seems off about this question. Cheers, mate!",joy,17
Notice how there are no chapotraphouse trolls here because they know you're right and can't put up any argument against you.,approval,7
Have fun in the farmer's league.,joy,13
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"I'm sorry, do people NOT listen to [NAME] 9th while driving?",gratitude,1
It’s like you didn’t even read the comment you’re responding to.,realization,16
"The real power move is to write ""Have a nice day"" even if you lose.",realization,10
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
But why does your horse have a leash on her while eating. Looks sooo uncomfy. Poor bubby!!!,curiosity,11
Crayfish. thank you! this cord was from an old beam-type smoke detector.,gratitude,9
What did we do to deserve [NAME]? Loved that guy since his buff days,love,4
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"Came here to say exactly this. It's almost the same scene, as if he tried to recreate it",disapproval,5
"What are you talking about, there was an update this week. And even then 3 weeks is not enough for a huge update",confusion,8
What was the fastest you were ever going over the speed limit when you got it dismissed? I’m most likely going to go with Sullo also,curiosity,9
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
How embarrassing.,embarrassment,20
"More excited about the pick than [NAME], but might be nice outfield depth in time.",excitement,4
I TOOK TOO MUCH OF A RISK IM SORRY,remorse,23
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
‘You’re not so smart’ Wow what a murder /s Trash post,annoyance,19
Wow. Of COURSE this happened,surprise,12
Victimless crime? Fuck you! Sounds like your unrepentant for being a crippling alchoholic.,anger,7
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
That’s on Canada. Sorry but I gotta give credit where credits due,remorse,8
"Need some new prog material, I'm stoked to listen to it!",excitement,11
Ah thanks so much,gratitude,18
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"Tool fan from the U.S. here. Something seems off about this question. Cheers, mate!",joy,17
> Why create more jobs when no one is available to even take them? We could always import more people to fill those jobs.. :),confusion,9
"Sad thing is, I wanted to, but I’m stupidly awkward...",sadness,16
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"Yeah, he knows about my mental health and how bad it cam get, we've tried all the things that have worked in the past ",sadness,5
That is an awesome idea and execution. Also a great example of an actual free market system working right.,admiration,9
It’s like you didn’t even read the comment you’re responding to.,realization,16
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
[NAME] these things were terrible. i presume they still are. #teamlemoncreams,disgust,1
"No, you said you think she deserves whatever she can afford. Can she afford housing?",confusion,3
Black Mirror is great.,admiration,20
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
Victimless crime? Fuck you! Sounds like your unrepentant for being a crippling alchoholic.,anger,7
What shouldn’t be lifetime? :),curiosity,9
Nothing wrong with that! Sounds awesome :),admiration,1
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"More excited about the pick than [NAME], but might be nice outfield depth in time.",excitement,4
But i really need you to delete the comment,desire,18
Do your own research. It’s not my job to educate you.,annoyance,10
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
That’s what they get for being greedy 🙃,neutral,3
"Andromeda is that type of game that has extreme potential in becoming a great game, but it botched it in all the little things.",approval,8
...I just encountered this on Facebook and your title was my response. Did we just become best friends?,excitement,17
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"Yeah, he knows about my mental health and how bad it cam get, we've tried all the things that have worked in the past ",sadness,5
This just makes me want sushi.,desire,14
Get some help with your decision. Maybe your church or some non-profit group in your area can talk you through it. Good luck! Keep us updated.,optimism,2
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"Last year was also the first time we drafted a lineman before round three since [NAME], so I think the earlier look at linemen was needed haha",amusement,4
Cheers. Never heard of any of them. Kids will do that to you...,excitement,21
Looks like a plate to me. A stupid plate. But a plate nonetheless.,anger,14
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
What did we do to deserve [NAME]? Loved that guy since his buff days,love,4
"No, you said you think she deserves whatever she can afford. Can she afford housing?",confusion,3
"Nah man presses, but good ones... the pharma kalmas are long gone bro, here in Australia anyway",admiration,8
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
Preach. The nuthuggers and happy go lucky blind sheep if the front office are nowhere to be found. So disappointed in this team.,disappointment,14
Wheres the telescope?,curiosity,13
Paid $1.66 in Arlington today....love this,love,21
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"I'm sorry, do people NOT listen to [NAME] 9th while driving?",gratitude,1
Wheres the telescope?,curiosity,13
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"More excited about the pick than [NAME], but might be nice outfield depth in time.",excitement,4
Get some help with your decision. Maybe your church or some non-profit group in your area can talk you through it. Good luck! Keep us updated.,optimism,2
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
"Ok.... he can *call* it the State of the Union, but that doesn't mean it is.",disapproval,21
