label,text,cluster
Business & Finance,"Title: i know this sounds grose but why is it when u shave u get more hair?, Content: , Answer: You don't. That's a myth. You just get the same amount of hair with the same thickness you had before. It just looks different because it's cut differently.",8
Sports,"Title: Can you sponser a football team in El Paso, Texas?, Content: My name is Coach Levario and I have an 8 year old son who loves football.  However, the majority of teams in my city are located too far from our home.  We live in the the 79938 zip code and I would love to start up a football program for ages 8-11.  If anyone out there is intrested in sponsering a team please contact me at geolev2@yahoo.com., Answer: That is cool that your first name is coach.\n\nYou probably need to call one of the other teams and ask them to give you phone numbers of people to call.\n\nThat would be what I would do.",9
Computers & Internet,"Title: help needed  ? for the web developers?, Content: i need someone to help me create a web site get it up and running get it generating a profit and sell it and split it, Answer: Shoot me a note with your idea",9
Entertainment & Music,"Title: joke anyone?, Content: My wonderful girlfriend and I had been dating for over a year, and so we decided \n\n>to get married. There was only one little thing bothering me. It was her \n>beautiful younger sister. \n>\n>My prospective sister-in-law was twenty-two, wore very tight miniskirts, and \n>generally was bra-less. ?One day ""little"" sister called and asked me to come \n>over to check the wedding invitations. ?She was alone when I arrived, and she \n>whispered to me that she had feelings and desires for me that she couldn't \n<BR>overcome.<BR><BR>She told me that she wanted to make love to me just once \nbefore <BR>I got married and committed my life to her sister. <BR><BR>Well, I \nwas in total <BR>shock, and couldn't say a word. \n>\n>She said, ""I'm going upstairs to my bedroom, and if you want one last wild \n>fling, just come up and get me."" I was stunned and frozen in shock as I watched \n<BR>her go up the stairs. <BR><BR>When she reached the top she pulled off her \npanties and threw them down the <BR>stairs at me. I stood there for a moment, \nthen turned and made a beeline <BR>straight to the front door.??I opened the \ndoor, and headed straight towards my <BR>car. <BR><BR>Lo and behold, my entire \nfuture family was standing outside, all clapping! <BR><BR>With tears in his \neyes, my future father-in-law hugged me and said, we are very <BR>happy that you \nhave passed our little test.....we couldn't ask for a better man <BR>for our \ndaughter. Welcome to the family.""\n>\n>And the moral of this story is:?? \n>? \n>? \n>? \n>?Always keep your condoms in your car........, Answer: HAHAHAHA sorry that cracked me up! hahaha.... lol... HAHAHAHAHA its sooo funny!\nMORE! MORE! MORE! MORE!",4
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",9
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Education & Reference,"Title: does raw rice really explode birds? (please dont test it to let me know)?, Content: , Answer: I don't know if they explode. I DO KNOW that when the birds eat the raw rice and then it drinks, the rice starts to swell in the bird's stomach. I am not sure how they die but some do. \n\nThat is why they tell you to throw birdseed at weddings instead of rice.",7
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",9
Education & Reference,"Title: what is  oracle financial?, Content: mba  level, Answer: Oracle is a software..ERP (Enterprise Resource Planning) which generally means it handles all the back office funtions for a company, like HR, Finance, Purchasing.  Oracle Financial is the fiancial part of that system.",9
Politics & Government,"Title: How do i register with DOC, so I can visit my husband in prison.?, Content: In ACDF going DOC, Answer: Ask your husband to send you the visitor's application.\nIn California, it is CDC106, but it's different for each state and then there is a process for visitors to Federal facilities.\nThe Watch Commander, Chaplain or your husband's counselor can provide him with the forms.\nFor more information, or if you have other questions, visit http://www.prisontalk.com\nGood luck to you both.",9
