text,label
"Title: everybody...please im desperate...please answer.?, Content: .....sike. be happy that i give u free points. do what i do, give away points ull make more than ull lose. 1st person to answer gets best answer.  ;), Answer: ok I am here",Education & Reference
"Title: can you do sex evry day?, Content: , Answer: i dont no want to find out",Family & Relationships
"Title: Whats a romantic night for you?, Content: , Answer: when im with my soulmate",Family & Relationships
"Title: what are some of lifes ""unanswered"" questions?, Content: , Answer: heres one: ""why r men so lazy and retarded?""",Entertainment & Music
"Title: Whats the best way to give you 2 free points?, Content: , Answer: i wonder",Entertainment & Music
"Title: when ever i chat with some girls they ask me ""how r u lol"" what is lol?, Content: , Answer: Loads of Love ?!!",Family & Relationships
"Title: I'm feeling generous, tell me anything to get 2 pts and tell me something entertaining to get 10!?, Content: this is my form of community service, Answer: O.K., How About A Christian Sex Joke? Jake And Martha Were Watching A TV Preacher. The Preacher Said To The ""Folks At Home; Put One Hand On Your Television, And One Hand On The Part Of Your Body That Ails You, And I Will Preach A Sermon That Will Heal You!"" Martha Had Been Having Stomach Problems, And Placed One Hand On The TV, And Her Other Hand On Her Stomach. Then, She Said,""Jake,Get Over Here."" He Did, And Placed One Hand On The TV, The Other Hand Between His Legs. Martha Said, ""Shame On You, Jake! The Preacher Said He'd Heal The Sick, Not Raise The Dead!""",Health
"Title: ok I'am shamal fernando. Born 1983.10.03 at 02.40 am in sri lanka puttlam. what is my lify next pls tell me, Content: , Answer: what......?",Health
"Title: who is the president of the united states?, Content: , Answer: Someone who shouldn't be.",Politics & Government
"Title: handsome guy with not beautiful girl. what do you think?, Content: , Answer: That she is probably awesome in bed.",Family & Relationships
"Title: Hello, how are u ... ?, Content: Fine, thanks ..., Answer: I am doing really well (I am actually in love of this kid that is in my school1!) and I´m glad that u r fine!!",Entertainment & Music
"Title: asking questions, answering questions,or discovering new thigs like looking at answers wich 1 do you like more, Content: , Answer: Answering and browsing...usually I think of a great question to ask but then I forget once I sign on.",Computers & Internet
"Title: Betty or Wilma?, Content: Who's sexier?, Answer: Betty. No question.",Entertainment & Music
"Title: WHat do us girl know about sex?, Content: , Answer: We know how to wrap a man with our pussy! If u are a strong woman u can use sex and its techniques to make a man your stepping stone.....We know how we want to be touched, how we wanna be kissed, how we wanna be fucked, we know what we want in sex...as for men all they want is to nut(get off)...When we engage we know why we are fuckin its not just a lay out of it...We women are just as bad as men when it comes to sex....We want somehthing out it too...It may be for something at that moment or for cars, houses, or rent...All that being said....We girls Know a shitload bout sex....",Family & Relationships
"Title: What are the criteria for a good...?, Content: Pornstar?, Answer: I don't know, I guess you have to be hot, flexible and good at the sex part of it.",Entertainment & Music
"Title: What do you belive makes someone a real American?, Content: I am an American...\n\nI was born here (so were my parents)\nI pay taxes\nMy husband serves this country (active duty marine) and I through him. (military spouse)\nI speak English!\nI am willing to serve jury duty.\nMy single family home only has a single family in it, not 3\nI have no problem going out and working a hard days work\nI have the self respect not to go on government assistance unless I really need it, not just because I can.\nI am grateful for the rights afforded me by being an American and do not spit on them by marching with the flag of another country.\nI have appreciation for all that has come before me to give me the title American.\nAnd although I may not always agree with his decisions I respect George Bush because he is our president.\nI am an American....\nthe illegal immigrants come here for a better life but just end up bringing all their crap with them! They also show no gratitude for what has had to happen so they can have the right to march our streets., Answer: You are an American and should be proud of that.  Those who hate Americans (like some of the mensa candidates who answered here) want to tear you down because when you are strong they can't bully you.  There is absolutely nothing wrong with anything that you said.\n\nTo those who say you don't serve your country because you aren't in active duty truly don't understand the sacrifices that military spouses make and they are the ones being arrogant.  Without the support of the spouses at home those in the military couldn't do their jobs.  They want all the credit themselves without sharing that with all the others that helped them get where they are.",Politics & Government
"Title: ho is the President of India?, Content: The President of India, Answer: Dr. A.P.J. Abdul Kalam",Politics & Government
"Title: What type of government does the United States have?, Content: , Answer: presidential.",Politics & Government
"Title: Where Do u live?, Content: , Answer: in Cairo_Egypt",Business & Finance
"Title: am i in Love???, Content: , Answer: I would guess so since you thought to pose the question.",Family & Relationships
"Title: where can i see my lover?, Content: I mean how can i make a man whom i love , will love me .It's difficult coz he is my lover online not in my real life!!!, Answer: The internet is not for love. It's for porn and entertainment. Find someone within your reach.",Family & Relationships
"Title: joke anyone?, Content: My wonderful girlfriend and I had been dating for over a year, and so we decided \n\n>to get married. There was only one little thing bothering me. It was her \n>beautiful younger sister. \n>\n>My prospective sister-in-law was twenty-two, wore very tight miniskirts, and \n>generally was bra-less. ?One day ""little"" sister called and asked me to come \n>over to check the wedding invitations. ?She was alone when I arrived, and she \n>whispered to me that she had feelings and desires for me that she couldn't \n<BR>overcome.<BR><BR>She told me that she wanted to make love to me just once \nbefore <BR>I got married and committed my life to her sister. <BR><BR>Well, I \nwas in total <BR>shock, and couldn't say a word. \n>\n>She said, ""I'm going upstairs to my bedroom, and if you want one last wild \n>fling, just come up and get me."" I was stunned and frozen in shock as I watched \n<BR>her go up the stairs. <BR><BR>When she reached the top she pulled off her \npanties and threw them down the <BR>stairs at me. I stood there for a moment, \nthen turned and made a beeline <BR>straight to the front door.??I opened the \ndoor, and headed straight towards my <BR>car. <BR><BR>Lo and behold, my entire \nfuture family was standing outside, all clapping! <BR><BR>With tears in his \neyes, my future father-in-law hugged me and said, we are very <BR>happy that you \nhave passed our little test.....we couldn't ask for a better man <BR>for our \ndaughter. Welcome to the family.""\n>\n>And the moral of this story is:?? \n>? \n>? \n>? \n>?Always keep your condoms in your car........, Answer: HAHAHAHA sorry that cracked me up! hahaha.... lol... HAHAHAHAHA its sooo funny!\nMORE! MORE! MORE! MORE!",Entertainment & Music
"Title: india or pakisthan?, Content: , Answer: india",Sports
"Title: How do you deal with a 43 year old male virgin since I am a 50 year old female with experience?, Content: , Answer: Am kind of in the same situation; I told my guy to google some porn and positions and let him experiment with me.\n\nThat way he can try everything out and doesn't feel under pressure.\n\nIn fact my guy learnt quite alot from the net; now you wouldn't even notice that I was the first person he slept with.",Family & Relationships
"Title: Where can i get free music downloads?, Content: new and old ,instumental also, Answer: Totally recommending u 2go ""www.mp3shits.com"" (i am not making funny on u - really, is ""shits"", try it out, if not, u report me as ""abuse"" and if the site is true, give me 10 points... hahaha)\n\nIs TOTALLY FREEEEEE TO DOWNLOAD...\n\nenjoy...",Entertainment & Music
"Title: i need some funny mexican jokes.......got n e plz share?, Content: ne thing bout beaners wetbacks border trash border hoppers ne thing\n\nimma mexican so dont get mad white peepl, Answer: The Last Laugh\n\nThere was a Mexican, a Canadian and an Redneck on death row.\n\nThe warden gave them a choice of three ways to die:\n\n1. To be shot. \n\n2. To be hung. \n\n3. To be injected with the AIDS virus for a slow death. \n\nSo the Mexican said, ""Shoot me right in the head.""  Bang! (he was dead instantly). \n\nThen the Canadian said, ""Just hang me."" (Snap, he was dead.) \n\nThen the Redneck said, ""Give me some of that AIDS stuff."" \n\nThey gave him the shot, and the Redneck fell down laughing. \n\nThe guards looked at each other and wondered what was wrong with this guy. \n\nThen the Redneck said, ""Give me another one of those shots,"" so the guards did. \n\nNow he was laughing so hard, tears rolled from his eyes and he doubled over. \n\nFinally the warden said, ""What is wrong with you?"" \n\nThe Redneck replied, ""You guys are so stupid..... I'm wearing a condom.""",Entertainment & Music
"Title: A question about guys- Advice needed sooner rather than later?, Content: There is a guy at my play practice who is really nice and cute. He's one of the leads, and I'm in the chorus. We are in a lot of scenes together. I've known him for a few years now from previous plays, but it's been a really long time since I've seen him last. He's a year older than me- I'm fifteen, he's sixteen. We go to different schools. I really wanna be closer to him, but he has so many people around him all the time and I am kind of reserved (always with my two friends there). Any ideas? We all already have each other email's and numbers, so I can't ask him for either. Any advice or suggestions are loved. I don't know if I should just hang back and let him come to me, but do you think he ever will? Sometimes we catch each other's eye and then we both look away., Answer: Most people like to talk about themselves, give him a chance. If you're worried about his friends interfering or making you uncomfortable, send him an email. Ask for some personal info, but keep it friendly. This way, he doesn't feel like he has respond right away, and he might be nervous about talking to you in person.  The next time you meet in person you can talk in more detail things already mentioned in the message. It's like having a few conversation threads waiting in reserve.",Family & Relationships
"Title: Feed me and I live.Give me drink and I die.What am I?, Content: , Answer: Fire",Education & Reference
"Title: Hey...It's Sunday...let's laugh with SmileyCat : ) Called: Skinny Dippers..Ready?, Content: An old farmer in Georgia had owned a farm for many years. He had a large pond in the back, fixed up; picnic tables, horseshoes courts, etc. The pond was properly shaped and fixed up for swimming when it was built.\nOne evening the old farmer decided to go down to the pond, as he hadn't been there for a while, and look it over. As he neared the pond, he heard voices shouting and laughing with glee. As he came closer he saw a group of young women skinny dipping in his pond.\nHe made the women aware of his presence and they all swam to the deep end of the pond.\nOne of the women shouted to him, ""We're not coming out until you leave!""\nThe old man replied, ""Now hold on just a minute ladies. I didn't come down here to watch you swim nekkid or make you get out of the pond nekkid....I'm just here to feed the alligator.""\n\nMoral: Old age and cunning will truimph over youth and enthusuasm every time!\n\n\nLaughin'?  Where from?\nBest comment gets the alligators points!\nSmileyCat : ), Answer: HA HA HA THAT WAS HECKA FUNNY!!!!!!! you make this site fun! you NEED to keep doing these things!!",Entertainment & Music
"Title: How will I tell my husband that we need to make love?, Content: , Answer: Most guys rather like the direct approach...",Family & Relationships
"Title: my bf want to have sex with me in my sleep in his fantacy, what u think. I told him yest?, Content: , Answer: that sounds kindda hot - you should let him ""take advantage"" of you ;)",Family & Relationships
"Title: how can i know the virgin girl from the unvirgin girl ?, Content: , Answer: you cant",Family & Relationships
"Title: What is the one thing you want to accomplish before passing to the next life?, Content: , Answer: I want to spread Islam by peace & love as old great Muslims did",Society & Culture
"Title: homebusiness? Can someone tell me something about having your own company working frome home with the internet, Content: , Answer: yeh, if it works and you earn loads of money then it must be great!!!!",Business & Finance
"Title: Christians, what do you think about this dream I had last night?, Content: A man was driving west through Arizona on an interstate highway when he looked at his dashboard and saw he was almost out of gas.  There were no roadside stations in sight but he needed gas very soon.  The next exit was for a small town about 3 miles off the interstate so he took the exit to find gas.  It was a cold, wet, windy, winter day and as he traveled down the road to the little town he noticed a young man walking on the side of the road toward the interstate.  With little concern he traveled on to the town and filled up his tank.  \n\nAs he turned and drove back to the interstate he came upon the young  man again.  He was wearing a light jacket holding his arms close to his chest leaning forward into the freezing wind and rain obviously miserable and cold.  As the car approached the young man on the road he just barely put out his left thumb so as to indicate he needed a lift but trying to maintain some body heat.\n\nAs the driver passed by the young  man something inside him told him to stop.  He had never before stopped to pick up anyone like this before.  He brought his car to a stop about a quarter mile down the road from the young man.  As he turned to look back through the rear windshield he could see the young man running down the road toward his car.  Soon the young man was standing at the passenger door looking in the through the window the driver had lowered.  \n\n“I sure could use a lift,” said the young man.  The driver asked,  “which way do you need to go?”  The young man replied, “I need to go east.  Are you going that way?”  The driver hesitated for just a moment and then said, “Yeah.  I’m going east.  Get in.”\n\nThe young man almost jumped into the car.  His hair was covered in ice and with the warmth of the car it began to melt and drip from his hair.  As the driver pulled onto the road heading back to the highway he asked the young man, “where do you need to go?”  He replied, “I’m trying to get to my dad’s house in Virginia”.  The driver said, “That’s a long way to hitch hike don’t you think?  Why didn’t you call you dad and get some help getting back home?”\n\nThe young man replied, “ I haven’t talked to my dad in 5 years.  I left home on bad terms with him.  I was doing some things I new I shouldn’t do and dad didn’t approve.  So I left and said I’m never coming back.  Now I’ve lost my job.  I’ve lost my girl friend.  I have no money, no friends, and no place to live.  I don’t have anything left and nowhere to go.  I was afraid to call him. What if he said no I can’t come home?  Then what would I do?  Where would I go?  I thought if I can just make it back home maybe I can walk up and knock on his door.  Tell him how sorry I am.  Maybe he would let me come home.”\n\nThe driver pulled his car onto the interstate and headed east retracing the path from which he had just come.  The two continued to talk about what had happened in the young man’s life.  \n\nAs they drove and talked they soon came to a large city.  The driver without saying why began following the signs that showed the way to the airport.  The young man asked, “Where are we going.”  The driver responded, “I’m going to pay for a ticket for you to fly home.  You need to be with your dad.”  The two went into the airport together where the driver bought the ticket.  He handed it to the young man and said, “you’d better hurry you’re going to miss your flight.”  The young man hugged the driver and then with tears in his eyes he said, “You know, you didn’t have to do this, did you?”  \n\nThe driver paused for just a moment and looking back into the young man’s eyes responded, “ Yeah, I think I did.”\n\nI then found myself looking up a the crucified Jesus hanging on the cross looking down into my eyes.  I looked up at him acknowledging what He had done for me and with tears in my eyes I said, “You know, You didn’t have to do this, did You?”   \n\nJ, Answer: Very nice dream.  Thanks for posting it.  The representation in the dream is very good.  We the human family through rebellion and disobedience left our Heavenly Father, just like the boy in this dream left his father.  We then often find ourselves in dire situations, and want our Heavenly Father to forgive us and help us just like this boy did.  Jesus then, just like the kind man in this dream, paid the price and ticket to made possible for us to be forgiven and get back to our Father. \n\n Father forgive us and teach us that truth that sets us free (John 8:32).",Society & Culture
"Title: Who is the best cricket player in South Africa team?, Content: , Answer: Hershell Gibbs",Sports
"Title: can i hear some jokes(best gets 10 points)?, Content: im getting bored and i need to hear something funny to get me going. thanks, Answer: A husband is at home watching a football game when his wife\n interrupts, "" Honey, could you fix the light in the hallway? It's\n been flickering for weeks now."" He looks at her and says angrily,\n ""Fix the light? Now? Does it look like I have a G.E. logo printed on my\n forehead? I don't think so.""\n Well then, could you fix the fridge door? It won't close right."" To\nwhich he replied, ""Fix the fridge door? Does it look like I have\n Westinghouse written on my forehead? I don't think so"".\n ""Fine,"" she says, ""Then could you at least fix the steps to the front\n door? They're about to break."" ""I'm not a damn carpenter and I don't\n want to fix the steps,"" he says. ""Does it look like I have Ace\n Hardware written on my forehead? I don't think so. I've had\n enough of you. I'm going to the bar!!!""\n So he goes to the bar and drinks for a couple hours. He starts to\n feel guilty about how he treated his wife, and decides to go home and\n help out. As he walks into the house, he notices the steps are already\n fixed. As he enters the house, he sees the hall light is working. As\n he goes to get another beer, he notices the fridge door is fixed.\n ""Honey, how'd this all get fixed?""\n She said, ""Well, when you left, I sat outside and cried. Just then a\n nice young man asked me what was wrong, and I told him. He offered\n to do all the repairs, and all I had to do was either go to bed with\n him or bake him a cake.""\nHe said, ""So, what kind of cake did you bake him?""\n She replied, """"Hello............. Do you see Sara Lee baker written on my\nforehead?""",Entertainment & Music
"Title: Please Drop the best joke you heard / read..!!?, Content: , Answer: A man goes into a cocktail lounge and approaches a beautiful young woman, sitting by herself. He asks politely, ""May I buy you a glass of wine?""\n \n""No, thank you,"" she replies. ""Alcohol is bad for my legs.""\n\n""Sorry to hear that,"" the man says. ""Do they swell?""\n\n""No,"" she answers. ""They open.""",Entertainment & Music
"Title: why there is a new question each n every second?, Content: , Answer: too many curious (or ignorant) people out there",Business & Finance
"Title: From where can i download the music video of ""mallika i hate you"" by sandeep chowta??, Content: anyone please provide me the link or the source to get ""mallika i hate you"" video.., Answer: have u tried limewire\n\ni find it good   and it is free to download lol",Entertainment & Music
"Title: To a T  ♥?, Content: A young wife, who was becoming frustrated with her young husbands constant demands for sex, decides to make a schedule for him, to cut down on the amount of times that they will have to make love for the rest of their marriage. \n\nWhile getting ready for work, she writes on a piece of paper, ""Honey, you know I love you, but your never ending requests for sex are leaving me drained and really tired. So I propose that we only have sex on days that start with the letter 'T', to minimise the frequency of our lovemaking sessions. Don't be mad at me honey, just understand where I am coming from, and let me know if my request is too demanding of you."" \n\nOn her way out the door, she uses a refrigerator magnet and sticks the note to the fridge door, hoping that her sex craved husband will be understanding and accepting of her proposal when he reads it. \n\nUpon returning home, she glances at the refrigerator and notices that her note has been replaced with a note from her husband that reads, ""Baby, I didn't' realise that I was putting you under so much pressure and I'm sorry. \n\nI accept your proposal and have even taken the extra step of listing at the bottom of this letter, those days starting with the letter 'T' to make sure that we are on the same page. \n\n1. TUESDAY \n\n2. THURSDAY \n\n3. TODAY \n\n4. TOMORROW \n\nP.S. I love you too, and remember it's still TODAY, I am waiting for you upstairs."", Answer: That's a good one.  Sounds like my wife, poor girl.  LOL.",Entertainment & Music
"Title: Do you prefer big women?, Content: This is a question of interest.Do you prefer bigger women? why? Do you hate bigger women? why?, Answer: it  dose  not  mater  how  big  u  are",Business & Finance
"Title: What height and weight do you think is most attractive on a woman?, Content: , Answer: It don't matter. Personality and brains is what is attractive!",Health
"Title: which is the best website where i can get absolutely free music downloads without paying nothing?, Content: , Answer: I don't think you will find a website like that... but there are programs... Try Shareaza, its a P2P program where you can find tons of music for free... Limewire is also a good choice... If you have a fast internet connection, and a fast computer...",Entertainment & Music
"Title: how to wait 4 titties?, Content: , Answer: what?",Health
"Title: Is President Bush really benefitting the United States in any way?, Content: , Answer: well...... no",Politics & Government
"Title: how do i get sponsors on my site?, Content: , Answer: ",Business & Finance
"Title: Who is the number leader in the world?, Content: , Answer: Our creator it's just a lot of people think there in charge when there really not",Politics & Government
"Title: QuESTION FOR WOMEN???, Content: i have two questions and answer them seriously. Do women like to shave?? u know, Answer: yes and slowly",Health
