text,label
"My life is ruined : In my gcse exams I had food poisining and had diarrea in one of my exams, I didnt shit my pants but they made me wait an hour before I was allowed to go to the toilet, it was really stressful but after it never went away and its been like it for 8 months just a constant urge to go to the toilet. I can't even go outside anymore. I have no friends anymore because I cant go outside, Ive tried everything to get better loads of diets, therapy, counselling and I just cant deal with it, and it seems to just be getting worse and worse before i could still go out and it was just that i had the urge to go to the toilet constantly but my shit still was normal now i have diarrea non stop and am in pain a bit too and its showing no signs of getting better what do i do. Its been really affecting my mental health and im just stuck",severe
a never ending nightmare part 2 :  you know it is hard giving it your all when everyone around you wants you to fail even yourself and when you look at what is coming next you really dont find it all that fufiling or worth the time or the expense and when everyone fills your head with this idea that your a failiure you start slowly but surely get to a point where you get tired you cant do anything all hope is lost and you really stop caring hell even stop fealing empathy in some situations it is really a very cruel life to live but i keep going on not out of any desire to succeced and trust me there no benifit in perserving but just so i could watch everyone suffer and fall in to the firey bottomless pit of hell or in an unhealthy hope that maybe just maybe someone will realise the wrongs they do not just to me but to others as well get hit by the fact that there are consequences to there actions but i know it is not gonna happen even if time itself ends it is not going to happen and that why it is an unhealthy hope and it keeps me awake at night wondering why dont i just make them pay for there actions or just kill myself and see how big of a pretanious jerk everyone can be aw well i guess that that is all there is in this universe for me,not depression
"What it do, why is this. : So I’ve grown up with parents who were not a good pair. They fought a lot and screamed at each other my whole growing up. It came to the point my mom would leave tinge house and my dad wouldn’t let her. I would have to follow them outside and force my dad to stop holding the car door on my mom. Pulling him off with all my muscle. He stepped on my toe and broke it at some point. Now whenever someone gets really mad and yells at someone else, mostly crying yelling. I get very anxious and uncomfortable . Sometimes get nauseous. Why is that, is it kinda like ptsd to some of that or what. It doesn’t affect me that bad and no one has noticed so it doesn’t affect me too bad. Thanks ✌🏼",severe
Does anyone else feel like they’re in a constant state of depression due to current world issues? : [removed],not depression
"I've decided to be celibate and kill myself. : I don't want to live, I hate life, but I have dreams, pipe dream they might be, but fucking still.

I'm about to turn 18 and my plan is to give life my best shot and try to live to the fullest until I'm 25, then I'll be hanging myself, its long enough to spare me of my suffering but also enough to experience life, if it truly does have something to offer.

The reason for celibacy is fairly obvious, If I'll be dead by 25 so It would be cruel to fall in love and break a girl like that, I simply despise casual sex, so thats off the table as well.

&amp;#x200B;

The thought of careers and retirement and all sorts of fucking stress is just lifted off my shoulders by this, I'm a bit of a hopeless romantic so love would be nice, but not at the cost of someones mental health.",moderate
"Just so exhausted : No matter how much or the right amount of sleep I get I'm so exhausted, I thought maybe it was exhausting me keeping all my emotions bottled up and not crying when I felt like crying (cause I was at work and then at a NYE party) and when I found the time I let myself cry and feel everything and now I'm even more exhausted than I was before. I was happy a few weeks ago, everything was light and freeing and I got so much done and it didnt feel like a burden doing it and now I'm back here again, it's so dreadful I would rather die than go through this again",moderate
"Help. : I'm 24 and I'm useless, I have studies in programming and sadly had been fairly smart through my life, but it does not even matter. It's only make my family expect me to be great which I never had any idea how to be. Right now I feel I'm unbelievably stupid. I don't have dreams, I dont have aspirations, I dont want anything, I just want to not wake up and sleep forever one day. I've tried to kill myself several times, I'm a failure even in that. I can't find a job, please help. 

All I wish is to be away from here, I wish I could leave this house filled with monsters that have only killed every one of my dreams during my whole life. By the end of school I suffered so much to choose a career because I really didn't want to do anything, I don't long for anything. The last straw was pulled long ago, but I'm so god damn weak, I have nobody, everyone I ever had eventually leaves me and I can't blame them.

They make themselves look like the perfect family, like perfect parents, but I'm their venting machine. Why can't I just cease to exist if I'll be living like this. Why should I keep going, I've had fun working before until they start to rant how little I make until it makes me want to quit just to be told how dissapointed they are that I left another job just to do nothing but look for jobs.

I can't take another year of this. Their families are as toxic as they are. I've read every person saying ""It'll be fine"" Or ""Just give it time"" but I'm out of it. 

I'll be 25 this 4th, jobless again and constantly wanting to just not wake up the next day. I don't want presents or encouraging lies. I just want to sleep forever.

Sorry for this rant, sorry if some things didn't make sense, but I had to take it out of me or I would've crossed a line.",severe
"I feel like a ghost... : I feel like nobody would really miss me if a suddenly dropped dead. Everywhere I go I wonder if I’d really be missed if I died. I’m a senior in high school and it feels like most of the time I don’t even exist. When I go to school nobody ever greets me or wants to have a conversation with me. 

I’m ignored by everyone even people I’d call my friends. I can’t help but feeling worthless, that people I’ve known for years won’t even talk to me. It feels like nothing ever changes too, I go to school, come home and that’s it. I don’t even care about popularity or anything like that I just want a couple friends I could be really close with. The kind of people you hang out with all the time and are totally comfortable with.

I just needed to vent, I don’t know about the rules on the sub but I just needed to get that out.",severe
"Smart guy with a lot of dumb questions : I've really been struggling to post this, since I've always struggled to show any of my feelings towards everyone I know and even towards myself, but here we finally go.
I'm a 22 year-old medical student from Europe, 3.5 years into the studies, everything going well so far, passing all tests without even attending the lectures and starting to study few weeks prior to the test phase. Aside of that everything else has also always been going well for me, safe neighborhood, caring parents, good sportsman, nice friends.
But now it is that I just seem to have lost interest in everything I once loved over the past year or so. Maybe in life in general, since I don't see any sense in this life anymore. I know many people feel like this, but somehow they seem to find answers that keep them going. To me there is no answer to this question, that makes at least any sense. Some people want to be remembered, some want to achieve something for themselves, some don't want to think about these questions. I want absolutely nothing. Everything that I thought I wanted over the past few years only made me fun for a short time. Even when I have a good time going out with friends or so, that just vanishes, when I start to ask myself these questions and can't find an appropriate answer. 
So the best thing I've found to do since this started, is rapidly increase my weed consumption. I've been smoking for quite a few years, but it's gotten a little excessive the last year. I still mind to get my shit done, so I only start after I've finished what I had to do for the day. Then I roll a few fat ones and just try to make my  brain not think about those questions till I fall asleep. I've already thought about this causing all those problems in the first place, so I stopped smoking for 2.5 months last year and it didn't really affect my situation at all. I started again because I think it's just better to not think, than think of questions you can't find an answer to and that stop you from moving on.
That worked well for quite a time, but lately the quetions just keep getting more and more and I seem to find less and less answers. Why did I choose to study medicin in the first place? How could I think this would be fun for so long, even though it's just smashing facts in your brain, so that you can't possibly remember them?
But what hits me by far the most is this: Who the fuck am I even? I feel like what made me finish school without ever trying to ask these questions, is that my father would always have a talk with me when I got a C or worse. This didn't happen really often, but I remember feeling very bad after that for quite a time. I think that's why I still just keep going without even knowing why, I just couldn't stand disappointing him and my mother. So did I make this decision or was it the way society viewed me and I then thought I had to live up to? How can I go on without knowing this? How do I find the answers?
There's a lot more questions I struggle answering, but I don't wanna write too much, I doubt anyone's gonna make it until here anyway. If you read this and proved me wrong, thank you.",not depression
"2020 is gonna kick my ass : if I don’t end it all this year it will be a miracle. I’ve already spiraled for the past 6 months and I don’t know what the FUCK TO DO. my mom has terminal pancreatic cancer and she’s been diagnosed for 4 months. The average time from diagnosis to passing away is usually 3-6 months and 8-12 months with good treatment. If she dies this year idk how I won’t kill my self or give up on everything. I’m graduating high school this year and I’m worried I’m going to end up hanging from a noose or strung out on every drug I can get my hands on. I’m a 17, almost 18 year old girl I should be hanging out with friends and partying like I did when I was 16. Instead I cried in front of my parents 30 minutes after watching the ball drop in New York. I started this decade off crying and with zero sleep.",moderate
