text,label
"2020 is gonna kick my ass : if I don’t end it all this year it will be a miracle. I’ve already spiraled for the past 6 months and I don’t know what the FUCK TO DO. my mom has terminal pancreatic cancer and she’s been diagnosed for 4 months. The average time from diagnosis to passing away is usually 3-6 months and 8-12 months with good treatment. If she dies this year idk how I won’t kill my self or give up on everything. I’m graduating high school this year and I’m worried I’m going to end up hanging from a noose or strung out on every drug I can get my hands on. I’m a 17, almost 18 year old girl I should be hanging out with friends and partying like I did when I was 16. Instead I cried in front of my parents 30 minutes after watching the ball drop in New York. I started this decade off crying and with zero sleep.",moderate
How are we supposed to be happy when we are being fucked over by capitalism and the boomers? : This is what gets me most is that we are being screwed over by capitalism and boomers every day until we retire at 75 or die,moderate
Making the choice : Sometimes depression really is just a big game and it is all about mentality. It is so hard to make the decision to not give up and to not talk down to yourself. Sometimes i make the choice that I am going to start taking care of myself because I deserve to feel good an healthy but it is so hard to stay in that mindset and so easy to stay unmotivated and just want to fall deeper and deeper into depression. Sometimes I decide i’m not going to care about trying to be happy and I am going to push everyone away to protect myself and because my mind likes to tell me no one cares when people really do. I decide i am not going to talk to anyone and should just accept my suffering and bask in it. It is so easy to not want to do anything to feel better but there is other options and it begins with making the choice to care about myself,not depression
"Im a time bomb : Im the stereotype for you know what. And to be honest it's not far off. I have a deep hatred for people, they made me this way. Meds ruined my fucking life... Pills are not a fucking cure-all, They dont know how to handle someone with mental Illnesses so they dope them up until they feel the poor bastard is under control. Therapists and psychiatrists are full of shit just some quacks. Im just gonna say it...Abilify ruined my fucking life it's probably the cause for everything.",severe
Didn't want to make it to 2020 : ,moderate
"(23F) Separated from husband with 50/50 custody of 2 year old : I suffered pretty bad from PPD after having my son. It didn’t help that my husband was toxic and had his own problems. Now we’re on better terms but separated and he’s paying for me to live in my own 3 bedroom house, for the sake of it feeling like another home for my stepkids. Totally love that it’s awesome. But 95% of the time it’s me and half of the week it’s my son and I. I’ve been eating right and exercising daily for the past month and a half, feeling so good about myself. Yesterday I got my son back and was so happy. I meal prepped in the kitchen with fun music while simultaneously playing with my kiddo. A really amazing day. Well today I could hardly get out of bed when he woke up at 5. Obviously that’s wayyyyy too early for anyone so I just put it off as being tired. But then I noticed a pattern. When he’s here, he wakes up early, we have way too much screen time in the morning because for three hours I physically cannot get out of bed (for anything for myself but I’ll grab him his breakfast/snacks/diaper and we will just be in bed). Then I just feel like I can’t do anything. Dishes?? No fucking way!! I haven’t done laundry in forever, and my house after three months still isn’t fully furnished. I type that and think I’m just lazy. But holy hell, I took my son to the museum today and that was the biggest feat I think I’ve ever pulled. Just making that move to get out of bed, get myself dressed, get him dressed, leave the house... now I feel so heavy. My head actually feels pressure pushing me down. I don’t want to do anything. I had a three day streak where I didn’t brush my teeth or my hair, and that’s still while dieting and exercising. I think I am always depressed, but on some days I can do more things than others and distract myself. 
Anyway. Meeting my STB ex tonight with my stepkids for a show. Another thing that I have to force myself to do without thinking of vomiting.",severe
Im so sad and crying : Does anyone want to talk to me,not depression
"Help. : I'm 24 and I'm useless, I have studies in programming and sadly had been fairly smart through my life, but it does not even matter. It's only make my family expect me to be great which I never had any idea how to be. Right now I feel I'm unbelievably stupid. I don't have dreams, I dont have aspirations, I dont want anything, I just want to not wake up and sleep forever one day. I've tried to kill myself several times, I'm a failure even in that. I can't find a job, please help. 

All I wish is to be away from here, I wish I could leave this house filled with monsters that have only killed every one of my dreams during my whole life. By the end of school I suffered so much to choose a career because I really didn't want to do anything, I don't long for anything. The last straw was pulled long ago, but I'm so god damn weak, I have nobody, everyone I ever had eventually leaves me and I can't blame them.

They make themselves look like the perfect family, like perfect parents, but I'm their venting machine. Why can't I just cease to exist if I'll be living like this. Why should I keep going, I've had fun working before until they start to rant how little I make until it makes me want to quit just to be told how dissapointed they are that I left another job just to do nothing but look for jobs.

I can't take another year of this. Their families are as toxic as they are. I've read every person saying ""It'll be fine"" Or ""Just give it time"" but I'm out of it. 

I'll be 25 this 4th, jobless again and constantly wanting to just not wake up the next day. I don't want presents or encouraging lies. I just want to sleep forever.

Sorry for this rant, sorry if some things didn't make sense, but I had to take it out of me or I would've crossed a line.",severe
"I don’t think I’m gonna make it through 2020 : I already spent a lot of my time at work today thinking about how hopeless my life is and how much easier things would be if I just ended it. I barely scraped through 2019, the thought of another year is terrifying. I’m so tired.",moderate
"What is a painless and fast way to kill your self? : I'm just wondering, because I consider committing suicide in the near future.",severe
