label,text
Sports,"Title: is baseball still America's pastime?, Content: , Answer: baseball is americas pastime, but football is americas passion"
Health,"Title: recipes for main meal & desserts for two for borderline diabetics?, Content: , Answer: Grilled chicken caezer salad,"
Science & Mathematics,"Title: when a volcanoe erupts in Hawaii, how many weeks, moths, years, till it erupts again? lol i dunno about them.?, Content: umm...yea....i do not know anything about volcanos but i have this feeling that volcanoes erupt and then they wait for a long time....then they erupt again........BOOOOOSSSHHH\ni know....im weird., Answer: Science hasn't advanced to the point where it can predict with any real accuracy when any particular volcano will erupt."
Health,"Title: Why do you sometime only need to wipe twice and other times you can wipe forever and there is always more left, Content: , Answer: The consistency of your stool (poop) is based on what you've eaten.  Solid poop requires less wiping.  That's the *bottom"" line about wiping.  ; )"
Education & Reference,"Title: are all the caribbean  islands inhabited???, Content: it's about my homework for geography! thank you!!, Answer: The Carribean is an archipelago of many islands, some big and some small. Not all of which are inhabited. Off the top of my head I cannot remember the names of any which arn't inhabited, but basically they would just be too small to be inhabited.\n\nSome of the islands would just be sand and a few palm trees, nothing substantial enough to build or live off."
Entertainment & Music,"Title: What does your alarm clock sound like?, Content: , Answer: mmMMMMOOOM!!! mmmMMMMOOOM!!!! MOM! she is taking my covers! ahHHHHH! MOMOMMY !!!!!!"
Sports,"Title: when nba is going to announce the MVP?, Content: , Answer: The regualar season MVP is announce sometime during the Playoffs, I think the first round.  The Finals MVP is announced right after the champions win the throphy."
Society & Culture,"Title: Why do black girls always say I'm so crazy?  (""You so crazy"")?, Content: , Answer: Why the reference to race, girls of all different races have said that to me.\n\nEither way, why don't you ask them what they mean by it?"
Family & Relationships,"Title: Is a man with an master's level degree and 1 million dollars more or less attractive than one with good looks?, Content: What traits do women find attractive? Does the amount of money or the education a man has completed make any difference in a decision to pursue a relationship? What about power? What about personality? How much does physical attraction play in the decision?, Answer: DEFINTELY, women will always seek a man with money, power of fame, than a man who is good looking, they prefer it all, but may not get it all, after all they want a certain level of lifestyle. The hotter the women, the more she KNOWS she can get in terms of financial security, that is her cash trade value, if she is less attractive, she must either get a degree and earn more money, or marry whomever she can be with. Men marry what they can afford, if you are plumber, you are not going to be getting the Pam Anderson's of the world, but if you are rich or famous ( or both ) then any hot women will be wanting for you.\n\nWomen who say money does not matter are more than likely not a 9 ro 10, but a 4 to 5, they know their place on the ladder rung of life."
Business & Finance,"Title: we are paying mortgage on a empty house that is for sale is there a better solution?, Content: paying mortgage and renting an apt due to pending divoice is there a better way to handle this until the house is sold renting  is not an option, Answer: Time for getting past what caused the split and figure out how between the 2 of you to get the best value from the situation.\n\nFirst if you can, you need to lower your price.  \n\nNow use the kids ballpark divvy system.  Remember when you were a kid and had to share a candy bar with a friend.  One of you would break the candy bar in half and offer the choice to the other person as to which half they wanted.  Simple but fair and very effective.\n\nWhat I'm suggesting is that you agree between yourselves that one of you will make an offer to move into the house until it sells and makes some sort of payment as rent.  Now that might be the whole payment or a partial payment, either way it should be better off than each of you paying half of the payment on a vacant house.  So the agreement is made and the offer is made, now the other person (not making the offer) has the choice of either moving back in or letting the offeror move back in.\n\nIf moving back in isn't an option for one or both of you get creative and work out some other sort of arrangement.\n\nGood luck"
Computers & Internet,"Title: How to get that bar at the bottom of Internet Explorer that tells you loading progress and other information?, Content: It's just randomly not there anymore and i need it., Answer: click on tools and make sure there is check mark beside Status Bar. If it is not then just click on it."
Health,"Title: i got a bit of acne i need something simple and natural 2 cover it up.?, Content: i already got medication and i need something to make it less noticable and subtle., Answer: In my early twenties, I had acne that just would not go away.  I started washing my face, gently, with the noxzema, noxema, I don't how to spell it, in the jar, not the lotion-like kind.  After one week, my acne was completely gone and stayed gone as long as I used it.  It may not be the quick cover-up, but it sure did work for me and it got rid of my acne, not just covering it up."
Computers & Internet,"Title: Dear friends I want to convert real player files to winamp files(*.mp3) with free programe ?, Content: So which programe i ve to use & from where can i download this programe?, Answer: wwww.download.com search audio convertor or mp3 convertor."
Family & Relationships,"Title: what does it mean when a boy looks at u?, Content: well today when a guy looks at u a little confused like u look a little different and i was in the hallway and he looked behind him and saw me and he just looked at me. i also like this guy to :), Answer: It either means \n\na) you looked hot\nb) you looked weird\nc) he wasn't looking at you\nd) he's interested in you\ne) you're freaking out over nothing"
Entertainment & Music,"Title: How do I get rid of zits and acne?, Content: I really need someone to tell me how to get rid of zits and acne. I have no idea what to use. I need them to go away and stay away!!, Answer: Wash face, use toner, use all-over treatment, use spot-treatment; respectively. Twice a day. If it is moderate or worse (not mild) then go to a dermatologist who will give you pills. And don't touch your face ever"
Science & Mathematics,"Title: which bottle of water makes the highest sound full or half full?, Content: , Answer: half empty"
Business & Finance,"Title: how long will it take to travel from incheon airport to gyeong sangnam korea?, Content: please send map, Answer: You have just asked for directions from Incheon (a city) to gyeongsangnam-do (a state or province).\nCheck out www.tour2korea.com for transportation info that will give you times and maps etc.  but you will need the name of the city you are going to i.e. Busan.  Incidentally if you are going to Busan you can take the high speed train that will take about 2 hours and 40 minutes."
Business & Finance,"Title: What country offers an offshore domicle company formation with the lowest US with-holding taxes?, Content: Publishing several books, most revenue will come from USA, I live there but not allowed to work (visa). Therefor I need to set up an offshore company and I want the right domicle to reduce with holding taxes.What structure is best and what country? I am an Australian Citizen., Answer: The question is somewhat odd, since offshore centers are ussually tax free.\n\nI think the best location in the americas is panama.\n\ncheckout www.lowtax.net"
Society & Culture,"Title: I have a serious question for religious people about evolution?, Content: lets say that you believed evolution to be true.   is the reason why evolution so controversial because it will prove the bible is wrong? not even about god creating the earth but because of the age of the earth itself?  i dont wanna try to sound like im dissing religion but i wanna know why it is bad to be taught in the first place, Answer: Evolution is just a theory. Now scientists have come up with another theory of Intelignet being because they are unable to answer many questions with the help of Evolution alone.\nWho is this inteligent being ? This is surely God.\n\nThe earth as it is today has evolved over billions of years (as claimed by the theory of evolution) itself is just like saying that\nyou can build a 747 Boeing aircraft by placing all the componets in a building and all the parts get entangled due to a storm and viola a plane is born."
Computers & Internet,"Title: Could someone please tell me how to reboot a windows xp? Thank you!?, Content: , Answer: Start menu/turn off computer/restart"
Science & Mathematics,"Title: How can I conduct an experiment to show the possibility of stopping global warming?, Content: , Answer: First you have to define what causes global warming.  then you need to decide what of these variable are dependant or independant.  You could then chose one of the independend variables and try to design an experiment that shows how varying that variable causes a change in warming.  an example might be saying that CO2 causes global warming by increasing the insulating value of the atmosphere, you could then set up an experiment where an environment(a large sealed environment(5 gallon glass jug)  is set up to permit differnet concentrations of CO2.  Add a radiating heat source like a heat lamp and heat the closed environment,  measure the inside of the environment and then turn off the light.  graph how long it takes for the environment to return to ambiant tempeture.  increase the CO2 concentration and try it again.   It might be too difficult, but it shows the scientific process.  and you should get some good graph points."
Society & Culture,"Title: Does anyone have a jock fetish?, Content: Tell me about it if you do via a message., Answer: Are you talking about an athlete or an athletic supporter?"
