,text,original_label,normalized_entropy
0,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",Health,0.01025376901739642
1,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",Science & Mathematics,2.470505086481176e-08
2,"Title: (6a squared+1)+(8a squared + 3a + 2=?, Content: , Answer: 14a^2+3a+3",Science & Mathematics,0.04885797118482648
3,"Title: Robert F. Kennedy?, Content: I need him with his candidate platform, I need to know what he thinks about Abortion, Civil Right, Crime, Defense, Economy, Education, Energy, Environment, Health Care, Homeland Security, Immigration, Social security...\n\nThose are the issue that describe RFK's position on his plank, if you know what is the website to all those above, please, answer me ASAP :):) Thank you so much :):), Answer: Do you know he died in the 1960's? He was shot while giving a speech. He was very radical on the left, but so was i back then. I was watching the assassination live on TV that night, I cried hard, but not as hard as when his brother was shot.",Politics & Government,5.327821265538857e-07
4,"Title: I'm trying not to call my ex...!?, Content: i'm trying not to call my ex but it isn't working and when he doesn't pick up it makes me sad also today i txt'd him and i felt bad about it afterward because i didn't want to call him i wanted to wait to se if he calls me instead and he doesn't and i hate it and it amkes me dad and i know all my questions have to do with the same thing and person but i really love this person and one day he said that he loved me too and it's making me sad that i am still hung up on him and it sux.....what should i do??, Answer: it takestime to heal from a broken heart. it took me awhile to heal from a 4yr relationship. i was cheated on for 3 of the years. maybe if you give him space he will eventually call you back. when he does explain to him that it was a mistake to break up and want him back. if it was meant to be, it will happen. give him time. good luck and hang in there.",Family & Relationships,5.333240578926797e-09
5,"Title: Military time references?, Content: In the military they refer to times as eighteen hundred hours or twenty-one hundred hours.  When its 8pm what do they say?  Two thousand hours?  Twenty hundred hours?, Answer: Actually a good many countries around the world use the 24 hour clock system. Then there isn't a need to say AM or PM, you know whether its day or night. Also the military begins attacks, movements and such on Greenwich mean time, its a town in Britain. And its used so everyone that aware of an operation knows what time it begins regardless of what part of the world they are in.",Politics & Government,0.5088899372954762
6,"Title: Are the liberal's brain's outsourced to China?, Content: , Answer: Liberals-----Brains??   now there is an oxymoron",Politics & Government,0.0014793036338251343
7,"Title: Does the Push/Pull method,where you work your push muscles one day, then your pulls the next,get good results?, Content: I would like to know if using the push/pull method gets you good results for both toning and muscle building, what benifits there are to using this method, and if its not a good method, why it isn't, and an alternative?, Answer: The push/pull method is a good method of lifting weights, but it's not particularly better than any other method.  It is only one component of the entire equation.  Equally important is your form, the number of reps and sets you do, how long your workout is, how much rest you take in between sets, the speed of both the concentric component and the eccentric component, and others as well.  The push/pull method just happens to be one of the more popular ways of lifting.\n\n\nOne advantage of this method is that you are exercising muscles that wrok together in one session.  For example, usually the pecs and the triceps are worked in the same sessions.  The triceps work as a synergist during most pec movements (meaning they help the pecs to complete the movement).  So that if you do your chest workout first, then you do have to work your triceps as hard because they have been pre-exhaust by the chest workout.\n\nOn the other hand, by seperating synergistic muscle groups, for example doing triceps and chest on seperate days, then the triceps will get worked twice as many times during the week -- once during the workout specifically aimed at the triceps, and once as a synergist during the chest workout.\n\nFor more information on all off this, see the link below.  It's probably the best written book on weightlifting and exercise on the market today.",Health,0.07401633923111514
8,"Title: Will it be too late for unbelievers when Jesus appears on the clouds?, Content: Or will they have the oportunity to be saved, Answer: ""shall be caught up together with them in the clouds to meet the Lord in the air"" 1Thessalonians 4:17 - Behold He cometh with clouds.... Revelation 1:7 - Also see - Revelation 14:14-16 - A lot more in the old testament.\n\nI wish I could see that in my next grilled cheese sandwich.\n\nGood post dude - And yes they will have an opportunity to be saved. But if you are wondering for yourself, don't wait to be saved, Jesus is knocking at the door to your heart and waiting to come in and there is nothing better then having a relationship with your creator.",Society & Culture,0.11274970019045165
9,"Title: I no longer have an IP address?, Content: Yeah, for some reason I had an error message during the restart of my computer, didnt pay much attention to it.  Now, I can't get online, and the problem is something like FTP (Passive):  Error 12007 to ftp.microsoft.com: The server name or address could not be resolved\n and then theres stuff about WinSock about not performing simple loopback error 10050, Answer: try to re-configure your internet connection!!\nor contact your internet servidor!!!!\nthat can help you!!!\nallrigth see you later",Computers & Internet,1.8200789099011462e-09
