,text,label
0,article robert weiss writes gordon banks quoted added gb article gb robert weiss writes gb gb mormon jesus spirit brother lucifer jesus god gb fathers first born spirit child jesus begotten earth gb natural means holy ghost sweat blood gb sins garden gethsemane blood cannot gb cleanse sin among many millions gb gods jesus jehovah father elohim ot gb jehovah elohim needed saved gb true mormons believe spirits including jesus lucifer robert weiss family mean jesus created rather lucifer robert weiss agree heresy sweating blood gethsemene basic mormon doctrine jesus perform atonement getheseme alone antimormons trying teach far unpardonable sin whatever biblical specifically mormon also called sin holy ghost bible scholars conservative ones believe jehovah elohim always im sure youve heard j e texts dont know mean needed saved jesus jehovah elohim mormon doctrine jesus sinless thus need saved gordon banks n jxp skepticism chastity intellect shameful surrender soon,talk.religion.misc
1,disclaimer fun computerized baseball game keep track category called stolen hits defined play made average fielder would make average effort using defensive averages posted sherri nichols thanks sherri ive figured defensive stats second basemen hits stolen redefined plays kurt stillwell would made ok realize thats unfair kurts probably victim pitching staff fluke shots monster park factor lets put way replaced every second baseman nl someone kurts making ability many extra hits would go try correlate reality little ive calculated net hits stolen based number outs made compared league average fielder would make method ive calculated net double plays net extra bases doubles triples let finally throw formula call defensive contribution dcon basically represents defensive contribution player add number ops get dops defense onbase plus slug represent players total contribution team dont take seriously formula dcon appears end article short version definition terms hs hits stolen extra outs compared kurt stillwell nhs net hits stolen extra outs compared average fielder ndp net double plays extra double plays turned compared avg fielder neb net extra bases extra bases prevented compared avg fielder dcon defensive contribution bases hits prevented rate dops dcon ops quick dirty measure players total contribution national league name hs nhs ndp neb dcon dops alicea l sandberg r thompson r lind j doran b deshields harris l lemke morandini randolph w biggio c stillwell k ordered dops sandberg alicea thompson deshields doran nl average biggio harris randolph morandini lemke lind stillwell american league name hs nhs ndp neb dcon dops fletcher reed j ripken b baerga c blankenship l miller k alomar r knoblauch c bordick kelly p whitaker l reynolds h sax sojo l order dops baerga alomar fletcher whitaker blankenship miller knoblauch reed bordick al average kelly ripken reynolds sojo sax discussion dcon formula nhs ndppa nhs ndp nebab bizzare formula basically designed added ops idea run prevented important run scored extra outs factored obp extra bases removed factored slg thats used pa ab divisors discussion see post hits stolen first base dale j stephenson baseball fanatic considered good look wise especially overburdened information j golden kimball,rec.sport.baseball
2,driftwood writes totally agree point made jose viscaino looked like single hitter swings count maddux pitching teams run havent touched ball day oh easy trivia question answer cub named sandberg grace also think much made leftyrighty thing watching cubs games get feeling steve stone knows lot cubs lefebre harry said best stated another terrible vizcaino bat cant wait til sandberg returns david nieporent one thing wrong theory nieporntphoenix stupid stupidest theory ever heard princetonedu baltimore orioles whos dangerous cult bds batf,rec.sport.baseball
3,plan toronto area sometime summer late june early july would like attend blue jay game would appreciate anyone could give information obtain tickets blue jay games would prefer get good seats assume would require going ticket broker paying ticket broker info toronto area andor ticket info directly blue jays would appreciated ill bring oxygen need schedule flexible games candidates though id prefer see texas thanks advance tony,rec.sport.baseball
4,rick anderson replied letter ra article ra robert weiss says ra ra well jason heretical ways first point ra equates lucifer jesus type ra however lucifer created thou wast perfect thy ra ways day thou wast created till iniquity found ra thee ezekiel jesus uncreated creator ra things beginning word word ra god word god beginning god ra things made without thing made ra made john things ra things consist colossians ra ra inference ezekiel john passages lucifer ra created jesus depends particular interpetation ra word create one many christians may agree ra granted mormon belief gods children including christ ra lucifer eternally existent intelligences organized ra spirit children god term creation apply equally well ra passages briefly something mentioned passing refer differing interpretations create say many christians may agree really irrelevant base faith many people think one way another bottom line truth regardless popularity opinions also find rather strange trying persuade created eternally existent equivalent say granted mormon belief cant grant conclusion expect point addressed order reply issue address answer point raised jump conclusion grant bible states lucifer created bible states jesus creator contradiction lds belief jesus lucifer ra point brothers jesus lucifer also ra heretical since innately brothers sisters christ ra adopted ye received spirit bondage ra fear ye received spirit adoption whereby ra cry abba father romans natural children ra god faith even enter family ra god ye children god faith christ jesus ra galatians manifestation ra faith receiving jesus become sons god ra many received gave power become sons ra god even believe name born ra blood flesh man ra god john ra ra occured robert born someone ra person persons family may symbolic term new ra testament mormons believe adopted house ra israel baptism faith christ although expressed ra belief evince physical change bodies mormon belief children god literally nothing symbolic however contradicts bible says bible teaches everyone child god field world good seed children kingdom tares children wicked one matthew speak seen father ye ye seen father john ye deeds father said born fornication one father even god jesus said unto god father ye would love proceeded forth came god neither came sent ye understand speech even ye cannot hear word ye father devil lusts father ye murderer beginning abode truth truth speaketh lie speaketh liar father john said full subtilty mischief thou child devil thou enemy righteousness wilt thou cease pervert right ways lord acts wherein time past ye walked according course world according prince power air spirit worketh children disobedience ephesians children god manifest children devil whosoever doeth righteousness god neither loveth brother john one becomes child god many received gave power become sons god even believe name john behold manner love father hath bestowed upon us called sons god therefore world knoweth us knew beloved sons god doth yet appear shall know shall appear shall like shall see john born faith jesus christ born blood flesh man god john predestinated us unto adoption children jesus christ according good pleasure ephesians begat us word truth kind firstfruits creatures james many led spirit god sons god ye received spirit bondage fear ye received spirit adoption whereby cry abba father spirit beareth witness spirit children god romans beloved let us love one another love god every one loveth born god knoweth god john whosoever believeth jesus christ born god every one loveth begat loveth also begotten john ye children god faith christ jesus galatians ra told life eternal might know ra thee true god jesus christ thou hast sent ra john life eternal know true god yet ra doctrines lds mentioned portray vastly ra different jesus jesus cannot reconciled jesus ra bible far removed proclaim ra one true denies true according ra bible eternal life dependent knowing true god ra construct imagination ra ra ra robert due respect died left chief arbiter ra correct biblical interpretation dont mean snotty ra fact bible differently interpreted different ra groups biblical scholars think jehovahs ra witnesses example make reference jesus ra bible simply ridiculous whose jesus bible mean really red herring doesnt address issue raised rather seeks obfuscate fact groups try read something bible doesnt change bible teaches example fact jehovahs witnesses deny deity christ alter bible teaches looking blessed hope glorious appearing great god saviour jesus christ titus simon peter servant apostle jesus christ obtained like precious faith us righteousness god saviour jesus christ peter deity christ first look bible see teaches discount even address bible teaches groups differing views selfdefeating see bible teaches look bible ra lords mortality essential salvation ra promised messiah p work salvation ra father things ibid p ra baptized gain admission celestial kingdom mormon ra doctrine p ra ra welcome wonderful world mormon paradoctrine robert ra books late bruce r mcconkie former general authority ra lds church books published church ra constitute offical doctrine consist opinions ra mean says true ill ra think idea christs personal salvation come ra conclusions conclusions come may seem heretical ra im prepared accept find rather curious mentioned mormon belief jesus needed saved put forward quotes late apostle bruce mcconkie curious part one addressed issue jesus needing saved rick comes closest conclusions addressing point replies instead hopscotched issue bruce mcconkie whether views official doctrine dont think matters mcconkies views canon issue mcconkies writings indicative mormon belief subject real issue indication rick may certainly robert weiss,talk.religion.misc
5,following cds sale plus postage cds perfect condition michael bolton time love tenderness paula abdul forever girl taylor dayne tell heart lionel richie composer elvis presley number one hits bobby vinton greatest hits super hits includes yellow river rose garden good times help make night mr bojangles sweet mary one toke line put hand hand stay awhile woodstock silver bird aint got time anymore new fashioned love songs import includes extended remixes dance mixes following know waiting aretha franklin george michael walk like egyptian live mental anything love alison moyet ill alright without journey rain oran jones dreams reo speedwagon shake gregory abbott fight spandau ballet two fires paul young falling love miami sound machine heartache away johnson,misc.forsale
6,encryption article shaen bernhardt writes shocking says less government interested monitoring public scare mortifies surprise im shocked amanda walker intercon systems corporation,sci.crypt
7,saw article new line macs configured work optimally file servers anyone know details,comp.sys.mac.hardware
8,hi many thanks people responded request ms windows screen grabber proves net wonderful thing summary two choices various screen grabber packages corel draw one couple simtel cica use builtin printscreen altprintscreen functionality paste screen window clipboard paste clipboard application cool thanks info grant mswindows newbie unix x bag grant totten programmeranalyst trent university peterborough ontario phone fax womans place wrong james thurber,comp.graphics
9,bill higgins beam jockey writes article writes commercial space newsspace technology investor number commercial launch site ventures including woomera poker flat cape york white sands alabama offshore platform hawaii vandenberg also judged criteria opinion ventures flying hope speculation sound financial grounds reminds fuzzy brain recalls somebody thinking reviving san marco launch platform coast kenya copernicus satellite launched around true imagining possibly connected one italian programs revive scout new version old platform must getting pretty rusty aint lot infrastructure go information shows last san marco launch seem total seven seem recall someone either asi university rome includes money annual budget maintainance platforms actually two italians spending money develop advanced scout however recent events italian space program italian government overall make skeptical get ground near future josh hopkins find way make one attributed hannibal,sci.space
