,text,label
0,"Title: Can the Cleveland Browns win Super Bowl XLI in Miami next year?, Content: I can see the Cleveland Browns being crowned AFC Conference Champions but not Super Bowl XLI Champions., Answer: go browns! im a huge browns fan and even though i think there going to be a lot better this year, there not going to do anything special. I think they could make a run for the playoffs, but i would even doubt that would happen. Doesnt matter to me I'll always root for the browns cause i stick with my teams through the bad. I am however predicitng we are in the super bowl in the next five years the way romeo has the running, butch davis screwed our organization... Will the Browns make the super bowl? No not a chance but i love them anyway",Sports
1,"Title: How do you make a composite volcano erupt?, Content: simple ways for an erupton, Answer: Composite volcanoes typically form along subduction zones (ocean - continent plate boundaries).  They tend to have higher viscosity magma (andesite and dacite) which allows for more gas pressure to develop.  This produces more explosive eruptions.\n\nSome examples of subduction zones are the western coast of the USA and South America.  The Cascades and the Andes were and are currently being formed by subduction related processes.",Science & Mathematics
2,"Title: How do you deal with a 15 year old headstrong DAUGHTER?, Content: Someone (anonymous) emailed me and my wife that our 15 year old DAUGHTER is engaging with SEX with her 16 year old boyfriend.  She also smokes and frequents motels whenever they have the chance. My wife doesn't like to do the talking, and passes the responsibility to me on how to deal with our daughter.  I need advice on what to do. Is someone here who have experienced these kind of problem? Please help., Answer: Man.  Good luck to you both.  I was a willful teenager too, and so was my sister - my poor parents!  They handled it well, though.  They always made sure I knew they loved me.  They invited the guys I knew around and got to know them and their families.  \n\nThe going to motels thing is scary - is that legal?  Could the motels get in trouble for allowing it?  If so, you could distribute a picture.  \n\nMake sure she knows the consequenses of sex, all the things that could happen to her if she continues - stds, pregnancy, etc.  Tell her how you feel about her having sex.  Be honest, but loving.  This is going to be difficult, but don't be affraid!  You can do it!\n\nThe smoking will be the hardest part - the only thing I can think of is to offer her treatment if she wants it.  \n\nIf she knows you love her and will always be there for her, she will feel safe with you and come back when her headstrong teenage years are over.",Family & Relationships
3,"Title: Favorite movie of Tom cruise?, Content: top gun?, Answer: ",Entertainment & Music
4,"Title: Lithium Testing?, Content: Design experimantal procedures to find the purity of lithium in a lithium battery of cellphone., Answer: Crack the battery open, digest the metals with acid mixtrure of HCL, HNO3, and HF.  Heat till disolved and if needed ad Boric acid to neutrilze the HF, Then determine the concentration on a ICP",Science & Mathematics
5,"Title: what is procedure for getting external admition in pune univecity?, Content: related to pune univecity., Answer: Advertisement has appeared today in Times of Indiai Mumbai edition. Check up on www.mkcl.com",Education & Reference
6,"Title: What would be a good computing language to learn for a beginner not in the industry?, Content: , Answer: Delphi 7 simple commands and eazy to use i like it",Computers & Internet
7,"Title: What type of reproduction is mitosis?, Content: , Answer: Mitosis produces two cells which are genetically identical to the original one. There is no exchange of genes between two organisms, and so mitosis is a type of asexual reproduction.",Science & Mathematics
8,"Title: Avast scanning problem??, Content: when running avast an error mssg comes up (SMTP protocol error 10050 cannot scan incoming mail) can anyone tell me what this means and how do i fix it.!!!, Answer: I have used Avast for the past nine years.  An I have never recieved this (SMTP protocol error 1050).  Means unable to scan your incoming mail).   \n\nMy platform is Windows XP Prof., but I have used every platform that Windows makes without any problems with Avast.  \n\nMy suggestion to you is that you go to add/remove and remove Avast and just install the registratation key they gave you back in.  \n\nPossible that the program did not install correct.  Or you have a problem with your mail services that you don't say if it is Yahoo mail or Hotmail.  \n\nClinical Psychiatrist, France",Computers & Internet
9,"Title: Who sings the song Crazy for this girl? I think thats the name.?, Content: i dont know all the words to the song but some of it goes like this: \n"" you look at her she looks at me shes got me thinkin about her constantly but she dont know how i feel"". sorry thats all i know, Answer: evan and jaron and crazy for this girl is the title :)",Entertainment & Music
