,text,label
0,"Wait, WHAT?!?!",surprise
1,"No, and I think someone would have to do some serious mental gymnastics to convince themselves it is. It'd be taking advantage of an incapacitated person.",neutral
2,"True, and so sad to see. Somewhere along the way, the governing of a country my mutual consensus turned into a national sport with 2 teams.",sadness
3,[NAME] and his supporters are the dumbest humans in the fucking galaxy. They should be locked up for their own safety.,anger
4,Very true. Having a 3rd pair of [NAME] and [NAME] has been solid,approval
5,This is one of my favorite threads ever.,admiration
6,i hate that it's over an interstate bridge so people traveling from the west from other states have to look at it edit* because it's fucking corny,anger
7,i also love this one,love
8,Fair enough. I would suggest practice but it seems you've got that under wraps. Gd luck out there.,admiration
9,"""Yeah look"" like a toddler being surprised by his own genitals",surprise
10,Nah I didn’t get scammed but my money is sitting in the Dream Market escrow doohickey. Whatever that means! Haha!,disapproval
11,Also not true. Germany had pervasive antisemetism long before [NAME]. Ignoring that error your argument is horrible and you should be ashamed.,embarrassment
12,What does ‘open border’ mean to you? Honest question because I may be confused by what it means,confusion
13,Weird flex but ok,neutral
14,From the South and can confirm that [NAME] is an idiot and should be saying brink.,annoyance
15,I hate fags,anger
16,Wow so you really are pro-abuse huh,surprise
17,"Yes, he needs to sit the fuck down, that's all I have to say.",annoyance
18,Kotaku never ceases to amaze me with the horrible decisions they make in posting stories that can ruin people's lives with no confirmation or validity.,fear
19,i thought you were and [NAME] too?,confusion
20,I like you,love
21,"Can't say that I do, no.",disapproval
22,No. Foreigners are not allowed to preach [RELIGION] to [NAME]. Maybe not explicitly . Also They restrict donations from abroad Not just people.,disapproval
23,"It is his welcome, he can do with it as he wishes. Your misunderstanding is forgiven.",caring
24,I am so very sorry that you are dealing with all of this,sadness
25,Do you mean artists?,curiosity
26,"Yes but iy also makes complete sense that morty woild want it gone too, so i hate how he instantly assumes it was rick",anger
27,It's hard to start over. I wish you happiness.,desire
28,Aww that was endearing [NAME].,love
29,"It wasn't fair on the rest of the list, nothing is good as Tim Hortons.",disapproval
30,Educate yourself! Stay in your lane! (It all sounds so totalitarian if you look at it more closely.),caring
31,Yeah let's wrap up AS4 I'm suddenly so much more excited for S11,excitement
32,"[RELIGION] is what produces these people, there are plenty of them and a beheading has even occured in the streets of LONDON.",sadness
33,Yeah tis marketing tweet from the melbourne AFLW team about their captain seems like marketing being pushed down my throat. You woke af.,annoyance
34,"Sorry, the two different names made me thing those were two different places. ^ ^;",remorse
35,"He is a douche, but I love that douche!",love
36,At least you can admit you value one innocent person's life over another. What a shock it's the rich politician over the security guard.,surprise
37,Racism. They're talking about racism. The hate is the new KKK sheet.,disgust
38,Oh damn it! I was just on my way to the post box,remorse
39,"I’ve been on team [NAME] since he won the axe toss competition after the draft, lol",amusement
40,I like how she dabs on the way down.,love
41,Can we get actual delivery dogs? I feel like that would be so much better... =D,curiosity
42," Turkey's situation is bad, but still nothing compared to Venezuela. ",disappointment
43,Nokias can even connect to a fax machine? TIL,curiosity
44,"In such a situation, I would save the mother. Always.",caring
45,‘You’re not so smart’ Wow what a murder /s Trash post,annoyance
46,What did we do to deserve [NAME]? Loved that guy since his buff days,love
47,> and no one but angry community fanboys have pushed back against his statements.,anger
48,I feel a tad lost without it now that my drive for football has vanished and basketball and hockey simmer one. The show's every night after all.,sadness
49,Day 7 is tough... Not as tough as day 15 but tough,disappointment
50,If they take on Crabbe it could be alright. We should try to get [NAME] and [NAME] from Chicago while dumping Crabbe.,neutral
51,"I did physics and maths, now in astrophysics. It's fun (except for stars, those suck).",approval
52,These are completely unrelated. Please review,disapproval
53,Really funny how our FO liked the 2 of the worst qbs. [NAME] and [NAME] That’s why I’m skeptical about our FO now,amusement
54,"That's how I apologize to carists, too",remorse
55,I’ve got bad news for you about NFL locker rooms if you’re offended by homophobic slurs....,disappointment
56,It was funny until they started to diss on chick fil a,joy
57,"That was a hell of a tip, that happens",anger
58,"Nah, black bears are big scaredy cats Now brown ones on the other hand...",fear
59,Yet here you are mad about [NAME] being apathetic.,anger
60,Oh I went to make soup and must’ve missed that,realization
61,"weirdly enough drug addicts are still human beings, shocking I know ",surprise
62,"That sounds like it was an absolute nightmare, I'm sorry you had to go through that, anesthetic failing is a horrifying experience. ",fear
63,"omg you got me, what do i do now, pls help",excitement
64,i mean yeah but people need to understand when someone needs something other than just sexual comments and maybe some actual support,approval
65,I'm really concerned for those 3200'ish people who voted yes,caring
66,"Nah man presses, but good ones... the pharma kalmas are long gone bro, here in Australia anyway",admiration
67,Ok well I hate to break it to you but I'm a magical pink unicorn...posting something on the internet does not make it true,disapproval
68,The weapon wasn’t made until 1918-1919 so hopefully this will never be real,optimism
69,"""We should be happy that we moved from 4th to 5th""",joy
70,Two or three anti depressants before I told them a lie about how I tried my moms valium and it worked,disappointment
71,"I want to undo it, like it tasted good, but just **AGGGGGGGGGGHHHHHHHHHHHHHHHHHHHHHHh**",admiration
72,"Lucky the patient passed out, they wont feel any of it or hear anything you're saying!",approval
73,Nervous for [NAME]. He’s my all time fave. I wish he would stay retired and stay a legend,desire
74,"And it should be drenched in blood. It’s supposed to be scary, that’s how you know [NAME] loves you!",realization
75,We're like bad luck lightning rods. Everybody around us is safe,disappointment
76,"Well, I was going to surprise you [NAME], but what the heck...I’m gaining a bunch of weight to go on disability!",disappointment
77,I can’t imagine being this retired,disappointment
78,"I sure as sugarplums aint seen any ""gives"" around ",approval
79,I’m afraid I just blue myself,fear
