,text,label
0,"Title: what is the other type of volcano other than shield and cinder?, Content: , Answer: types of volcanoes:\n1. shield\n2. composite/strato\n3. caldera\n4. MORB\n \ntypes of eruptions\n1. Strombolian\n2. Vulcanian \n3. Vesuvian\n4. Pelean\n5. Hawaiian\n6. Hawaian\n7. Icelandic\n8. plinian",Science & Mathematics
1,"Title: do any one know the internet site from which we can send SMS to all over the country?, Content: , Answer: www.magiksms.com",Computers & Internet
2,"Title: Favorite movie of Tom cruise?, Content: top gun?, Answer: ",Entertainment & Music
3,"Title: I have a Mx440 nvidia card, I thought it was 128mb, it has 4 32mb ram modules on the back is this right?, Content: I was told it only  came in 64mb but I thought I bought a 128 when i purchased this computer. I went to the website and saw nothing. I dont want to sell this as a 128 when its not. please help, Answer: 32+32+32+32 = 128mb",Computers & Internet
4,"Title: Army Strong?, Content: Where can I download the new army strong video?, Answer: For any kind of Videos there's YouTube:  http://www.youtube.com/\nTo download videos from YouTube and any other site :\nGet Firefox from http://www.mozilla.com/en-US/firefox/\nAnd then install the Download Helper extension from https://addons.mozilla.org/firefox/3006/\nIt works great for me.\n\nSince the videos are in the .flv format you need to get a flv player. You can get a very good one (and completely free ) here http://www.download.com/FLV-Player/3000-2139_4-10505954.html?tag=tab_pub\n\nAlso you can use this site http://javimoya.com/blog/youtube_en.php and copy/paste the url's   from the page with the video there but personally I'd recommend using Firefox\n\nFirefox is the best !!!\n\nAnd for movies and anything else use http://www.torrentportal.com/ and http://www.bittorrent.com/   and  http://www.torrentspy.com/\nTo download from this site you need a torrent program like these :\nBitComet   http://www.bitcomet.com/      or  \nAzureus     http://azureus.sourceforge.net/",Computers & Internet
5,"Title: is it o kay to be in love with an over protective guy?, Content: love, Answer: Of course.  But you must know that he may drive you insane because he'll think you like other guys even if you just glance at them.  But if you love him, then love him and don't let him go.  You might even be able to help him become less over protective.",Family & Relationships
6,"Title: when a volcanoe erupts in Hawaii, how many weeks, moths, years, till it erupts again? lol i dunno about them.?, Content: umm...yea....i do not know anything about volcanos but i have this feeling that volcanoes erupt and then they wait for a long time....then they erupt again........BOOOOOSSSHHH\ni know....im weird., Answer: Science hasn't advanced to the point where it can predict with any real accuracy when any particular volcano will erupt.",Science & Mathematics
7,"Title: friends issue?, Content: two of my supposed friends act very childish when males come around. i could be conversing with them and they come to either:  shake their ass in front of the dudes, or try to embarrass me and then they get mad or try to make me stay when i decide to leave. whats wrong with these bitches. oh yea theyre also grown women in their early 20's, Answer: Even though you think they are grown women because they are in their early 20's isn't entirely true. They might carry that age but not the maturity. I would keep distance from them if you don't like their actions. Also if you want to be mature about it, ask them instead of defiling them on yahoo answers.",Family & Relationships
8,"Title: boy advice?, Content: heres the deal i really like this boy so a friend told him i think hes cute. Then shes like do you like her and would you ever go out with her hes like ya. Then i decided for my friend to ask him out for me i was going to do it personal but then got to shy to do it . Hes like i dont know and guess it turns out his best friend likes me to but he hasnt told me a answer yet. Because it was the end of the day but i have to wait till monday so should i have asked him out my self or what. What will he say, Answer: Well I'm a girl but i think you should of asked the boy out yourself but i know that's pretty hard to do. \nBut just think about this if this boy does say yes what's next? I mean you dint even talk to him so try talking to him on Monday and then even though he knows you like him try asking him out yourself because it will make him happier to know that he wont have to go through your friend to get to you.",Family & Relationships
9,"Title: which of the following aqueous solutions of Na2SO4 is isotonic?, Content: with 0.15 M NaCl solution?  0.05M,0.10M, or 0.15M,,or none of them, Answer: For electrolytes \nπ = iCRT\n\nwhere i is the Van't Hoff coefficient and (for simplicity) it is equal to the number of ions that a strong electrolyte dissociates into according to its molecular formula.\n\nFor NaCl i=2, so\nπ =2*0.15RT= 0.3RT\n\nFor Na2SO4 i=3, so\nπ =3*0.05RT= 0.15RT\nπ =3*0.10RT= 0.3RT\nπ =3*0.15RT= 0.45RT\n\nSo 0.10 M Na2SO4 is isotonic to 0.15 M NaCl",Science & Mathematics
10,"Title: I need the name of a music artist.?, Content: Lyrics to his song include...\n""Don't push me.\nI am close to the edge.\nTrying not to lose my head.""\n\nCan someone tell me the name of the\nperson that sings that please?, Answer: Grandmaster Flash!",Entertainment & Music
11,"Title: I dont kno if im in love or not?? plzz help?, Content: i meet this guy he is so nice and stuff i meet him online i like him a lot but he is 6yrs older then me. i dont know if i should date him or not? He does not live where i live but he said that he will find a way to make it work. i like him a lot he is like my best friend i have been talking to him  since last July. i can tell him everything, and he helps me a lot. i just dont know if i should date him since he is 6yrs older them me.What should i do ????, Answer: If you have to ask, then you arn't.",Family & Relationships
12,"Title: Ive always been more attracted to older men.  anyone else feel the same or is it just me?, Content: I'm not talkin coffin dodgers here.  it's a mid thirties to mid forties thing (but they've got to be in good nick, no beer bellies or bald patches), Answer: Yes i've always been exactly the same.  I've really no interest in guys my own age, and i've always been like this even since when i was at school.  Don't really know why though but it's not a problem at all.  Plus as the saying goes, there's many a good tune can be played on an old fiddle.....  I'm 29 and seeing a guy of 51 who is the sexiest guy i've ever met in my life and is well fit (and looks about 35).  Good Luck!",Family & Relationships
