text,label
People still expecting that are delusional regardless tbh. Messed up they'll never say what happened to Half Life but time to start using some context clues herr,realization
I buy and sell iPhones and January has been slow for me too. Good luck to all of us.,optimism
Has it really been 10 years since brown saved the world. Now I feel old.,neutral
"I was honestly shocked when they denied an overpayment, especially since after the charges cleared it would have been a $0 balance.",surprise
I need like a drawn out visual or something,desire
No longer in LA but I really hope he can get reelected!,optimism
I love how the girl on her phone in the background sees what happened but just doesn’t care...must happen all the time.,love
"I just don’t like traversing through the snow, and how the salt stains some of my boots, and the mess it leaves at home.",disapproval
I think the book portrayal is more ambiguous than you say. I like that the show leans into one interpretation of her character instead of keeping it vague.,admiration
Same. Not being hateful to the op but I don't see the connection.,anger
"Me too! And he was so happy to get that out of her back, he seems like he really cares.",joy
I'm not trolling. This push for pro vaccines just seems strange.,curiosity
"Yes, I did, not once...here is my full story: Story of my dead bedroom",approval
I think the [NAME] biscuit joke takes the cake,amusement
"Aren’t property owners responsible for clearing sidewalks in front? The bike lanes are part of the roadway, and thus under the city’s jurisdiction.",curiosity
"just go google search, but some r real some r unreal lol",confusion
I think it was roughing and unsportsmanlike conduct for the chirp or something stupid like that. I couldn't believe [NAME] got away with that,annoyance
"He’s a coward, but no need to ruin his life. You should feel sorry for him. ",caring
Yayyyy [NAME]!!!! Now go get a hat trick tonight!,excitement
“We only let him jump around for 12 hours a day!” Wow. I’m so sorry this is happening to you.,remorse
"not really. I worked hard to live there, and it was different then. Far cheaper. ",disapproval
A bit of storybook now and again never hurt anyone :D So happy for the both of you!,joy
"Also his Whirlpool seems to be bugged, sometime it stays for like 3more seconds even tho you don't get any damage from it anymore",annoyance
[NAME] damn I love Coops,love
"Oh, sorry bud. Didnt mean to be rude",sadness
"""UGH FEMINISM!!! SURELY THATS THE REASON I CANT GET LAID!!!"" see you in hell ",anger
Oke thats really disappointing of him. Although his thoughts are constanly changing. He used to even be an ancap at some point.,disappointment
The emoji at the end just made me want to slap her,anger
Can’t be worse than last week,disgust
"Since our newest addition to this holiday I've included a new, fun tradition where you hide a yellow toupee inside of the president's tree.",excitement
Is she worse than [NAME] though?,curiosity
Oh hi there stereotypical psycho right-wing tabloid sound bite.,neutral
I.. love arby's..,love
I dunno...it was used for a meme and it's very fun to look at,amusement
What's worse is using self destruct without the pilot DLC. You just die :(,disgust
"Her upper lip always looks terrible - such an easy fix, can’t believe she is so vain and never bothers to wax ",embarrassment
"I just want the last couple [NAME] nerfs rolled back, she's still good but not as fun. ",desire
You did the right thing. You’re not ready to settle down so you stopped wasting her time.,approval
Whoa this is really creepy,disgust
i want my nuggs mom!,desire
"I’ve been on team [NAME] since he won the axe toss competition after the draft, lol",amusement
"Hi! :) Because I am broke, I guess.",sadness
I haven’t made a choice yet. I like them both. But why do people not like Link?,confusion
Very true. Having a 3rd pair of [NAME] and [NAME] has been solid,approval
"Well, I hope everything is going well in your retirement. Do your best to enjoy it :).",optimism
i actually didnt know that there are people out there using quotation marks for emphasis until that weird [NAME] song,confusion
"Since I was a kid I knew I preferred funny, smart, interesting girls to conventionally attractive ones. Really tore me up the feeling wasn't mutual.",sadness
Danggit. Im mad i didn't think of that,annoyance
I read the Wikipedia and I’m even more confused now.,confusion
ALFBRUSHJANSBYSY SUCH A GOOD DOGGO,admiration
"Takes a lot less effort to just say “fuck off, buy your own.”",approval
Oh no I didn’t see that episode!? She pooped in the car?!,disappointment
Idiots gonna idiot.,anger
hey this isnt too far from me on sheridan. i never see anyone in it really.,neutral
That’s the most badass joke I’ve heard,amusement
Thanks GM & Ford!,gratitude
I’m sorry. It was nothing to be angry about,disappointment
"Sorry, I meant let them know outside of class.",remorse
"THERE'S A WAR COMING, NED. I DON'T KNOW WHEN, I DON'T KNOW WHO WE'LL BE FIGHTING...BUT IT'S COMING!",fear
Pilots omg... you are not alone there!,surprise
It's a miracle! This is how religions start.,excitement
yeah but we really don’t want to be like them. it is an example of failed communism turned militaristic authoritarianism,disapproval
It’s got to be embarrassing at this point,embarrassment
Ladies and Gentlemen........We got him,joy
That thigh gap not cute at all,disgust
Glad you got to see a good one!,joy
"Ah, my bad. Always mix em up. Thanks for the correction!",gratitude
Dude couldn’t see he had a spool of hair growing on his face?!,surprise
I hope Thier friends now,optimism
"Time consuming too, but buying a box that size outright is stupidly expensive—even if you order a bundle of 25 at a time.",disapproval
"Philanthropy really scares some people, doesn't it? People did this to [NAME] too. ",fear
"Oooooffff. That's real awkward, but I mean that somehow still ended better than I expected so.. Kudos ig??",embarrassment
I did nazi that coming!,realization
"[NAME] looks too creepy,but it's a very nice drawing.",fear
I really wanted this to be a real sub.,desire
What a poor woman who only wanted to tell someone what to do.,sadness
HHahah. Right? I’m scared,fear
"thanks, just sold my house to go all in",gratitude
"And it should be drenched in blood. It’s supposed to be scary, that’s how you know [NAME] loves you!",realization
"I feel bad for them now, but if they ever get good I’ll hate them like the rest. ",disappointment
I’m curious as to how this came about in badwomensanatomy. Was she saying this was something that couldn’t be done?,curiosity
[NAME] deserves to play for a proper club ffs.,admiration
Happy B'day for Thursday!,excitement
Feeling better now?,caring
I would highly recommend [NAME] ([NAME]) he is the great-grandson of [NAME],admiration
"Praying for you to find peace soon, man. ",caring
"Sorry, the two different names made me thing those were two different places. ^ ^;",remorse
Dude I was done with my last comment how didn’t you get that,neutral
"It involves a relationship with a girl so I need a girls input, sorry I’m not sexist or anything.",remorse
Ok this actually happened to me when I was one bloodthirsty away from getting gold on my MX9,realization
"Keep your head straight, stay on your path, and stick to your guns. ",caring
Thank you so much! This summarizes a lot!,gratitude
I love how dramatic it is. It's perfectly self aware,love
A track would be much more suitable for this kind of recklessness! Keep this kind of dangerous driving off of public roads!,annoyance
Wow I didn't know it changed your face so it doesn't break rule 1 and 2? /s,surprise
All these soldiers taking a load of their feet... I feel ashamed for my homeland !!,embarrassment
