label,text
Sports,"Title: is Frank Thomas from the oakland a's married?, Content: , Answer: divorced"
Health,"Title: I am getting back into a gym routine. WHY do my muscles ache more on 2nd day after?, Content: my workout routine slipped for about 6 months.I am just getting backing into a routine and had a good session on saturday with a mixture of cardio, stretch, weights,cardio and stretch followed by a short stint in the sauna. I am covered in spots now. I had a few aches yesterday the day after but today monday my triceps are in agony.whats going on, Answer: Initially after a work out your brain will release endorphins as a pain reliever to help your body not feel pain as it heals, mostly during sleep. It also makes you feel very good.\n\nThat is why most typically feel better when they are in shape or getting there. \n\nIt only last certain periods of time, usually for a day or two. When it runs out (usually a day after a good workout) you will feel it. Your body is the same, but you feel it more two days later because the endorphins wear off.\n\nMake sure you stay hydrated constantly hours before, just before, during, just after, and hours after your work out. \n\nEAT A BANANA BEFORE YOUR WORKOUT!!!!\nThe potassium will give a very noticable boost, and help with cramps.\n\nEAT SOMETHING SALTY AFTER YOUR WORKOUT!!!!!!\nThe salt will trap water into your muscles that move in when your muscles stretch and keep it there, maintaining your swollen state.\n\nNEVER EVER DRINK CAFFEINE OR ALCOHOL AFTER!!!!\nThey sap water from you body and you will ruin your workout as if you never did it."
Science & Mathematics,"Title: How many people have been born with ""tails""?, Content: , Answer: Nearly everyone who has been born.\nThe coccyx, or 'tailbone' is a part of our human heritage."
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!"
Education & Reference,"Title: is home best career for women?, Content: , Answer: nope."
Entertainment & Music,"Title: how to earse songs from burned CDs?, Content: , Answer: You have to have the right kind of CD to be able to do this, a rewritable CD.\n\nSo if you don't have a rewritable CD, sorry, but you can't erase the songs.\n\nFurthermore, even if you do have a rewritable CD, you have to delete all the songs on it, and then re-burn it."
Sports,"Title: tim sylvia?, Content: anyone else think that sylvia dosent posess half the ability he thinks he does.hes a less than average fighter who just happens to bo 6'8''. he over welmes people with his size. did you here him bragging about how he out ju jitsued jeff monson. i ant impressed. the guys a foot taller. in fact that fight turned myself into a monson fan. and if anything i really cant stand sylvia now. brandon veras a tough dude juast like monson was. but vera dosent stand a chance agains sylvia just for his size alone. he is way to cocky which is why i cant stand him. i know im not alone on this one. if i went arround fighting jr. high kids i would feel pritty bad ass to. and if a jr.high kid went the distance against me i sure as hell wouldent be bragging about it. i say bring on fedor. once he gets his fat ass handed to him from a true m.m.a. hevey weight then he will realise how huch he sucks. then i can only hope he will kill himself. yah i said it, tim sylvia should kill himself., Answer: I agree with a lot of what you said except three things:\n\n1st- Shut up and get in the ring before choosing to be completely disrespectful of the person who gets in the ring and has fought hard to get to the point where he is. No question about it; He did get the title. Tim Sylvia has heart and determination but not the natural ability. His time is growing short. \n\n\n2nd - Brandon Vera is easily the next heavyweight champion. Vera is the total package with speed, power, and unbelievable ground game and so versatile on his feet. Watch his fight with Fabiano Scherner. He switched leads and stances about every 4 seconds with incredible footwork. One of his coach's, Lloyd Irvin is one of the best in the training business.  \n\nHis recent defeats are all considered at the top of the division:\n Win Frank Mir TKO (Strikes) --- Former Heavyweight Champion\n Win Assuerio Silva Submission (Guillotine Choke)\n Win Justin Eilers KO (Kick and Knee)\n Win Fabiano Scherner TKO (Knees)\n Win Mike Whitehead TKO (Injury)\n\nand let's keep in mind that Vera is young. He is a bit cocky but still very respectful.\n\n3rd Please post-read your typing. People are friggin driving me crazy while we try and decipher others writings because of missed words, misspelled words, punctuation and capitalization. It takes the same about of time to do it correctly. Come on now. \n\nIt amazes me how lazy people are getting. To lazy to type correctly."
Society & Culture,"Title: How did we get some many experts on GOD and how he behaves?, Content: I had a Muslim just tell me how GOD likes to speak to people. Ive also ofcourse had other religious wacko freaks tell me alllll about how GOD does his thing...in great detail....where did we get alll these f*** experts and why are they usually the dumbest among us?\n\nI know...God speaks through the dumb people...or the people with the ""faith of a child"" (iq of a pinhead)., Answer: Almost everyone ""feels"" or believes there is more to life than what we naturally experience.  For the underclass and those otherwise removed from mainstream society, this feeling or belief becomes their strength, and often it is shared with others the same way you and I might discuss politics or the markets."
Family & Relationships,"Title: Single Females In L.A?, Content: Do you like Colombian or Dominican ethnicity in guys.  If so, my email is jcepeda88@yahoo.com or type the name jonny cepeda in myspace, Answer: Email me \nI'm a single Female \n mcdonalds@KFC.com"
Business & Finance,"Title: why did i get bagged?, Content: so i am sitting around work today because i had to work some overtime (on test scripts) and no one is in the office and i'm getting as bored as a lion in the gymnasium with no children to munch on.  so i wheel around the room with the linoleum floor on one of the office chairs and i'm getting pretty excited, and i'm going pretty fast round and round.  but then i realize i am not going as fast as an antelope being chased by a lion so i wonder what can make me go even faster and faster.  i think pretty hard about this problem, then i promptly unhinge a fire extinguisher from its holder, take my seat on my speedy chair, place the extinguisher in my crotch with the nozzle pointed away from me and i pull the pin very abruptly.  out of nowhere i am jettisoned towarded the back of the room and i knock over various flat screen monitors, injuring my head, and breaking some monitors (not all).  i guess my boss was around and i didn't know, and he comes in and drops me a pink slip.  do i sue?, Answer: I think that you could probably find a way to blame it on him and sue him. You are pretty creative! \n\nHey Imahlah....I am the only taker he needs!!! hahahaha"
