text,label
Make sure you get that on video for the lawsuit. Hope she’s ok...,optimism
"On this blessed day, we are all KQLY.",joy
Come to Nashville. Love to help with that problem.,caring
Ahem. There are those who think that life Has nothing left to chance A host of holy horrors To direct our aimless dance,sadness
Be honest with her... or put her on a pedestal just high enough to see up her dress... ;),caring
It's a weird way of saying you don't want to see my penis,embarrassment
Something would go terribly wrong for [NAME] causing him to have to leave. It’s how his ability works.,fear
sorry mr brolobo,remorse
Hell's Kitchen. I bet that man could make [NAME] cry.,amusement
Wow I didn't know it changed your face so it doesn't break rule 1 and 2? /s,surprise
I'm hoping he's just gonna psyche people out like [NAME] did with [NAME].,optimism
What shouldn’t be lifetime? :),curiosity
Wow first fight in a while where I don't want either dude to lose.,approval
"Doctor is Spy! ~Grunt, too late.",surprise
"Bay Area, sorry ;D",remorse
Oh look a player breaking out of a slump against Dallas. Haven't seen this one before,surprise
Damn didn’t see it sorry,remorse
You mean me? Said the same thing as you did lol,neutral
"Yo, we doink'n in here?",curiosity
"I, too, am a lot of fun at parties. We can stand together in the corner! ",joy
Do you want a people's army? because that's how you get a people's army,neutral
I TOOK TOO MUCH OF A RISK IM SORRY,remorse
I DESERVE TO BE HEAD OF NATIONAL SECURITY BECAUSE I'M ADOPTED,desire
[NAME] I hope we don’t have to as long as the Cubbies did to win a WS,optimism
Yeah who knows how many indictments [NAME] is gonna rack up retroactively? It could be hundreds! /s,confusion
So you got a more expensive burger while following the rules?,curiosity
My baby niece does this. She fell down a couple stairs in her time and now is real careful with them,realization
"Far enough, np. Its rough communicating sarcasm in text form, especially nowadays with Poe's law in overdrive. ",disappointment
Describe in single words only the good things that come into your mind about your mother.,gratitude
"Yet, here we are, a whole sub full of people who seem interested in the stupid things incels say and do... 🤔 /s",annoyance
Pay couples to have kids. I'm not sure if the incentives apply to single moms.,confusion
I can’t tell if you got the joke or not hahaha,amusement
Quit serving money and [NAME] will feed you.,realization
"No, but you wouldn't believe what I'm not tired of seeing...",disapproval
[NAME] and [NAME] for [NAME] then sign [NAME] afraid this battle station is fully operational,fear
But they did they say excited to bring their current roster to Columbus...,excitement
Pilots omg... you are not alone there!,surprise
"Lucky the patient passed out, they wont feel any of it or hear anything you're saying!",approval
"Of course he gets you, he’s your brother. j/k",optimism
My gf is a huge TSwift fan and loves Friends. R u tryna steal my girl pal,love
"Sorry, I meant let them know outside of class.",remorse
"I'm underweight anyways, somebody hand me an English to (whatever language) translation book.",embarrassment
Alright guys I got next on the repost,neutral
"Thank you, next",gratitude
[NAME] what the hell is going on at hq,anger
Now that would be an interesting game! Not quite sure it's the matchup I'm looking for though. Lol,amusement
It's hard to start over. I wish you happiness.,desire
it’s starting to get weird,embarrassment
I like to think [NAME] is finishing the school year before coming back home.,love
Ya uh that's gen Z sorry,remorse
"That was the one I was thinking of! I can't remember which episode it was on now, but it fantastic",admiration
"[NAME] will probably get offers from other teams, he may not even be a [NAME] next year. ",optimism
Strange how it's funny until your mate's getting his arse handed to him.,amusement
What a time to be alive.,approval
That awkward moment when people who passionately hate [NAME] inadvertently portray him as a hero.,embarrassment
Thats why i sleep with 4,neutral
bless. wish you more beautiful days ahead!,caring
"omg you got me, what do i do now, pls help",excitement
Canadian [NAME] here to disagree with you. Politely. Sorry.,disapproval
"Someone you guys are on Grindr just to screenshot your own witty replies to men trying to bang you, don’t deny it.",annoyance
Oh same! But with [NAME]!,surprise
*Hey just noticed..* it's your **5th Cakeday** [NAME]! ^(hug),joy
Mine was apparently [NAME] and the giant peach!,neutral
really thought he'd hit a bird for the longest time.,surprise
Thanks for looking out but we will take our chances with this grave danger.,gratitude
This will either be a classic or a complete shitshow,anger
He's transcended fuck-you-money to fuck-me-money territory,anger
"And it should be drenched in blood. It’s supposed to be scary, that’s how you know [NAME] loves you!",realization
You can do that here dude. got a story? just tell it man,neutral
"I used to work nights at a 24-hour Walmart, “interesting” is a damn tame word for it.",excitement
I can’t imagine being this retired,disappointment
"You just gotta man up, go out there, and get that kiss.",caring
Did feel that one but I find it hard to tell sometimes,disappointment
"Impossible. A Milford man shall neither be seen, nor heard. ",disapproval
"Thanks, do hv a therapist. He doesn't think I am violnt. I want the thoughts to stop. ",gratitude
I’ll just take this as an apology and bid you farewell AM x,remorse
Yep. 30ish middle class white fairly fit. Just started CrossFit!,neutral
"That's how I apologize to carists, too",remorse
You are so right. Reddit response of reading only the first few words. It's been a long damn week. My apologies.,remorse
Oh [NAME] it's [NAME] against dinosaurs again,annoyance
Don't forget the awkward tomboys.,disgust
Don’t worry! I was never convicted of anything!,caring
"Guess we don't need to be afraid of hell, then, 'cause we can easily get out.",fear
I was actually thinking about that during tonight's episode. I don't think the show would last long without [NAME] though.,realization
This dudes basically [NAME],neutral
"Yeah, It's just difficult to resist the lure of the dark side.",disappointment
"Really? I’m not so sure, because I really do like her a lot.",love
Well I did add an edit you might have missed haha,amusement
Damn... METOO,annoyance
[NAME]!,anger
"Let's keep making that trade with different teams until we have all 32 picks in the 6th round one year Sorry, I'll go back to my NHL19",remorse
"That's amazing! Did you have a zoom on the drone, or is the post effect?",excitement
Can’t be worse than last week,disgust
"Sorry, might have been the wrong command. Just checked my uplay for it. It's /nodinputpad",remorse
A reason to play the game every 3 month?,curiosity
"One good thing about vaping When it hits you, you feel no pain. ",admiration
