text,label
Something would go terribly wrong for [NAME] causing him to have to leave. It’s how his ability works.,fear
Describe in single words only the good things that come into your mind about your mother.,gratitude
"That's what I was talking about. Eat one meal, then hibernate until you're so hungry you gotta eat again.",caring
I’m afraid I just blue myself,fear
My gf is a huge TSwift fan and loves Friends. R u tryna steal my girl pal,love
"""Didn't know you can predict the future""",surprise
"I didn't realize being in my late 20s qualified me as a senior citizen, where do I get my AARP card?",realization
Sweet [NAME]. Yes. He. We are men. We are married. Stare if you want.,neutral
"Looks like your typical blurry picture to me, but I’m no doctor.",neutral
You also have the option of making it quite unique. Would be a delight to see if you got it!,excitement
[NAME] saw it during the football game and was super impressed!,admiration
It could be how depression is effecting you but i don't think it's crazy,caring
"Let's keep making that trade with different teams until we have all 32 picks in the 6th round one year Sorry, I'll go back to my NHL19",remorse
They’re well on track to getting that superpower by 2020 slot,excitement
"Considering the whining he did in our modmail, he may not realize this.",disappointment
"That was the one I was thinking of! I can't remember which episode it was on now, but it fantastic",admiration
"Okay, carry on then. Just thought I’d make sure you recognized that there was a difference.",realization
4th generation representing!,excitement
"I agree with that, that's really the only reason I play pk too. Probably the reason my win rate for her is 40%",approval
Ok but how is that a jerk he’s not pushing anyone off their chair,confusion
It feels to me like your Dean has some baggage and you shouldn't let it weigh you down.,caring
Constitutional protections are our best bet. They're the hardest to overturn.,neutral
I honestly can't imagine [NAME] using any kind of profanity lol,amusement
"I swear to [NAME], these offseason dream/hypothetical lineups get me rock solid every single time. I love it",love
Don't forget the awkward tomboys.,disgust
You can do that here dude. got a story? just tell it man,neutral
yes everyone does this!,approval
Oh hey that's pretty cool!,excitement
Do you want a people's army? because that's how you get a people's army,neutral
You mean me? Said the same thing as you did lol,neutral
*I love pressure. I eat it for breakfast.*,love
"Wow, amazing job, Mr. [NAME]! Another liberal absolutely DESTROYED with facts and logic! So eloquent and wise...",admiration
nah man im just shook and dead™️,surprise
"I did physics and maths, now in astrophysics. It's fun (except for stars, those suck).",approval
I DESERVE TO BE HEAD OF NATIONAL SECURITY BECAUSE I'M ADOPTED,desire
"Kinda reminds me of my Uncle, [NAME].",sadness
You're welcome. I'm always up for providing ammo for fighting the narrow minded and religiously intolerant.,gratitude
"So many. [NAME], [NAME], [NAME], [NAME] (with her eyebrows), [NAME], [NAME], and [NAME] are some of my favorites. ",love
I'm most amazed by implicit suggestion that you still aren't showing any signs. i mean coming out should be sign enough right?,surprise
Must not hit opponents on the first frame then. My mistake,realization
"He is good! Funny thing is, a lot of the religious dogmatics in his videos remind me of certain IT posters.",amusement
"Yeah, he knows about my mental health and how bad it cam get, we've tried all the things that have worked in the past ",sadness
"To be fair, they did call it a horror. ",fear
Sounds painful man,sadness
I don't think the people who agree with this post fully understand how large a legion is.,disapproval
We're like bad luck lightning rods. Everybody around us is safe,disappointment
"I can't do it anymore today, I'm out. ",disappointment
Well I did add an edit you might have missed haha,amusement
"Hoping. Regardless, its true.",optimism
Oh ok. I was looking at the wrong subs then. Good to know.,realization
"Stop, your hurting me!",anger
Do you even watch Steelers football?,curiosity
"Now go to a return? Oh ok, thanks for the store to find something better.",gratitude
