text,label
"untouchable since day 1 : I thought I'd let everyone know that I've lived my life to the fullest. From being wanted to being arrested but too young to go to prison.

I've not only had an article made on me in the past for stealing thousands of dollars worth of cryptocurrency but since being gone for over a year I'm back and better. 

I'm currently sitting on top of $950,000 worth of stolen crypto and guess what? NO ONE CAN FUCKING CATCH ME.

&amp;#x200B;

I wonder if you guys can catch me if i give u a hint. Google:  

## Florida Man Arrested in SIM Swap Conspiracy

and look at the section ""A worried mom"". :) She snitched on me and made me lose $200,000 worth of crypto. But guess what? She's dead now. I killed that dumb fucking whore HJAHAHAHAHAH NOW WATCH ME LIVE LAVISH AND SHOOT SOME RANDOM PEOPLE NIGGAS. YOU CANNOT TOUCH SOKO/VOKU THE FUCKING GOD. I HAVE VERIZON/ATT/TMO/SPRINT TOOLS. I CAN SIM HACK ANYONE I SEE FIT. Michael Terpin? I activated that shit. I made a quick 900K Off him.",not depression
"untouchable since day 1 : I thought I'd let everyone know that I've lived my life to the fullest. From being wanted to being arrested but too young to go to prison.

I've not only had an article made on me in the past for stealing thousands of dollars worth of cryptocurrency but since being gone for over a year I'm back and better. 

I'm currently sitting on top of $950,000 worth of stolen crypto and guess what? NO ONE CAN FUCKING CATCH ME.

&amp;#x200B;

I wonder if you guys can catch me if i give u a hint. Google:  

## Florida Man Arrested in SIM Swap Conspiracy

and look at the section ""A worried mom"". :) She snitched on me and made me lose $200,000 worth of crypto. But guess what? She's dead now. I killed that dumb fucking whore HJAHAHAHAHAH NOW WATCH ME LIVE LAVISH AND SHOOT SOME RANDOM PEOPLE NIGGAS. YOU CANNOT TOUCH SOKO/VOKU THE FUCKING GOD. I HAVE VERIZON/ATT/TMO/SPRINT TOOLS. I CAN SIM HACK ANYONE I SEE FIT. Michael Terpin? I activated that shit. I made a quick 900K Off him.",not depression
"Considering trying to get antidepressants. Scare to start and worried about weight gain. : I’ve been diagnosed with severe depression (moderately high functioning though) and anxiety but I didn’t have the right kind of insurance to do anything about it. I’ve got a primary doctor picked out (haven’t had one in like five years) and a therapist picked out. I just can’t work up the guts to make the appointments. I’m absolutely terrified that I’ll talk to the doctor about it and they’ll deny me getting antidepressants and that therapy won’t help. If I try and it fails then that’s the final nail in the coffin, there’s no hope because I tried so much already. 

And there’s the looming possible weight gain. I’m 5’3” female and 205lbs. I went from a very fit 142lbs (26% body fat) in 2015 to 205lbs (42% body fat) and out of shape now. I know how to eat well and I love exercising but I just can’t anymore. I despise how I look already so being super depressed sounds better than continuing to gain weight. 

How am I supposed to walk into a new doctor and be like “hey, doc. I’m super depressed and anxious as fuck. How about some antidepressants? Oh and none that’ll make me gain weight. K thanks.” (Obviously I would be more professional, I’m just making jokes as coping.)",moderate
. : [removed],not depression
Goodbye : [removed],not depression
Venting : [removed],moderate
Venting : [removed],moderate
"i was recently diagnosed with depression : Hello, as my titled says, I was recently diagnosed with depression. I don’t know where else to tell my story but I feel like I need to do it to prevent myself from doing something bad. I’m 18, I live in France and i’ve started going to college in September. Since then, I was feeling really off, as if I was some kind of second character in other people’s lives, but also in my own. I was feeling really lonely, but seeing my other friends feeling the same way reassured me in this feeling. However, as the time went by, I saw those same people gradually becoming better while I wasn’t, and I started losing contact with them. I used to be really friendly, always laughing and going out, while being really dedicated to my studies. Since then, it’s just as if everything just started becoming black. I’ve lost interest in going out, making jokes and laughing didn’t light the same sparkle in me, studying made me feel dumb and empty. I constantly feel like i’ve chosen the wrong path, but feel like i’m not good enough for another one, and i always wanted to come back to my parents but i wasn’t feeling right in my place anywhere. It started to became more and more frequent, with thoughts of quitting everything, or that I didn’t belong anywhere, etc. I didn’t want to go out anymore, or when I did, I just needed to drink to feel in a right headspace, or else I just felt as if I was standing aside of my own body, not knowing how to act or what to say to make believe that I was doing okay when really I wasn’t. I started to see my college’s psychologist but he really didn’t help me and instead made me feel really weird about myself and the way I felt. I spoke about it to my mother, which wasn’t that concerned because I hadn’t told her yet that I was thinking a lot about death and suicide. She helped me find a psychologist, which I started to see every week, since february. She immediately told me that she thought I had depression and needed to take medicine, and so I had to go see a psychiatrist to get them. With my psychologist, we talk a lot about my life in the past and how I could see the world as another point of view, and she makes me think of a lot of things about me, but really she just points out a lot of things that i do or am that kind of make me sad about myself. What really scared me is that I usually enjoyed a lot going to concerts, which made me really happy and the last two i went to made me feel so much anxiety and discomfort that I had to go out before the end. I was really disappointed towards myself. By then, I tried going to several places to find a psychiatrist but no one helped me or took me seriously and I felt like I would never be helped, and I felt like I didn’t really want to on the inside. I wrote a suicide note, and I was ready to try to kill me. My boyfriend saw it and he prevented my mother, which came by me crying saying she didn’t know I had the intention to do it. We went to a hospital to seek medical help but there were a lot of kids who were really sick and I didn’t feel at the right place at all. We finally found a psychiatrist, which diagnosed me with depression, and anxiety. She gave me meds that I have to take daily and are supposed to make me feel happy again. I hate it because everytime I want to swallow the entire pack, whether it is to die or get better quicker. I started questioning myself if I had always been depressed. I’ve always felt as if I wasn’t part of this world in some way, or that I didn’t deserve to be here.
Now, i’m not better at all but I like writing down my feelings. I’m living normally and i’m trying to do stuff to keep me occupied but i’m always bored because I always want to do something but I never know what; I’m vainly angry at people that love me because they love me; when i cross a crosswalk I always think of a car hitting me and then of me suffering; I always want to sleep to forget that im alive; When I laugh I feel like I shouldn’t be doing it; I feel like i’m not really depressed because my problems aren’t important; I feel like i’m useless and that I’ll never be important to anyone; I feel like my life is pointless and that it’ll never change; I feel like I should always excuse myself because I’m not a good person; I feel like the ugliest person in the world; and sometimes I just burst into tears because it is just too much and the weight is too heavy and I want to take it off. 
That’s my story dealing with depression. Everyday I wake up knowing that one day I’ll take my life away, but I want to get better; because people get hurt because of me. I’m hurting them because I deeply hate myself and I’m constantly fighting against myself. 
I hope i’ll get better.",severe
Canada : Anyone know how to get insulin in canada without a diabetic friend or relative. Figured insulin is cheaper and a easier to get then a gun just dont know where to get it,not depression
Depression : I am depressed and wanna die my own family pits me down! I am trying to grow my youtube channel and nothing works! What to do? I am losing interest in all my favourite things I just wanna die!,moderate
"I feel like gravity applies to me tenfold : Im constantly being dragged down to the ground, as if just to melt and die.

If I make the mistake of sitting in the shower, I feel like Im in some melted slug and it is impossible to stand up. I sit and put my forehead against the wall and just pray to die right there.

Walking feels like Im wearing weights on my legs

Standing up straight is impossible, Im physically forced to slouch down and towards the ground like a string doll when you let go of the strings

How am I supposed to live life and deal with another 50 billion problems I have id I cant even fucking walk and stand up?",moderate
"I feel like gravity applies to me tenfold : Im constantly being dragged down to the ground, as if just to melt and die.

If I make the mistake of sitting in the shower, I feel like Im in some melted slug and it is impossible to stand up. I sit and put my forehead against the wall and just pray to die right there.

Walking feels like Im wearing weights on my legs

Standing up straight is impossible, Im physically forced to slouch down and towards the ground like a string doll when you let go of the strings

How am I supposed to live life and deal with another 50 billion problems I have id I cant even fucking walk and stand up?",moderate
"I feel like gravity applies to me tenfold : Im constantly being dragged down to the ground, as if just to melt and die.

If I make the mistake of sitting in the shower, I feel like Im in some melted slug and it is impossible to stand up. I sit and put my forehead against the wall and just pray to die right there.

Walking feels like Im wearing weights on my legs

Standing up straight is impossible, Im physically forced to slouch down and towards the ground like a string doll when you let go of the strings

How am I supposed to live life and deal with another 50 billion problems I have id I cant even fucking walk and stand up?",moderate
"I think 2020 is the year I do it : I've been struggling with depression since I was 16. I have no goals and no ambition to become anything important. I just wanna hit the whole reset button on life. Everyone around me is growing up and moving on without me. My family is tired of my shit. My friends are tired of my shit. I can even go to family gathering anymore cause everyone's tired of my dramatic depression. I don't even complain about it when I'm out. I just speak and everyone gets angry at me. I spent new year's Eve alone trying to drink myself to death. I just recently quit my job cause I don't wanna work anymore. I feel like it's coming to an end very soon and I'm honestly kinda happy when I think about it. Seriously, what's the point in getting old? What's the point in having a career? What's the point of starting a family? We all go to the same place in the end. Might as well just do it before I get older.",moderate
