text,label
"Title: Court ruling...?, Content: I went to court to battle an uncooperative ex-wife over unpaid medical bills for my son. The judge ordered her to pay me the FULL balance. The bills are in collections but it get's very confusing because they are my sons bills, but under my name. The judge said we can take care of it any way I want meaning she can send me the check or send it directly to the collections agency. I want it sent directly to me so I can make sure it gets paid, she hadn't paid this bill for over 2 years, why would I trust her? Now she says to me to give her copies of the bills so she can review them. Is she too late for this? It's already court ordered for her to pay it. I have already done enough leg work getting balances and calling and fighting with collection agencies because she wouldn't cooperate. Do i have to provide her anything now that its court ordered and been through court? She is threatening a De novo hearing., Answer: She is in contempt of court.  At this point, its not her concern what the bills are and for how much.  She doesn't need to see them.  The court ordered her to pay them and that's all she needs to know.  I'd advise the court that she is in default and request another hearing.",Politics & Government
"Title: where can i find information on the banned book Bumps in the Night?, Content: why it was banned, where it was banned, what it was banned for, Answer: http://product.ebay.com/Bumps-in-the-Night_ISBN_0440412862_W0QQfvcsZ1392QQsoprZ351483",Education & Reference
"Title: What does RCAC mean?, Content: , Answer: ROYAL CANADIEN AIR CORPS",Politics & Government
"Title: sue has $400 in her savings account. if the bank pays her 6 1/2% interest, how much interest will sue earn?, Content: , Answer: what bank is that!? most banks are around 2-3 %",Science & Mathematics
"Title: what is it?, Content: , Answer: ""It is a 2 letter word in english that means that thing.",Sports
"Title: Is there any way that I can get a taser? Is it legal to have one?, Content: Do  I have to take a class?, Answer: It depends on where you live.  If you don't live in one of the following then your answer is Yes.  If you do then the answer may be yes if you take the training and register it.  If there are any questions call your local Police Department.\n\nThis is directly from my site www.idtac.com.\n\nStun Gun Laws\nStates where stun devices are legal but with some restrictions: (click on the state name for more info) \n\nConnecticut - Legal for home use, carrying prohibited. \nFlorida - Legal, subject to restrictions. \nIllinois - Legal, subject to restrictions (Requires FID card). \nIndiana - Legal, subject to restrictions. \nNorth Carolina - Legal, subject to restrictions. \nNorth Dakota - Legal, subject to restrictions. \nOhio - Legal, subject to restrictions. \nWashington State - Legal, subject to restrictions. \nStates where stun devices are illegal: (Click on the state name for more info) \n\nHawaii \nMassachusetts \nMichigan \nNew Jersey \nNew York \nRhode Island \nWisconsin \nCities where stun devices are illegal: (Click on the city name for more info) \n\nAnnapolis, MD \nBaltimore, MD \nHoward County, MD \nChicago, IL \nDenison / Crawford County, IA (*According to Sheriff Tom Hogan*) \nDistrict Of Columbia \nPhiladelphia, PA",Politics & Government
"Title: Shoe problems?, Content: I have the NIKE SHOX BOMBER shoes and i have a problem with the strap on the ankle, is there anything I can do besides just not strapping it on, Answer: did you try a different shoe lace? that might work.",Sports
"Title: Whats the best way to give you 2 free points?, Content: , Answer: i wonder",Entertainment & Music
"Title: definition of the children Act?, Content: i need to write up a definition of the Children Act can you help me please?, Answer: Do you mean the Child Protection Act. Most states used a model and mandatory reporters were added, among other things. It took almost 10 years to have every state pass it.\n\nhttp://www.gencourt.state.nh.us/rsa/html/NHTOC/NHTOC-XII-169-C.htm\n\nOr are you talking about Federal Legislation?",Politics & Government
"Title: if u tried to fail and succed what have u done?, Content: my cuz gave me this and i can not get it, Answer: you have succeeded at nothing.",Business & Finance
"Title: What are some good, cheap things to get people for Christmas at the last minute?, Content: , Answer: Gift certificates, esp for restaurants.",Society & Culture
"Title: what is the current watch that is general issue in the US military to ground troops?, Content: the watch used by regular gi's not pilots, or divers anything like that, Answer: The Marine Corps no longer does a general issue on watches. However, before they stopped a few years ago it was a simple black faced timex with a green band.",Politics & Government
"Title: thick pickle.com?, Content: does anyone know of a website called thick pickle.com. They sold cool pickle t-shirts that I would like to buy, but I can not find the website anymore., Answer: I can't even imagine a situation in which I would ever take seriously, in any way, a young woman wearing a ""Thick Pickle"" T-Shirt.  LOL.\n\nSorry, never heard of it.  Did you try Google or Yahoo Shopping ?",Health
"Title: Have you worn Hanes' White Boxer Shorts?, Content: Don't you think the fly sucks? It never stays closed., Answer: true-i had to put a couple of stitches in mine",Health
"Title: gas leaking from a hanging tube.?, Content: My buddy has an '86 kdx200. there are 3 tubes coming out of the carborator not atatched to anything. the tube coming from the bottom is leaking a lot of gas. what does the tube connect to?\n\nI'm pretty sure the 2 upper tubes are supposed to just hang, i could be wrong.\n\nthanks a ton., Answer: Are you talking about the overflow tubes? They should not leak if the bike is straight up... The connect to the carb...",Sports
"Title: My website??, Content: check out my FREE website and telll me if you like it.  its name is\nhttp://www.jesuswalktalk.moonfruit.com\nplease check every aspect of it. I want a true answer on if it is good or not and what it needs for improvement.\nthanks \nlester fester, Answer: excellent site and keep up the good work",Computers & Internet
"Title: Regarding the Statue of Liberty, what 2 states fought over its ownership and revenues generated from its visit, Content: Does Ellis Island belong to New York or New Jersey?  Which state is the sole property owner and is entitled to any revenues treceived?, Answer: It was new york and new jersey that fought over the right to Ellis island and to the statue of liberty and the rights to it.  Although, as most of us know, new york won.",Politics & Government
"Title: What happens if you don't have the money to pay a speeding ticket?, Content: If I plead guilty and explain to the judge I need a payment plan do you think I will go to jail?, Answer: I think there are several options for you to choose from. \n\nYes you can be placed on a payment program,don't miss a payment or the court will issue a warrant for your arrest as you are under a court order to pay. They will not take excuses, so if you have financial problems please call.\n\n(This is not Wal-Mart the customer service is not all that friendly)\n\nSome jurisdictions will allow you to do community services instead of paying a fine, when and if you are allowed to do this again please show up on time. All the excuses in the world will not keep the judge from rescinding the community service and turn it into jail time.\n\nYou may also serve jail time, complete it and walk away after your time is up.\n\nI hope this has been of some use to you, good luck.\n\n""FIGHT ON""",Politics & Government
"Title: Bored at work...?, Content: My job can hardly keep me busy with work.  What should I do to pass the time....I'm in a cubicle and you know what office rules are like, Answer: www.bored.com",Business & Finance
