text,label
"Title: Whats the best way to give you 2 free points?, Content: , Answer: i wonder",Entertainment & Music
"Title: Military time references?, Content: In the military they refer to times as eighteen hundred hours or twenty-one hundred hours.  When its 8pm what do they say?  Two thousand hours?  Twenty hundred hours?, Answer: Actually a good many countries around the world use the 24 hour clock system. Then there isn't a need to say AM or PM, you know whether its day or night. Also the military begins attacks, movements and such on Greenwich mean time, its a town in Britain. And its used so everyone that aware of an operation knows what time it begins regardless of what part of the world they are in.",Politics & Government
"Title: Anyone Enlisted or Already a Marine?, Content: Cuz im a USMC Poolie and was just seeing how many people would be in or are going in., Answer: I was honorably discharged in 1993, after 10 years of service.  But as the saying goes, ""Once A Marine, Always A Marine"".\n\n1983-1987  Marine Barracks, Seal Beach NWS\n1987-1990  2nd Battalion, 2nd Marine Regiment 0311\n1990-1993  Marine Barracks, Mare Island Naval Shipyard",Politics & Government
"Title: Shoe problems?, Content: I have the NIKE SHOX BOMBER shoes and i have a problem with the strap on the ankle, is there anything I can do besides just not strapping it on, Answer: did you try a different shoe lace? that might work.",Sports
"Title: will it snow in altadena between march 12 and march march 18?, Content: , Answer: If the storms that have been predicted manifest it will.",Science & Mathematics
"Title: Have you worn Hanes' White Boxer Shorts?, Content: Don't you think the fly sucks? It never stays closed., Answer: true-i had to put a couple of stitches in mine",Health
"Title: Will you fight me for money, with broken glass on the knuckles, and with a stick with nails?, Content: , Answer: You can, I'll keep my Peacemaker",Politics & Government
"Title: I need to know what is difference from an idiot and being retarded and which one will  get me welfare?, Content: , Answer: sorry but you already asked a question that proves you aren't stupid enough to qualify.",Society & Culture
"Title: Are there pictures of the stallion Fonda Bask on the Internet?, Content: He is and Arabian, Answer: I'm sure there is- somewhere.",Sports
"Title: what are some reasons why self defense should NOT be taught to students in high school?, Content: , Answer: Other than potential liability issues, I can not think of any reason self defense should not be taught.  Everyone should be able to defend themselves.",Education & Reference
"Title: What does your alarm clock sound like?, Content: , Answer: mmMMMMOOOM!!! mmmMMMMOOOM!!!! MOM! she is taking my covers! ahHHHHH! MOMOMMY !!!!!!",Entertainment & Music
"Title: is neomonoultramicroscopiccilicovolcanocorneosis is the longest world ever made?, Content: I hear that was an allergic reaction to volcano dust?, Answer: Sorry.. do you mean the longest word?\n""Antidisestablishmentarianism""  is the longest word in the english dictionary, if that's what you're talking about.",Health
"Title: why is genetic engineering BAD?, Content: this is an argumentation paper for my ap english class. i need to find information and to hear the opinions of what people think in this current time., Answer: My opinion is that it is messing with things that we don't understand.\nNobody really knows how life works, or how procreation really takes place.\nBy messing around we are destroying natural evolution, and creating potential situations for the spread of incurable disease.\nAny of the pros can be examined, and the question 'Why?' asked.\nThere is almost always a logical answer.\nWhy do we need more food? Because the nutrition of present food has been destroyed by the fore-runner of genetic engineering - unnatural farming in order to make more profit.\nAlmost always there is an answer which ends up with - to make more profit.\nOur current society is run on the idea that profit is essential. If we examined all these things down to the root we would see that society is definitely headed in the wrong direction, and genetic engineering is a part of that.\nIt's of no long term benefit to the human race.",Education & Reference
"Title: how do i make a histogram on excel? i have my freqeuncy and my intervals.?, Content: interval\n5.511.5\n11.517.5\n17.523.5\n23.529.5\n29.535.5\n35.541.5\n41.547.5\n47.553.5\n53.559.5\n59.565.5\n65.571.5\n\n\nfrequency\n6\n6\n7\n3\n2\n12\n7\n7\n4\n1\n1, Answer: type the interval values in a column headed interval.\nin the next column type the frequency values with a heading of frequency.\nselect all the data cells including the headings.\nclick on the chart wizard button (or insert; chart)\nclick on ""press and hold to view sample"".\nIs this not a histogram?\n(Excel 2003 or Excel 97)",Science & Mathematics
"Title: Does anyone know where I can buy Ryusho Sakagami's Karate-do Kata Taikan?, Content: This is a martial art book written by my sensei's,sensei,sensei, Answer: i hope this isnt what you are looking for - its expensive \n\nhttp://cgi.ebay.com/SAKAGAMI-RYUSHO-rare-1978-SHITO-RYU-Karate-DO-Taikan_W0QQitemZ4638651123QQcategoryZ378QQssPageNameZWDVWQQrdZ1QQcmdZViewItem",Education & Reference
"Title: Bored at work...?, Content: My job can hardly keep me busy with work.  What should I do to pass the time....I'm in a cubicle and you know what office rules are like, Answer: www.bored.com",Business & Finance
"Title: Is this man gay?...?, Content: Jamie Hyneman from Mythbusters. (Discovery channel). Is he gay? Just wondering... that's all., Answer: No.  Here's a quote from Adam:\n\nWhen the show first started airing, Jamie and I both got a lot of gay fan mail. He got a little upset at first, and his wife pointed out “Jamie, take the compliment! Someone thinks you’re really hot! It’s okay if it’s a man.” And he was cool with that, and relaxed about it.",Society & Culture
"Title: How old is Gerda Scheureder?, Content: , Answer: the triathlon?\n\nshe was born in 1960, but I don't know the exact date so I can not tell if she is 45 or 46",Sports
"Title: M4 Carbine.. secondary sighting system ?, Content: I'm setting up an M4 to use primarily for CQB under 50m. I'll run on iron sights (albeit triijicon) but am can't decide between 3 other options: Aimpoint ML2, EOTech, or a foregrip from CTC . Any suggestions or thoughts ?  I don't care about how easy getting a zero is... just durabilty/reliability and aquisition for social work.\nIf you don't understand the language in the question, please take a pass in answering. All you ""Mike Novembers"" out there, yup, that means you....... All *informed* opinions however, are most WELCOMED, Answer: EOTech for sure - It's a must.",Politics & Government
"Title: Where can i find an estimate of how many people smoke weed everyday??, Content: I need to know for an argument paper at school......I cant find it anywhere and I need to know by monday, Answer: You could search Yahoo for:    marijuana smoking statistics  \n\nThe first 5 that I see look pretty good.\n\nPeace!",Society & Culture
"Title: y do girls farts smell so much worst the mens?, Content: , Answer: llllooooolllll omg thats perty funny stuff right there. but to answer your question. ummm on the top of my head they hold it in longer.",Family & Relationships
"Title: I am moving to Ireland for 3 years on Student Visa. My question is can my spouse work while i am studying?, Content: , Answer: Deoends where ya from...If an Eu citizen then yes but if not contact the Irish embassy for further details of work visa's. If he has someone who will sponsor him then he can",Education & Reference
"Title: Story behind Brokedown Palace true? If so what happened to her?, Content: , Answer: It is not a true story but it is based on real life experiences. that means it does happen to people. the real drug smugglers put it in thier suitcases and they go to jail for it. And the Thailand people do take thier drug laws very seriously so you could end up up that much time. I didt the math and if she took both sentances, she would be doing 95 years in all. She would of died in the thai prison if they couldn't get her out.",Entertainment & Music
"Title: who all wants a closer realationship with God?, Content: i do, how do  i get closer?, Answer: I DO!!! This world keeps pulling us down doesn't it! But you know, being on Y! Answers has really helped me, here I can praise and worship God(with some fellow Christians and some none Christians) here I get to share my faith. It's great!!! For me the way I get close to God is listening to some really good music, sit down with my Bible, notepad, and pencil, start reading and write away! It's amazing how much more you notice when you write stuff down. God Bless you sister and hold strong to the faith!!!",Society & Culture
"Title: What are some good books for learning about your religion?  Besides your scripture?, Content: Just looking for some interesting reading., Answer: I've written my own book which I like to believe is interesting :P \n\nIt's basically about:\n1-God (His qualities, what He wants from us..)\n2-The stories of the prophets of God (lessons that can be learned from them, interesting stories)\n3- The history of Islam/life of prophet Muhammad PBUH.\n4-The Holy Qur'an (authenticity, greatest achievement of the Arabic language)\n5-The Misperceptions of Islam (e.g. Misinterpreted verses of the Qur'an)\n6- The Hereafter (i.e. Death, Judgement Day, Hell, Heaven - all in detail)\n\nThe good thing i guess about it is that the book can be read starting from any chapter. So people who are interested, for instace, to read about prophet Joseph, they can just go to his chapter and not read anything else\n\nhttp://spaces.msn.com/slimayn/\n\nPeace be with you",Society & Culture
