dataset,model,entropy_corr,margin_corr
20_newsgroups,llama3,0.536322017567853,-0.5251432351574034
20_newsgroups,cohere,0.3485926736941754,-0.2776791777978821
20_newsgroups,gpt4omini,0.41054261435924155,-0.3641226968898965
ag_news,gpt4omini,0.19313102019903688,-0.1560838576370347
ag_news,cohere,0.4091674325327065,-0.3805729713083418
ag_news,llama3,0.4264316482415444,-0.39915663031370807
yahoo,llama3,0.3199506365219904,-0.30452182352655105
yahoo,cohere,0.36179552132150633,-0.3495571335106309
yahoo,gpt4omini,0.2835443176936185,-0.24152387358401572
social_media,llama3,-0.15949846236201778,0.14461435316909618
social_media,cohere,-0.1868511637960299,0.18258421952354661
social_media,gpt4omini,-0.15398771162282535,0.13892591938922663
sst5,gpt4omini,0.1640552826885165,-0.1411128292142343
sst5,cohere,0.15138950284603594,-0.15372309204322857
sst5,llama3,0.24165010380264182,-0.22021526017185278
go_emotions,llama3,0.3179776110717232,-0.31651468515282105
go_emotions,cohere,0.3009224179218222,-0.26806061343864357
go_emotions,gpt4omini,0.26360539499808405,-0.23277411795398922
