label,text,cluster
Sports,"Title: Who is the best cricket player in South Africa team?, Content: , Answer: Hershell Gibbs",7
Science & Mathematics,"Title: (6a squared+1)+(8a squared + 3a + 2=?, Content: , Answer: 14a^2+3a+3",4
Education & Reference,"Title: Do you think mentally ""slow"" people can live succesfully like anyone else?, Content: , Answer: That all depends on how you define success - for most people (me included) success = happiness and being comfortable with myslef and my relationships.....not a big fat wallet and corporate empire.\n\nIf happiness = success, then they probably have one up on most of us!",5
Education & Reference,"Title: Hi,I am a foreign lawyer and have no law education in USA,I want to give my bar in CA,how do I start studing?, Content: Acc. to CA bar I do not have to attend law school and can directly give my bar.Where can I find the study material for the bar, what and how should I study for the bar here, without any knowledege of the law  studies here, how should I go about it?, Answer: My gosh.  What a great lawyer you'll make.  You already know how to research.  Just come on Yahoo Answers.",6
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",3
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",7
Business & Finance,"Title: i know this sounds grose but why is it when u shave u get more hair?, Content: , Answer: You don't. That's a myth. You just get the same amount of hair with the same thickness you had before. It just looks different because it's cut differently.",1
Family & Relationships,"Title: friend wants ipod with video screen for jacking off? a friend of mine raised a good deal of money for a good?, Content: cause and as a result is getting an ipod as a reward from the organization for his efforts. i suspect he might want this ipod so that he could upload porn to it and jack off to his ipod in the bathroom. what should i say to him about this? is this any of my business?, Answer: Definitely none of your business.\n\nMasturbation is a normal human activity.  Probably every one of your friends masturbates at some time or other.  It's none of your business, and it is none of your business what fantasies your friends have while masturbating, or what devices they might use, or what images they might look at.\n\nMasturbation is just a private matter, that's all there is to it.",5
Politics & Government,"Title: if there was a bill that would give students with a GPA of 4.0 free college,would you support it?, Content: or be against it?, Answer: I'd support it. It takes hard work to maintain a high GPA! Clearly the person is smart so it won't be a waste of money.",6
Sports,"Title: does anyone else love the new england revolution like i do?, Content: , Answer: I'm a new fan to the game of soccer or football (whatever the hell you want to call it) and I really do enjoy watching the revs play. Although I do agree their not a real club like they have in europe but then again were not in freakin Europe. Go REVS (Play better)!",5
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",3
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",7
Business & Finance,"Title: what are three things the Federal reserve does?, Content: , Answer: Their Mission Statement says:\n\n.... the Federal Reserve’s duties fall into four general areas:\n\n- conducting the nation’s monetary policy by influencing the monetary and credit conditions in the economy in pursuit of maximum employment, stable prices, and moderate long-term interest rates \n\n- supervising and regulating banking institutions to ensure the safety and soundness of the nation’s banking and financial system and to protect the credit rights of consumers \n\n- maintaining the stability of the financial system and containing systemic risk that may arise in financial markets \n\n- providing financial services to depository institutions, the U.S. government, and foreign official institutions, including playing a major role in operating the nation’s payments system \n\n....\n\nI guess you'll have to pick three",5
Education & Reference,"Title: Do you think mentally ""slow"" people can live succesfully like anyone else?, Content: , Answer: That all depends on how you define success - for most people (me included) success = happiness and being comfortable with myslef and my relationships.....not a big fat wallet and corporate empire.\n\nIf happiness = success, then they probably have one up on most of us!",5
Sports,"Title: Who is the best cricket player in South Africa team?, Content: , Answer: Hershell Gibbs",7
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",3
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",3
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",7
Entertainment & Music,"Title: Who sings the song Crazy for this girl? I think thats the name.?, Content: i dont know all the words to the song but some of it goes like this: \n"" you look at her she looks at me shes got me thinkin about her constantly but she dont know how i feel"". sorry thats all i know, Answer: evan and jaron and crazy for this girl is the title :)",1
Health,"Title: How do i get small calves????, Content: Well my calves are big and when i work out, they get bigger . So how can i tone them or make them smalleR??, Answer: They don't get smaller darling I've been trying my whole life!!! I've done every imaginable exercise. I've resorted to just living in really high heels all the time they make them look a little smaller. I hated my calves all my life then my friend's mom told me that she also hated her's all her life too until she got into an accident and they were scarred then she wished they were at least the way they were before. My point is like all of your body even your calves, they're not just to make skirts look good, they actually have a function and I'm sure they do their job really well.",1
Society & Culture,"Title: Dems vs. Reps, Creationists vs. Evolutionists on Yahoo Answers. Has anyone actually done any good?, Content: All of the name calling, accusations of stupidity, cleaverly worded rhetorical questions basically stating that the other side of the debate is stupid.. has any of this done anyone a lick of good? Does it even make you feel any better, or does it just make you more angry, and therefore write more questions, when you see all of the answers that you don't agree with? Do you ever feel like you are getting cought in a cycle?, Answer: It does no good at all. \nAll I've learned from Yahoo Answers is that there are a lot of mean, bigoted, racists, homophobic, anti-Christians, selfish, and bitter people who like and enjoy hurting others here and the Yahoo Answers staff allows it.",5
Society & Culture,"Title: is there any one who is LDS out there?, Content: , Answer: I am. Do you need something?",7
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",3
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",7
Entertainment & Music,"Title: Does anyone think the extended(4 hour) voting period will influence the outcome on Idol?, Content: , Answer: It'll just show how many more actually voted for him over Katherine.  SOUL PATROL",7
Family & Relationships,"Title: I'm trying not to call my ex...!?, Content: i'm trying not to call my ex but it isn't working and when he doesn't pick up it makes me sad also today i txt'd him and i felt bad about it afterward because i didn't want to call him i wanted to wait to se if he calls me instead and he doesn't and i hate it and it amkes me dad and i know all my questions have to do with the same thing and person but i really love this person and one day he said that he loved me too and it's making me sad that i am still hung up on him and it sux.....what should i do??, Answer: it takestime to heal from a broken heart. it took me awhile to heal from a 4yr relationship. i was cheated on for 3 of the years. maybe if you give him space he will eventually call you back. when he does explain to him that it was a mistake to break up and want him back. if it was meant to be, it will happen. give him time. good luck and hang in there.",1
Sports,"Title: Who is the best cricket player in South Africa team?, Content: , Answer: Hershell Gibbs",7
Computers & Internet,"Title: how do i remove icons from my desk top?, Content: my pc takes so long to load before i can sign in.  i called dell they told me it would cost 99.00 to have the start up programs removed, and the icons on the right hand side removed.  that is so not cheap!  if there is any one out there who knows how to do this, i would appreciate a buzz.\nthanks,\nmary, Answer: Turn on the computer. \nClick on start. Click on Run. Type in MSConfig. Then click on OK. You would have the system configuration utility. On that click on the startup tab. Under this, click on disable all. Then click on apply. Then check only those options that have a description of ur anti-virus and important software that u think is needed. Then click on apply again and then click on ok. It will ask you to restart the computer. Go ahead and do it. Once the computer starts up, it should be much faster. \n\nComing to the icons, first of all, what you could try is deleting them. Right-click on them and then click on delete. If that does not help then, right-click on the empty space on the desktop and then point to ""Arrange Icons by"" and then click on Show Desktop Icons, if it is already checked. This should take out all the icons from the desktop. \n\nAny other questions, get back on here! ;)",8
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",3
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",7
Business & Finance,"Title: It's 11:45 and I have to be @ work in an hour but I don't want to go.......can I call in dead?, Content: , Answer: ",0
Society & Culture,"Title: Do people have the right to see the beloved Flying Spaghetti Monster as garbage?, Content: People don't just invent religion do they? There must be a certain truth in religion before they can come about., Answer: No.  They need to open their minds to other pastabilities.  May you be touched by his noodly appendage.  The FSM (CBUM) is just as plausible as any other god.  RAmen.\n\nhttp://www.venganza.org/",5
Society & Culture,"Title: religious ppl pray! what do they say?, Content: hello!\nif u pray God perhaps u use some sentences or phrases to pray him!\ncan u tell me what do u say to God.\nThanx\n&\nPeace, Answer: Whenever I pray I just speak from my heart. He already knows how you feel so just talk to him. I usually thank him for everything he has done for me and ask him to forgive me of my sins. Of course there is more, but I think the best way to pray is to say how you truly feel. There is no need to be ashamed. Try it for yourself and see.",1
Education & Reference,"Title: Shakespeare used Multiple Negation ! Wasn't it the Standard at that time?, Content: Twelfth Night:\nI have one heart, one bosom, and one truth,\nAnd that no woman has, nor never none\nShall mistress be it, save I alone, Answer: I don't know why people are responding to this on the iambic pentameter etc front. Are you not asking a question about the multiple negatives? If so, I would respond that people still use this (it isn't unknown for people never to use a purely singular negative form), wasn't he doing it for effect, don't nobody do it no more?",5
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",3
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",7
Sports,"Title: does anyone else love the new england revolution like i do?, Content: , Answer: I'm a new fan to the game of soccer or football (whatever the hell you want to call it) and I really do enjoy watching the revs play. Although I do agree their not a real club like they have in europe but then again were not in freakin Europe. Go REVS (Play better)!",5
Health,"Title: why do some ppl. thiink ppl. w/ borderline personality are such awful,selfish...whatever?, Content: i don't think any 1 who has BPD likes being 'the way we are'..i  don't like being this way at all.luckily i've got a great T who's helped me alot.but i don't understand why ppl. w/ BPD are often disliked,judged......it's not fun for us either., Answer: Most people do not understand that BPD is actually someone with a disorder...the characteristics of people with BPD are often described as people who are selfish and self-centered...so people that do not know about or do not understand BPD simply write the person off as that...",1
Business & Finance,"Title: what are three things the Federal reserve does?, Content: , Answer: Their Mission Statement says:\n\n.... the Federal Reserve’s duties fall into four general areas:\n\n- conducting the nation’s monetary policy by influencing the monetary and credit conditions in the economy in pursuit of maximum employment, stable prices, and moderate long-term interest rates \n\n- supervising and regulating banking institutions to ensure the safety and soundness of the nation’s banking and financial system and to protect the credit rights of consumers \n\n- maintaining the stability of the financial system and containing systemic risk that may arise in financial markets \n\n- providing financial services to depository institutions, the U.S. government, and foreign official institutions, including playing a major role in operating the nation’s payments system \n\n....\n\nI guess you'll have to pick three",5
Sports,"Title: i have just bought a racing greyhound and need a?, Content: good name for him?\ni want a name with a double meaning the have already turned down the folling and i need to sneak one through\nCUPID SUNT\nLUSSY PICKER\nPISTOL KIGHT, Answer: Mary Huff\nBetty Swallox\nCunning Stunts\nMary Hinge",9
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",3
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",7
Sports,"Title: where is bill buckner now?, Content: , Answer: After he retired from baseball, he moved to Boise, ID and became a real-estate agent.",7
Politics & Government,"Title: Do you think illegal immigrants help or hurt the economy?, Content: , Answer: The approximately 40 million illegal immigrants in this country definitely hurt the economy.  \n\nThey took away a lot of jobs like roofing and construction jobs from the American people.  You used to see two white or black men putting on the roof.  Now you see 14 illegal aliens on a roof - all making below minimum wage.\n\nAnd most of their money gets sent back to Mexico.  That hurts the economy also.\n\nIllegals have put a real stand still on health care for millions of Americans.  I had cervical cancer while I lived in South Texas.  The doctor's office gave me an ""emergency"" appointment for 6 months away.  They couldn't see or treat me and the entire building was filled with illegal aliens and their 8 to 10 children. And of course the mothers were all pregnant.\n\nWell, I took my belongings in a bag and took the Greyhound bus to West Tennessee to live our the rest of my life.  They gave me surgery immediately and today I am cancer free.\n\nI would have died if I remained in South Texas.....)(",6
