label,text,cluster
Family & Relationships,"Title: im 17 and hes 24 ppl?, Content: , Answer: be cautious... whys ur name charlie then u say ""hes 24"", e-mail me.",0
Entertainment & Music,"Title: Does anyone think the extended(4 hour) voting period will influence the outcome on Idol?, Content: , Answer: It'll just show how many more actually voted for him over Katherine.  SOUL PATROL",9
Entertainment & Music,"Title: What do you think about Damian Lewis?, Content: , Answer: http://www.imdb.com/name/nm0507073/",5
Computers & Internet,"Title: What would be a good computing language to learn for a beginner not in the industry?, Content: , Answer: Delphi 7 simple commands and eazy to use i like it",2
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Health,"Title: Anyone have these symptoms before?, Content: A week ago ,I woke up with what I thought was food poisoning. I had diarrea, was dizzy and, just felt awful. Friday I noticed a lump in my lower abdomin on my right side. I had some anti-biotics, Cephalexin (sub for Keflex), so I started taking them. I feel much better now, but the lump is still there. I don't have insurance and I am worried, but I have taken it easy over the weekend and am going to try and get a doctors appointment tommarrow., Answer: umm....why did you wait? go see a doctor! worry about your health first before worrying about whether you can pay for it or not, you can always get help in that area, but if its something serious and you keep waiting, then it'll be too late!",7
Society & Culture,"Title: what do think about Indians, who are from India.?, Content: i am an indian and i was just curious what people think of them., Answer: Some are really nice.\nSome are really mean.\nSome are really pretty.\nSome are really ugly.\nMost are just plain ol' average -\nJust like any other nationality on Planet Earth.",1
Health,"Title: i am having a pain in my right flank..why?, Content: not a runner nor do i partake in extra exercising. drink plenty of water and feel good about being hydrated. i have gone down a ""self"" check list and can't find anything reasonable at fault. any reason why my right flank in painful/ cramping feeling?, Answer: Pain is a sign of something wrong.  Go to an emergency room immediately.  It could be something as harmless as a pulled muscle, but it could also be something as serious as an obstructed bowel.  My friend in high school used to have flank pain all the time and found out that he had bowel obstruction problems and could have died at any moment.  He was just lucky.",7
Society & Culture,"Title: my g.f wants to see me pissing and don't let me go alone if i  desperately needed to pee but i'm shy to do it, Content: , Answer: I am not sure if the shyness comes from you thinking your dick is small or whatever, but it sounds like your g/f is wanting to maybe see it with lights on? sounds kinda kinky to me but maybe she IS kinky. I say pee away dude. It may just lead to a real good experience for you.",0
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Education & Reference,"Title: how can i password protect my site.?, Content: I am using freewebs and don't want to pay. I want to be able to have a members page where members can use their own user name and password to access special pages. I want to make it as simple as possible because i am not very good with anything but html.\n\nPlease tell me how this is possible!!!!, Answer: GO TO THIS MICROSOFT SITE AND JUST FOLLOW DIRECTIONS. THERE ARE SO MANY OTHER CHOICES OF SEARCH REFERENCES IT IS MIND BOGGLING.",2
Business & Finance,"Title: tell me...what is the best way to earn money!!!!?, Content: i was thinking about doing a business,and then i realize that earning money is pretty hard!!, Answer: Best, legal and safe way to earn on internet is by joining paid survey sites. Paid survey sites pay you for your opinion on various topics. \nDon’t pay for any survey program to join. There are many free to join paid survey like survey savvy they pay more then 5 $ per survey. Always check for on which site you are registering is BBB (Better Business Bureaus) certified. \nSurvey Savvy \nhttp://www.surveysavvy.com/ss/ss_index.php?id=2340620&action=join\nGlobal Test Market\nhttp://globaltestmarket.com/join.php?lang=E&p=InfoshineSolution",6
Education & Reference,"Title: Are some colleges easier to get through than others?, Content: Not asking about admission. Just asking about the difficulty of the classes., Answer: Community colleges are often harder then regular colleges. Just with the amount of work and since there are smaller classes it is easier to get singled out.",4
Family & Relationships,"Title: There's a really hot guy that totally likes me but he cheats on his gfs. Should we go out or be friends w/benf, Content: , Answer: He may be really hot but he doesn't totally like you as much as he likes himself.  He is only after something for himself and unless you want to be the girlfriend that is cheated on, steer clear.",0
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Entertainment & Music,"Title: Does anyone think the extended(4 hour) voting period will influence the outcome on Idol?, Content: , Answer: It'll just show how many more actually voted for him over Katherine.  SOUL PATROL",9
Education & Reference,"Title: why does my bark all the time?, Content: it barks day in day out driving me crazy, Answer: I'm guessing your dog is the one barking? =0) Pet stores sell bark collars that either beep at a really high pitch when they bark to annoy them or there are ones that beep first to warn them and then deliver a mild electric shock if they don't stop. We had a sheltie puppy that barked all day but the collar worked. Eventually we only threatened to put the collar on and he would be quiet",0
Sports,"Title: Now the Alpha male Monty Brown is in WWE do u reckon he will be on raw,smackdown or ecw?, Content: Monty Brown was in TNA b4 he signed a deal wid wwe, Answer: Used to watch wrestling years ago, now, not so much.  However, I do follow the career of Monty Brown as he grew up about 10 houses north of mine and while he is about 9 years older then me, he used to play football with my brother and his friends, in which my bro is 12 years older.\n\nI recall Monty coming back to my HS back in the mid 90's to give a speech long before his wrestling career and a couple years after he got out of the NFL.  \n\nMaybe if I'm flipping the channels and I happen to see him on one of the new shows, I would watch, but wrestling hasn't been the same since the days of WWE/WCW being separate companies on separate channels at the same time on Monday nights.  It's more of a male soap opera today then it used to be.  Much greater developed story lines, but that isnt why I used to watch it back in the day.",9
Society & Culture,"Title: What is the one thing you want to accomplish before passing to the next life?, Content: , Answer: I want to spread Islam by peace & love as old great Muslims did",1
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Health,"Title: How bad is it to have your right colon removed? I am 75 years old,and never been in the hospital..?, Content: My doctor talked me into one of those colon tests.      After test ,They told me to make appointment to have my right colon removed..Not cancer, Answer: My husband had a foot of his colon removed and is doing fine. However, if they remove the entire colon (I'm assuming there's something like hardening of the arteries taking place there) you may have to have a colostromy bag. My brother just had that procedure and is also doing very well. Be sure to find out exactly what your doctor is planning on doing....knowing what to expect will help ease your worry. \n\nSurgey can be frightening and there are always risks involved, but I am sure it is for the best. You won't feel anything during the operation, but you will be sore afterwards. They'll give you medicine to relieve the pain and place you on a special diet until you're healed inside. Today they make smaller incisions and people tend to heal faster. You will probably be allowed to go home after just a few days.\n\nI wish the best and may you make a speedy recovery!",7
Business & Finance,"Title: do you hunt?, Content: , Answer: I enjoy moose hunting.",3
Entertainment & Music,"Title: What do you think about Damian Lewis?, Content: , Answer: http://www.imdb.com/name/nm0507073/",5
Health,"Title: What can I do for my toenails looking yellowish?, Content: , Answer: anti-fungle treatment! grosse!",3
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Entertainment & Music,"Title: Does anyone think the extended(4 hour) voting period will influence the outcome on Idol?, Content: , Answer: It'll just show how many more actually voted for him over Katherine.  SOUL PATROL",9
Society & Culture,"Title: Dems vs. Reps, Creationists vs. Evolutionists on Yahoo Answers. Has anyone actually done any good?, Content: All of the name calling, accusations of stupidity, cleaverly worded rhetorical questions basically stating that the other side of the debate is stupid.. has any of this done anyone a lick of good? Does it even make you feel any better, or does it just make you more angry, and therefore write more questions, when you see all of the answers that you don't agree with? Do you ever feel like you are getting cought in a cycle?, Answer: It does no good at all. \nAll I've learned from Yahoo Answers is that there are a lot of mean, bigoted, racists, homophobic, anti-Christians, selfish, and bitter people who like and enjoy hurting others here and the Yahoo Answers staff allows it.",1
Family & Relationships,"Title: about a girl?, Content: I met this girl its been about 7 weeks now.  I had offcially introduced myself too her about 8 weeks ago and for the first time today she  called me by my first name well hey ...... when before she would just smile and say hi.  This sounds like a interesting fact that she is into me right.  She loves to be with her friends all the time i don't feel like its right to just come up and sit with them all i don't know them or should i set with them all.  I just sit with my friends or will this give her the idea that maybe iam not interested in her. although i have given her clear facts that iam like asking her out., Answer: The relationship between you two is coming along. It seems slow though, so maybe you should keep it that pace, for a little while longer at least. She seems to kind of want it that way, she's cautious perhaps, or shy. Anyway, just keep talking to her, but don't push yourself everywhere she is all of a sudden! That could really turn her off! Get to know her friends. When she's with them come up to her and say ""hi"", and then politely turn to her friends and greet them as well. She'll introduce you and....You get the picture:)",0
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
Science & Mathematics,"Title: i want to view waec2006 question paper?, Content: , Answer: Study the 2000, 2001, 2002, 2003, 2004, 2005 ones and they should prepare you for the 2006 one :-)",6
Health,"Title: Do you know the name of the ""hot"" yoga?, Content: There is a type of yoga that is held in a room with a high temperature (like 102 degrees). Do you know the name of that type of yoga?, Answer: I am a conscientious but nondenominational exerciser, and coming to Bikram (a.k.a. ""Hot"") Yoga began more as a scheduling convenience than devotion to its unvarying regimen of 26 poses (asanas), each performed twice and held for what can seem like forever over the course of the nearly two-hour class. \n\nYoga comes in almost as many guises as there are yoga instructors, but most classes build on the same basic foundation of poses performed sitting, standing and lying down. Although some, like the Sun Salutation, consist of a progression of steps, more often the goal is to work gradually toward a single ideal shape: the bow, the triangle, the cobra. My needs are simple: I want supervised, intensive stretching, and every yoga class I've ever attended offers at least that. \n\nThe truth is, I hated this Bikram class when I started. At first I returned only because I was desperate — the victim of a muscle-kinking bout of business travel (cramped airline seats and strange beds). Our teacher, Leah Weisman, seemed to talk incessantly. The room was always full, from 30 to 50 people. And the space was intentionally overheated. \n\nTrue Hot Yoga requires a room temperature as high as 105°F, supposedly so muscles warm up quickly and stretch more easily. This gym's drafty old studio achieves only Balmy Yoga — about 81°F — which is just as well. I've experienced optimal Bikram temperatures just once, and frankly, that's way too much bodily fluid shared and dripped and flicked around among a bunch of people who know one another in anything less than a biblical fashion. \n\nBut the thing I hated most about the class was that at the very end, while everyone was resting for a few minutes in the stillness of Shavasana, the corpse pose (designed to quiet the mind), Leah broke into song. Classroom scuttlebutt is that she has been known to sing On a Clear Day, You Can See Forever, but I've only heard her sing verses from New Age-y folk tunes that mention planets spinning around the sun and the Earth Mother calling her children home. \n\nWhy torture myself so? Simple: love triumphs over hate. As it turns out, Leah is an excellent teacher. Week after week she goes through the same routine without ever falling into autopilot. She is very ""present in the moment,"" as she might describe it. Leah offers cautions about overexertion, suggestions on how to do each pose at various levels of challenge, and great good humor. Last week she talked about a meditation seminar she had attended and called the impromptu lecture her ""sermon on the mat."" \n\nAs a gasping heater blows lukewarm air around the room, she intersperses practical instruction (""Pull up your quads as you pull down your hamstrings"") with abstract concepts (""Remember, you're burning new neurological pathways"") that I take or leave, depending on my mood. \n\nLeah wanders among the students, propelling the class forward even as she stops to adjust an arm angle here or perform a thyroid-massaging chin tuck there. She urges noncompetition, with oneself (""However you do the posture today is how you should do the posture"") and with others (""How can you compare yourself to your neighbor? You don't have the same body!""). Her monologue becomes a mantra, returning my oft-wandering focus back to the pose I'm attempting. Where is my center of balance? Can I feel my spine stretch if I imagine my head and tailbone pulling in opposite directions? How does my alignment shift when I turn my foot three degrees to the right? \n\nSome people criticize Bikram for being too arduous, but as with all yoga, much of the responsibility falls to the individual. I welcome this opportunity to eschew faster, higher and stronger in favor of deeper. In this regard, the simplicity of Bikram's poses is one more way to avoid being distracted from myself. \n\nTo spend this much time slowly and gently stretching is a luxu",1
Health,"Title: scientists who contributed in the field of medicines.?, Content: , Answer: Pasteur, he was a virologist who not only invented pastuerization but discovered many things about bacteria that are still in use today.  Google him.",1
Society & Culture,"Title: What do you consider ""good manners""?, Content: What do you consider to be good manners in a person? At the office, workplace,school, etc., Answer: just general politeness. Please and thank you or at least thanks when appropriate. Not talking about nasty, gross, or lewd things in front of mixed company. Office mainly just keep it light and professional...gossip to a minimum at least too. school, appropriate speak and dress for the age group...especially if you are a teacher. And at home just the general common sense.",4
Family & Relationships,"Title: Whats a romantic night for you?, Content: , Answer: when im with my soulmate",3
Health,"Title: i have a three month old baby and she gets gas bad changed milk what else can i do i give her drops no success, Content: we have changed milk serveal times and no result can someone tell me a good remedy please help, Answer: Have you considered switching her to soy? Good luck!",0
